NAME,CONTRACT_START,CONTRACT_END,AVG_SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Gordon Hayward,2017,2020,31214295.0,27.0,73.0,46.0,27.0,2516.0,1601.0,545.0,1156.0,47.1,149.0,374.0,39.8,362.0,429.0,84.4,49.0,345.0,394.0,252.0,140.0,73.0,20.0,117.0,347.0
Wayne Ellington,2013,2014,1781692.0,25.0,78.0,39.0,39.0,1661.0,614.0,226.0,529.0,42.7,94.0,240.0,39.2,68.0,75.0,90.7,25.0,141.0,166.0,104.0,57.0,45.0,3.0,81.0,17.0
Bismack Biyombo,2016,2019,17000000.0,23.0,82.0,56.0,26.0,1808.0,454.0,156.0,288.0,54.2,0.0,1.0,0.0,142.0,226.0,62.8,182.0,473.0,655.0,29.0,71.0,19.0,133.0,225.0,84.0
Blake Griffin,2013,2017,20500805.6,24.0,80.0,55.0,25.0,2598.0,1440.0,577.0,1072.0,53.8,5.0,28.0,17.9,281.0,426.0,66.0,186.0,476.0,662.0,299.0,185.0,97.0,50.0,231.0,387.0
James Johnson,2013,2014,1503704.5,26.0,54.0,17.0,37.0,878.0,276.0,117.0,283.0,41.3,2.0,21.0,9.5,40.0,67.0,59.7,49.0,96.0,145.0,58.0,68.0,41.0,50.0,99.0,-279.0
Davis Bertans,2018,2019,7000000.0,25.0,77.0,43.0,34.0,1086.0,456.0,161.0,366.0,44.0,94.0,252.0,37.3,40.0,49.0,81.6,18.0,135.0,153.0,74.0,36.0,26.0,28.0,93.0,89.0
Joe Ingles,2015,2016,2100000.0,27.0,79.0,36.0,43.0,1673.0,396.0,147.0,354.0,41.5,72.0,202.0,35.6,30.0,40.0,75.0,22.0,153.0,175.0,182.0,98.0,72.0,10.0,124.0,-49.0
Boban Marjanovic,2016,2018,7000000.0,27.0,54.0,47.0,7.0,508.0,297.0,105.0,174.0,60.3,0.0,0.0,0.0,87.0,114.0,76.3,73.0,121.0,194.0,21.0,29.0,12.0,23.0,54.0,54.0
Thabo Sefolosha,2014,2016,4000000.0,30.0,61.0,44.0,17.0,1584.0,383.0,141.0,340.0,41.5,48.0,152.0,31.6,53.0,69.0,76.8,50.0,170.0,220.0,94.0,55.0,79.0,17.0,90.0,119.0
Harrison Barnes,2016,2019,23370934.75,24.0,66.0,59.0,7.0,2042.0,774.0,295.0,633.0,46.6,82.0,214.0,38.3,102.0,134.0,76.1,77.0,248.0,325.0,117.0,57.0,41.0,10.0,136.0,451.0
Torrey Craig,2018,2019,2000000.0,27.0,39.0,22.0,17.0,629.0,163.0,62.0,137.0,45.3,17.0,58.0,29.3,22.0,35.0,62.9,40.0,87.0,127.0,25.0,20.0,12.0,15.0,63.0,-61.0
Jeff Teague,2013,2016,8000000.0,25.0,80.0,43.0,37.0,2628.0,1166.0,439.0,974.0,45.1,89.0,248.0,35.9,199.0,226.0,88.1,25.0,155.0,180.0,579.0,230.0,117.0,28.0,181.0,74.0
Jae Crowder,2015,2019,7000000.0,24.0,82.0,47.0,35.0,1647.0,628.0,229.0,545.0,42.0,61.0,208.0,29.3,109.0,141.0,77.3,72.0,221.0,293.0,94.0,49.0,72.0,25.0,137.0,73.0
Hassan Whiteside,2016,2019,24354884.0,27.0,73.0,42.0,31.0,2125.0,1040.0,413.0,682.0,60.6,0.0,0.0,0.0,214.0,329.0,65.0,238.0,627.0,865.0,29.0,137.0,44.0,269.0,201.0,86.0
Kyrie Irving,2015,2019,20951075.6,23.0,75.0,52.0,23.0,2730.0,1628.0,578.0,1235.0,46.8,157.0,378.0,41.5,315.0,365.0,86.3,55.0,182.0,237.0,389.0,186.0,114.0,20.0,146.0,422.0
Udonis Haslem,2014,2015,2793470.0,34.0,46.0,30.0,16.0,653.0,173.0,74.0,146.0,50.7,0.0,0.0,0.0,25.0,44.0,56.8,42.0,133.0,175.0,13.0,24.0,11.0,15.0,79.0,-69.0
Robin Lopez,2019,2020,4767000.0,31.0,74.0,20.0,54.0,1606.0,704.0,304.0,535.0,56.8,7.0,31.0,22.6,89.0,123.0,72.4,140.0,146.0,286.0,89.0,96.0,11.0,78.0,124.0,-142.0
E'Twaun Moore,2014,2015,981792.0,25.0,79.0,22.0,57.0,1506.0,499.0,195.0,456.0,42.8,57.0,161.0,35.4,52.0,68.0,76.5,29.0,107.0,136.0,112.0,55.0,60.0,13.0,106.0,-147.0
Justin Holiday,2015,2016,981486.0,26.0,59.0,49.0,10.0,657.0,254.0,91.0,235.0,38.7,35.0,109.0,32.1,37.0,45.0,82.2,12.0,61.0,73.0,48.0,29.0,40.0,12.0,54.0,-13.0
Quinn Cook,2019,2020,3000000.0,26.0,74.0,49.0,25.0,1059.0,509.0,204.0,439.0,46.5,81.0,200.0,40.5,20.0,26.0,76.9,22.0,135.0,157.0,116.0,50.0,20.0,3.0,92.0,-133.0
Avery Bradley,2019,2020,4767000.0,28.0,63.0,31.0,32.0,1905.0,625.0,248.0,608.0,40.8,86.0,245.0,35.1,43.0,50.0,86.0,43.0,132.0,175.0,152.0,89.0,41.0,16.0,167.0,-82.0
Rudy Gay,2015,2017,11380811.333333334,28.0,68.0,25.0,43.0,2408.0,1432.0,508.0,1116.0,45.5,79.0,220.0,35.9,337.0,393.0,85.8,98.0,301.0,399.0,250.0,183.0,71.0,41.0,157.0,-107.0
Serge Ibaka,2017,2019,21666666.666666668,27.0,79.0,37.0,42.0,2422.0,1173.0,471.0,982.0,48.0,124.0,317.0,39.1,107.0,125.0,85.6,129.0,409.0,538.0,75.0,105.0,41.0,124.0,215.0,-142.0
Eric Gordon,2012,2015,14591390.75,23.0,9.0,6.0,3.0,310.0,185.0,63.0,140.0,45.0,10.0,40.0,25.0,49.0,65.0,75.4,2.0,23.0,25.0,31.0,24.0,13.0,4.0,20.0,34.0
Fred VanVleet,2018,2019,9000000.0,24.0,76.0,55.0,21.0,1520.0,656.0,232.0,545.0,42.6,108.0,261.0,41.4,84.0,101.0,83.2,25.0,159.0,184.0,243.0,74.0,68.0,19.0,130.0,352.0
Thaddeus Young,2011,2014,8319565.25,23.0,82.0,41.0,41.0,2135.0,1045.0,458.0,847.0,54.1,6.0,22.0,27.3,123.0,174.0,70.7,153.0,281.0,434.0,82.0,99.0,90.0,26.0,170.0,161.0
Patrick Patterson,2017,2019,4325064.333333333,28.0,65.0,42.0,23.0,1599.0,445.0,154.0,384.0,40.1,94.0,253.0,37.2,43.0,60.0,71.7,62.0,231.0,293.0,76.0,38.0,40.0,23.0,120.0,347.0
Wilson Chandler,2011,2015,7369732.5,24.0,72.0,41.0,31.0,2400.0,1100.0,429.0,953.0,45.0,112.0,320.0,35.0,130.0,161.0,80.7,75.0,333.0,408.0,120.0,104.0,48.0,94.0,199.0,175.0
Quinn Cook,2017,2018,867391.5,24.0,14.0,9.0,5.0,187.0,79.0,33.0,66.0,50.0,11.0,26.0,42.3,2.0,5.0,40.0,1.0,6.0,7.0,26.0,13.0,4.0,0.0,13.0,-41.0
Tyson Chandler,2015,2018,13000000.0,32.0,75.0,47.0,28.0,2286.0,771.0,293.0,440.0,66.6,0.0,0.0,0.0,185.0,257.0,72.0,294.0,570.0,864.0,84.0,105.0,42.0,91.0,169.0,230.0
Ed Davis,2015,2017,6666666.666666667,26.0,79.0,20.0,59.0,1840.0,656.0,282.0,469.0,60.1,0.0,0.0,0.0,92.0,189.0,48.7,230.0,370.0,600.0,94.0,58.0,49.0,98.0,202.0,-265.0
Raymond Felton,2012,2015,4270000.0,28.0,60.0,28.0,32.0,1906.0,684.0,261.0,642.0,40.7,62.0,203.0,30.5,100.0,124.0,80.6,27.0,122.0,149.0,390.0,170.0,78.0,10.0,122.0,142.0
Tristan Thompson,2015,2019,16399826.0,24.0,82.0,53.0,29.0,2194.0,693.0,267.0,488.0,54.7,0.0,0.0,0.0,159.0,248.0,64.1,274.0,383.0,657.0,39.0,83.0,34.0,61.0,189.0,218.0
Carmelo Anthony,2012,2013,20470000.0,28.0,55.0,29.0,26.0,1876.0,1245.0,441.0,1025.0,43.0,68.0,203.0,33.5,295.0,367.0,80.4,88.0,256.0,344.0,200.0,144.0,62.0,24.0,156.0,108.0
Khris Middleton,2015,2019,17520689.6,23.0,79.0,40.0,39.0,2378.0,1055.0,406.0,869.0,46.7,109.0,268.0,40.7,134.0,156.0,85.9,48.0,299.0,347.0,182.0,113.0,122.0,11.0,183.0,320.0
Ricky Rubio,2015,2018,13750000.0,24.0,22.0,7.0,15.0,692.0,226.0,78.0,219.0,35.6,13.0,51.0,25.5,57.0,71.0,80.3,19.0,106.0,125.0,193.0,64.0,38.0,1.0,59.0,-12.0
LeBron James,2016,2017,32124579.5,31.0,76.0,56.0,20.0,2709.0,1920.0,737.0,1416.0,52.0,87.0,282.0,30.9,359.0,491.0,73.1,111.0,454.0,565.0,514.0,249.0,104.0,49.0,143.0,618.0
George Hill,2017,2019,16377969.0,31.0,49.0,33.0,16.0,1544.0,829.0,289.0,606.0,47.7,94.0,233.0,40.3,157.0,196.0,80.1,23.0,144.0,167.0,204.0,85.0,50.0,11.0,114.0,258.0
Rajon Rondo,2016,2017,10150000.0,30.0,72.0,29.0,43.0,2537.0,859.0,355.0,782.0,45.4,62.0,170.0,36.5,87.0,150.0,58.0,77.0,358.0,435.0,839.0,278.0,141.0,10.0,175.0,-154.0
Danilo Gallinari,2017,2019,21587579.0,28.0,63.0,31.0,32.0,2134.0,1145.0,335.0,750.0,44.7,126.0,324.0,38.9,349.0,387.0,90.2,39.0,286.0,325.0,135.0,82.0,40.0,15.0,93.0,159.0
James Harden,2013,2017,19784243.4,23.0,78.0,43.0,35.0,2985.0,2023.0,585.0,1337.0,43.8,179.0,486.0,36.8,674.0,792.0,85.1,62.0,317.0,379.0,455.0,295.0,142.0,38.0,178.0,195.0
Kyle Korver,2013,2016,6000000.0,32.0,74.0,41.0,33.0,2259.0,810.0,277.0,601.0,46.1,189.0,414.0,45.7,67.0,78.0,85.9,23.0,270.0,293.0,146.0,70.0,70.0,37.0,170.0,199.0
Reggie Bullock,2017,2018,2500000.0,26.0,31.0,13.0,18.0,467.0,141.0,54.0,128.0,42.2,28.0,73.0,38.4,5.0,7.0,71.4,13.0,51.0,64.0,29.0,10.0,18.0,3.0,22.0,55.0
DeMarcus Cousins,2014,2017,15562595.5,23.0,71.0,28.0,43.0,2298.0,1614.0,591.0,1191.0,49.6,0.0,7.0,0.0,432.0,595.0,72.6,218.0,613.0,831.0,207.0,251.0,109.0,91.0,270.0,-17.0
Meyers Leonard,2016,2019,10250000.0,24.0,61.0,33.0,28.0,1333.0,511.0,195.0,435.0,44.8,86.0,228.0,37.7,35.0,46.0,76.1,51.0,263.0,314.0,92.0,77.0,8.0,18.0,183.0,100.0
Wayne Ellington,2015,2016,3750000.0,27.0,65.0,18.0,47.0,1675.0,650.0,254.0,617.0,41.2,90.0,243.0,37.0,52.0,64.0,81.3,31.0,179.0,210.0,105.0,50.0,33.0,2.0,77.0,-121.0
Seth Curry,2015,2016,1922638.0,24.0,2.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,-4.0
Christian Wood,2016,2017,874636.0,20.0,17.0,0.0,17.0,145.0,61.0,22.0,53.0,41.5,4.0,11.0,36.4,13.0,21.0,61.9,13.0,25.0,38.0,3.0,2.0,5.0,7.0,11.0,-49.0
LeBron James,2015,2016,26966975.0,30.0,69.0,50.0,19.0,2493.0,1743.0,624.0,1279.0,48.8,120.0,339.0,35.4,375.0,528.0,71.0,51.0,365.0,416.0,511.0,272.0,109.0,49.0,135.0,541.0
Trey Burke,2017,2018,1289587.5,24.0,57.0,35.0,22.0,703.0,285.0,116.0,255.0,45.5,31.0,70.0,44.3,22.0,29.0,75.9,7.0,40.0,47.0,100.0,48.0,11.0,5.0,54.0,-160.0
Seth Curry,2016,2017,2963205.0,25.0,44.0,17.0,27.0,692.0,299.0,102.0,224.0,45.5,50.0,111.0,45.0,45.0,54.0,83.3,9.0,51.0,60.0,67.0,36.0,22.0,3.0,41.0,-36.0
Avery Bradley,2018,2019,8383500.0,27.0,46.0,22.0,24.0,1433.0,656.0,259.0,625.0,41.4,75.0,203.0,36.9,63.0,82.0,76.8,22.0,94.0,116.0,94.0,101.0,51.0,8.0,92.0,-122.0
Danny Green,2012,2014,3762500.0,25.0,66.0,50.0,16.0,1522.0,603.0,211.0,477.0,44.2,102.0,234.0,43.6,79.0,100.0,79.0,54.0,174.0,228.0,86.0,67.0,58.0,46.0,107.0,244.0
Serge Ibaka,2013,2016,12250000.0,23.0,80.0,58.0,22.0,2486.0,1055.0,446.0,778.0,57.3,20.0,57.0,35.1,143.0,191.0,74.9,222.0,395.0,617.0,43.0,125.0,28.0,242.0,213.0,489.0
Ian Mahinmi,2012,2015,4000000.0,25.0,61.0,36.0,25.0,1139.0,354.0,130.0,238.0,54.6,0.0,1.0,0.0,94.0,147.0,63.9,108.0,181.0,289.0,12.0,50.0,38.0,31.0,176.0,69.0
Jared Dudley,2016,2018,10000000.0,30.0,81.0,40.0,41.0,2098.0,638.0,233.0,487.0,47.8,100.0,238.0,42.0,72.0,98.0,73.5,54.0,232.0,286.0,171.0,80.0,75.0,18.0,190.0,60.0
Derrick Favors,2014,2017,12000000.0,22.0,73.0,25.0,48.0,2201.0,970.0,390.0,747.0,52.2,0.0,1.0,0.0,190.0,284.0,66.9,199.0,438.0,637.0,91.0,129.0,75.0,108.0,236.0,-338.0
Eric Gordon,2016,2019,13221697.5,27.0,45.0,14.0,31.0,1481.0,686.0,231.0,552.0,41.8,113.0,294.0,38.4,111.0,125.0,88.8,10.0,89.0,99.0,121.0,73.0,43.0,14.0,98.0,-70.0
Joe Harris,2018,2019,8000000.0,26.0,78.0,27.0,51.0,1975.0,846.0,305.0,621.0,49.1,150.0,358.0,41.9,86.0,104.0,82.7,51.0,209.0,260.0,128.0,91.0,35.0,20.0,153.0,-120.0
Kevin Durant,2011,2015,18759601.8,22.0,78.0,52.0,26.0,3038.0,2161.0,711.0,1538.0,46.2,145.0,414.0,35.0,594.0,675.0,88.0,57.0,476.0,533.0,214.0,218.0,88.0,76.0,159.0,269.0
Klay Thompson,2015,2018,17244862.5,25.0,77.0,64.0,13.0,2455.0,1668.0,602.0,1299.0,46.3,239.0,545.0,43.9,225.0,256.0,87.9,27.0,220.0,247.0,222.0,149.0,87.0,60.0,122.0,776.0
Kemba Walker,2015,2018,12000000.0,25.0,62.0,21.0,41.0,2119.0,1075.0,378.0,981.0,38.5,85.0,280.0,30.4,234.0,283.0,82.7,35.0,185.0,220.0,318.0,100.0,89.0,31.0,92.0,-188.0
Justin Holiday,2017,2018,4500000.0,28.0,82.0,31.0,51.0,1639.0,629.0,233.0,538.0,43.3,97.0,273.0,35.5,66.0,80.0,82.5,27.0,198.0,225.0,102.0,66.0,65.0,31.0,109.0,-41.0
Danilo Gallinari,2015,2017,16536533.0,26.0,59.0,23.0,36.0,1426.0,734.0,228.0,568.0,40.1,107.0,301.0,35.5,171.0,191.0,89.5,31.0,187.0,218.0,83.0,57.0,47.0,20.0,94.0,18.0
JaKarr Sampson,2015,2016,1103547.0,22.0,74.0,17.0,57.0,1131.0,386.0,146.0,346.0,42.2,31.0,127.0,24.4,63.0,94.0,67.0,35.0,128.0,163.0,77.0,76.0,38.0,26.0,135.0,-335.0
Mike Scott,2014,2016,3333333.0,25.0,80.0,36.0,44.0,1482.0,767.0,301.0,628.0,47.9,62.0,200.0,31.0,103.0,132.0,78.0,62.0,222.0,284.0,75.0,79.0,30.0,7.0,121.0,-192.0
Tyler Johnson,2016,2019,7719436.25,24.0,36.0,19.0,17.0,863.0,314.0,118.0,243.0,48.6,27.0,71.0,38.0,51.0,64.0,79.7,28.0,81.0,109.0,79.0,47.0,24.0,14.0,66.0,9.0
Danilo Gallinari,2012,2015,11110193.75,23.0,43.0,27.0,16.0,1351.0,628.0,193.0,466.0,41.4,60.0,183.0,32.8,182.0,209.0,87.1,28.0,174.0,202.0,116.0,68.0,42.0,23.0,86.0,218.0
Aron Baynes,2018,2019,5323440.0,31.0,81.0,54.0,27.0,1484.0,482.0,210.0,446.0,47.1,3.0,21.0,14.3,59.0,78.0,75.6,130.0,304.0,434.0,93.0,80.0,22.0,51.0,200.0,185.0
DeMar DeRozan,2013,2016,13760025.0,23.0,82.0,34.0,48.0,3013.0,1485.0,548.0,1231.0,44.5,34.0,120.0,28.3,355.0,427.0,83.1,48.0,272.0,320.0,204.0,151.0,76.0,24.0,173.0,-112.0
Thaddeus Young,2015,2018,12500000.0,27.0,76.0,25.0,51.0,2434.0,1071.0,451.0,968.0,46.6,38.0,115.0,33.0,131.0,200.0,65.5,127.0,284.0,411.0,173.0,117.0,124.0,25.0,171.0,-214.0
Anthony Davis,2016,2020,24604884.5,23.0,61.0,24.0,37.0,2164.0,1481.0,560.0,1136.0,49.3,35.0,108.0,32.4,326.0,430.0,75.8,130.0,497.0,627.0,116.0,121.0,78.0,125.0,148.0,-200.0
Marc Gasol,2011,2014,14375941.0,26.0,81.0,46.0,35.0,2586.0,951.0,364.0,691.0,52.7,3.0,7.0,42.9,220.0,294.0,74.8,154.0,415.0,569.0,200.0,146.0,74.0,136.0,265.0,138.0
Robin Lopez,2012,2014,5119761.0,24.0,64.0,32.0,32.0,895.0,348.0,124.0,269.0,46.1,0.0,0.0,0.0,100.0,140.0,71.4,90.0,119.0,209.0,20.0,43.0,18.0,60.0,128.0,-64.0
Derrick Favors,2018,2019,17275000.0,26.0,77.0,46.0,31.0,2153.0,944.0,395.0,702.0,56.3,14.0,63.0,22.2,140.0,215.0,65.1,198.0,354.0,552.0,102.0,88.0,54.0,82.0,164.0,143.0
Kevin Durant,2017,2018,27500000.0,28.0,62.0,51.0,11.0,2070.0,1555.0,551.0,1026.0,53.7,117.0,312.0,37.5,336.0,384.0,87.5,39.0,474.0,513.0,300.0,138.0,66.0,99.0,117.0,711.0
Jerami Grant,2018,2020,8839743.0,24.0,81.0,48.0,33.0,1647.0,682.0,244.0,456.0,53.5,32.0,110.0,29.1,162.0,240.0,67.5,86.0,233.0,319.0,57.0,54.0,31.0,77.0,155.0,17.0
Patrick Beverley,2015,2018,5756757.0,26.0,56.0,35.0,21.0,1727.0,568.0,204.0,532.0,38.3,115.0,323.0,35.6,45.0,60.0,75.0,67.0,170.0,237.0,192.0,83.0,59.0,23.0,182.0,71.0
Brook Lopez,2012,2014,14693666.666666666,24.0,5.0,2.0,3.0,136.0,96.0,38.0,77.0,49.4,0.0,0.0,0.0,20.0,32.0,62.5,8.0,10.0,18.0,6.0,6.0,1.0,4.0,8.0,-27.0
Nikola Vucevic,2015,2018,12000000.0,24.0,74.0,21.0,53.0,2529.0,1428.0,631.0,1206.0,52.3,2.0,6.0,33.3,164.0,218.0,75.2,238.0,572.0,810.0,147.0,148.0,54.0,54.0,220.0,-302.0
Aron Baynes,2015,2017,5766666.666666667,28.0,70.0,49.0,21.0,1122.0,461.0,185.0,327.0,56.6,1.0,4.0,25.0,90.0,104.0,86.5,109.0,209.0,318.0,35.0,65.0,16.0,22.0,162.0,136.0
Andre Iguodala,2013,2016,12000000.0,29.0,80.0,57.0,23.0,2779.0,1038.0,396.0,879.0,45.1,91.0,287.0,31.7,155.0,270.0,57.4,82.0,341.0,423.0,433.0,206.0,139.0,52.0,127.0,380.0
Draymond Green,2015,2019,16400000.0,25.0,79.0,64.0,15.0,2490.0,921.0,339.0,765.0,44.3,111.0,329.0,33.7,132.0,200.0,66.0,114.0,533.0,647.0,291.0,133.0,123.0,99.0,253.0,839.0
