Age,Gender,Education,City,FavoriteTourismDest_india,FavoriteTourismDest_abroad
28,Female,Masters,Mumbai,Goa,Zurich
25,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
29,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
25,Male,Bachelors Or Lower,New Delhi,Kerala,Pataya
26,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
23,Male,Masters,Chennai,Agra,Kyiv
25,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
29,Male,Masters,Chennai,Agra,Toronto
24,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Kyiv
36,Female,Masters,Pune,Assam,Nordic Nations
30,Male,Bachelors Or Lower,Mumbai,Kerala,Nordic Nations
26,Female,Masters,Bangalore,Jammu & Kashmir,Zurich
25,Female,Masters,Chennai,Agra,Kyiv
24,Male,Bachelors Or Lower,New Delhi,Agra,Kyiv
26,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
30,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
36,Male,Bachelors Or Lower,Jaipur,Rajasthan,Zurich
25,Male,Masters,Chennai,Agra,Toronto
28,Female,Masters,Pune,Assam,Nordic Nations
32,Female,Bachelors Or Lower,Pune,Assam,Kyiv
27,Male,Masters,New Delhi,Shimla,Kyiv
36,Female,PHD,Pune,Assam,Kyiv
27,Female,Bachelors Or Lower,New Delhi,Rajasthan,Paris
26,Male,Bachelors Or Lower,Mumbai,Kerala,Zurich
29,Male,Bachelors Or Lower,Bangalore,Rajasthan,Zurich
33,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
34,Male,Bachelors Or Lower,New Delhi,Rajasthan,Paris
25,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Kyiv
32,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
31,Male,Masters,Mumbai,Goa,Zurich
30,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
28,Male,Bachelors Or Lower,Mumbai,Agra,Zurich
36,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
27,Female,Bachelors Or Lower,New Delhi,Agra,Paris
26,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
26,Male,Masters,Chennai,Agra,Kyiv
29,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
31,Female,Masters,Chennai,Agra,London
25,Male,Bachelors Or Lower,Mumbai,Kerala,Zurich
24,Male,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Dubai
30,Male,Masters,Mumbai,Rajasthan,Zurich
30,Male,Masters,Mumbai,Goa,Zurich
32,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
31,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
35,Male,Bachelors Or Lower,Jaipur,Agra,Kyiv
34,Female,Bachelors Or Lower,Pune,Assam,Istanbul
33,Male,Masters,Chennai,Agra,Kyiv
32,Male,Bachelors Or Lower,Mumbai,Kerala,Zurich
36,Male,Masters,Chennai,Agra,Toronto
24,Male,Bachelors Or Lower,Bangalore,Kerala,Zurich
24,Male,Bachelors Or Lower,Jaipur,Kerala,Zurich
34,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Kyiv
26,Male,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Dubai
32,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
23,Male,Masters,Chennai,Shimla,Toronto
30,Female,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Paris
25,Female,Masters,Chennai,Agra,Jamaica
27,Male,Bachelors Or Lower,New Delhi,Rajasthan,Paris
27,Male,Masters,Chennai,Agra,Kyiv
35,Male,Bachelors Or Lower,New Delhi,Kerala,Paris
34,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
27,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
28,Female,Masters,Pune,Assam,Kyiv
31,Female,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
25,Male,Masters,Mumbai,Goa,Tokyo
33,Female,Masters,Pune,Assam,Nordic Nations
36,Male,Bachelors Or Lower,New Delhi,Rajasthan,Istanbul
25,Male,Bachelors Or Lower,New Delhi,Kerala,Pataya
30,Female,Bachelors Or Lower,New Delhi,Kerala,Zurich
27,Female,Bachelors Or Lower,Mumbai,Agra,Zurich
33,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
25,Male,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Dubai
25,Male,Masters,Chennai,Shimla,Kyiv
34,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
23,Male,Masters,Mumbai,Goa,Zurich
33,Female,Bachelors Or Lower,Pune,Kerala,Paris
23,Male,Bachelors Or Lower,New Delhi,Agra,Kyiv
36,Male,Masters,Chennai,Agra,Tokyo
28,Female,Masters,Bangalore,Rajasthan,Kyiv
23,Male,Masters,Chennai,Agra,Helsinki
28,Female,PHD,New Delhi,Rajasthan,Zurich
28,Male,Bachelors Or Lower,New Delhi,Rajasthan,Istanbul
33,Male,Bachelors Or Lower,Bangalore,Rajasthan,Zurich
27,Male,Masters,Bangalore,Shimla,Kyiv
29,Female,PHD,Bangalore,Rajasthan,London
36,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
26,Male,Masters,Chennai,Agra,Toronto
27,Female,PHD,Bangalore,Jammu & Kashmir,Zurich
23,Female,Bachelors Or Lower,Mumbai,Kerala,Zurich
34,Male,Masters,Bangalore,Jammu & Kashmir,Toronto
35,Female,Masters,Pune,Assam,Kyiv
29,Male,Masters,Bangalore,Jammu & Kashmir,Toronto
31,Male,Masters,Chennai,Agra,Kyiv
31,Female,Masters,Bangalore,Rajasthan,London
27,Male,Bachelors Or Lower,Mumbai,Kerala,Zurich
36,Male,Bachelors Or Lower,New Delhi,Kerala,Paris
34,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
24,Male,Masters,Chennai,Agra,Jamaica
27,Female,Bachelors Or Lower,Mumbai,Assam,Zurich
35,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
26,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
27,Male,Masters,Chennai,Agra,Kyiv
29,Female,Masters,Mumbai,Assam,Zurich
23,Male,Bachelors Or Lower,New Delhi,Kerala,Jerusalem
36,Female,Bachelors Or Lower,Pune,Assam,Paris
25,Female,Bachelors Or Lower,Mumbai,Kerala,Zurich
35,Female,Masters,Mumbai,Assam,Zurich
34,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
28,Male,Bachelors Or Lower,New Delhi,Agra,Kyiv
27,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
29,Female,Masters,New Delhi,Rajasthan,London
32,Male,Bachelors Or Lower,New Delhi,Kerala,Pataya
35,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
24,Male,Masters,Chennai,Agra,Toronto
36,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
34,Female,PHD,New Delhi,Rajasthan,Istanbul
27,Female,Bachelors Or Lower,Pune,Assam,Paris
31,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Pataya
36,Male,Masters,Chennai,Agra,Kyiv
32,Male,Masters,Chennai,Rajasthan,Kyiv
33,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
23,Male,Bachelors Or Lower,Mumbai,Kerala,Vienna
35,Female,Masters,Chennai,Agra,Toronto
34,Male,Masters,Chennai,Agra,Kyiv
35,Female,Masters,Pune,Assam,Kyiv
35,Female,Masters,Bangalore,Rajasthan,Kyiv
23,Male,Masters,New Delhi,Goa,Kyiv
29,Female,Bachelors Or Lower,Bangalore,Rajasthan,Paris
28,Male,Bachelors Or Lower,Bangalore,Rajasthan,Zurich
32,Female,Masters,Pune,Assam,Dubai
30,Female,Bachelors Or Lower,Pune,Kerala,Nordic Nations
27,Male,Masters,Chennai,Agra,Jamaica
34,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
32,Female,Bachelors Or Lower,Mumbai,Assam,Zurich
31,Female,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
32,Female,Bachelors Or Lower,Bangalore,Kerala,Paris
27,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
27,Male,Masters,Bangalore,Agra,Tokyo
25,Male,Masters,Chennai,Agra,Kyiv
31,Male,Bachelors Or Lower,Mumbai,Kerala,Nordic Nations
23,Male,Masters,Chennai,Agra,Kyiv
32,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
29,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
27,Female,Masters,Chennai,Agra,Kyiv
28,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
27,Female,Masters,Chennai,Agra,Dubai
34,Female,Bachelors Or Lower,Mumbai,Assam,Zurich
35,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
29,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
27,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
36,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
33,Male,Bachelors Or Lower,New Delhi,Agra,Pataya
33,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
30,Male,Masters,Chennai,Shimla,Kyiv
26,Male,Masters,New Delhi,Shimla,Zurich
30,Female,Bachelors Or Lower,Bangalore,Rajasthan,Paris
34,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
23,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
27,Female,PHD,Mumbai,Rajasthan,Zurich
33,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
31,Female,Masters,Bangalore,Assam,Kyiv
29,Male,Bachelors Or Lower,Mumbai,Agra,Zurich
28,Female,Bachelors Or Lower,Pune,Assam,Jerusalem
35,Female,Bachelors Or Lower,Pune,Assam,Kyiv
29,Male,Bachelors Or Lower,Pune,Kerala,Pataya
34,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
31,Male,Bachelors Or Lower,Mumbai,Kerala,Zurich
33,Male,Bachelors Or Lower,Mumbai,Kerala,Zurich
24,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
31,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
32,Male,Masters,Bangalore,Agra,Tokyo
28,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
33,Male,Masters,Mumbai,Goa,Tokyo
27,Female,Bachelors Or Lower,Bhopal,Andaman & Nicobar Islands,Paris
29,Female,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
36,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
36,Female,Masters,Chennai,Agra,Kyiv
35,Male,Masters,Bangalore,Jammu & Kashmir,Toronto
26,Male,Masters,Chennai,Agra,Jamaica
35,Female,Bachelors Or Lower,Pune,Assam,Istanbul
34,Female,Bachelors Or Lower,Bhopal,Agra,Paris
33,Male,Bachelors Or Lower,New Delhi,Kerala,Pataya
28,Male,Bachelors Or Lower,New Delhi,Rajasthan,Istanbul
28,Female,Bachelors Or Lower,New Delhi,Rajasthan,Paris
30,Female,PHD,Pune,Assam,Kyiv
33,Male,Masters,Chennai,Agra,Kyiv
30,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
29,Female,Bachelors Or Lower,Pune,Kerala,Paris
25,Male,Masters,Chennai,Agra,Jamaica
31,Female,Bachelors Or Lower,New Delhi,Agra,Paris
29,Female,Bachelors Or Lower,New Delhi,Agra,Paris
33,Female,Bachelors Or Lower,Pune,Assam,Zurich
23,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
26,Male,Bachelors Or Lower,New Delhi,Agra,Dubai
36,Male,Bachelors Or Lower,Mumbai,Kerala,Nordic Nations
36,Male,Masters,Chennai,Rajasthan,Toronto
27,Female,Masters,New Delhi,Agra,Kyiv
28,Female,PHD,New Delhi,Agra,Kyiv
36,Female,Bachelors Or Lower,Bangalore,Rajasthan,Paris
35,Female,Bachelors Or Lower,Bangalore,Rajasthan,Paris
34,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
36,Male,Masters,Mumbai,Goa,Zurich
28,Male,Bachelors Or Lower,New Delhi,Rajasthan,Pataya
30,Male,Masters,Chennai,Agra,Toronto
30,Male,Bachelors Or Lower,Bangalore,Rajasthan,Kyiv
25,Male,Masters,Chennai,Agra,Jamaica
24,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
34,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Kyiv
29,Female,Masters,Pune,Assam,Nordic Nations
26,Male,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Dubai
30,Female,Masters,Mumbai,Goa,Zurich
27,Female,Masters,Mumbai,Assam,Zurich
23,Female,Bachelors Or Lower,Mumbai,Rajasthan,London
27,Male,Masters,Chennai,Agra,Tokyo
31,Male,Bachelors Or Lower,New Delhi,Kerala,Pataya
27,Female,Masters,Pune,Assam,Zurich
26,Male,Bachelors Or Lower,Mumbai,Agra,Dubai
31,Male,Masters,New Delhi,Shimla,Toronto
25,Female,Masters,Chennai,Agra,Kyiv
25,Male,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Dubai
34,Male,Bachelors Or Lower,New Delhi,Agra,Kyiv
25,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
34,Female,Bachelors Or Lower,New Delhi,Rajasthan,Paris
23,Male,Bachelors Or Lower,Bangalore,Agra,Miami
32,Male,Masters,Chennai,Agra,Tokyo
28,Female,Bachelors Or Lower,Bangalore,Kerala,Paris
30,Female,PHD,New Delhi,Andaman & Nicobar Islands,Dubai
27,Male,Bachelors Or Lower,Jaipur,Kerala,Pataya
27,Female,Masters,Pune,Assam,Kyiv
28,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
28,Female,Masters,Mumbai,Goa,Zurich
36,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
33,Male,Bachelors Or Lower,Mumbai,Kerala,Pataya
27,Male,Bachelors Or Lower,New Delhi,Rajasthan,Paris
33,Female,Bachelors Or Lower,Bangalore,Rajasthan,Paris
31,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
23,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
27,Male,Bachelors Or Lower,Jaipur,Andaman & Nicobar Islands,Dubai
29,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
26,Male,Bachelors Or Lower,New Delhi,Rajasthan,Paris
23,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
23,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Pataya
29,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
29,Female,Bachelors Or Lower,New Delhi,Andaman & Nicobar Islands,Paris
29,Female,Masters,Pune,Assam,Nordic Nations
33,Male,Masters,Mumbai,Rajasthan,Zurich
25,Male,Masters,Mumbai,Goa,Tokyo
26,Male,Masters,Chennai,Shimla,Dubai
32,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Istanbul
34,Male,Masters,Chennai,Agra,Tokyo
36,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Pataya
26,Female,Bachelors Or Lower,New Delhi,Agra,Paris
23,Male,Masters,Chennai,Shimla,Toronto
28,Male,Bachelors Or Lower,New Delhi,Rajasthan,Pataya
33,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Pataya
30,Male,Masters,Mumbai,Goa,Tokyo
22,Female,Bachelors Or Lower,New Delhi,Kerala,Paris
27,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
38,Male,Bachelors Or Lower	,Mumbai,Rajasthan,Zurich
18,Female,Bachelors Or Lower,New Delhi,Rajasthan,Paris
32,Male,Bachelors Or Lower,Bangalore,Rajasthan,Kyiv
27,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
37,Male,Bachelors Or Lower,Mumbai,Agra,Zurich
37,Female,Bachelors Or Lower,Mumbai,Kerala,Vienna
19,Male,Bachelors Or Lower,Chennai,Kerala,Kyiv
27,Female,Masters,Mumbai,Assam,Zurich
28,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
21,Female,Bachelors Or Lower,Pune,Kerala,Paris
40,Male,Bachelors Or Lower,New Delhi,Kerala,Zurich
18,Female,Bachelors Or Lower,Chennai,Agra,Paris
39,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
35,Female,Bachelors Or Lower	,Pune,Assam,Zurich
20,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Pataya
39,Female,Bachelors Or Lower,Pune,Kerala,Paris
27,Male,Masters,Chennai,Agra,Toronto
32,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
21,Female,Bachelors Or Lower,Pune,Kerala,Zurich
39,Male,Bachelors Or Lower	,Mumbai,Rajasthan,Zurich
27,Female,Masters,Chennai,Agra,Jamaica
