Symbol,Security,Sector,SubIndustry,Address,State
NWL,"Newell Rubbermaid Co.","Consumer Discretionary","Housewares & Specialties","Sandy Springs",Georgia
NWS,"News Corp. Class B","Consumer Discretionary",Publishing,"New York","New York"
NWSA,"News Corp. Class A","Consumer Discretionary",Publishing,"New York","New York"
O,"Realty Income Corporation",Financials,REITs,"San Diego",California
OI,"Owens-Illinois Inc",Materials,"Metal & Glass Containers",Perrysburg,Ohio
OKE,ONEOK,Energy,"Oil & Gas Exploration & Production",Tulsa,Oklahoma
OMC,"Omnicom Group","Consumer Discretionary",Advertising,"New York","New York"
ORCL,"Oracle Corp.","Information Technology","Application Software","Redwood Shores",California
ORLY,"O'Reilly Automotive","Consumer Discretionary","Specialty Stores",Springfield,Missouri
OXY,"Occidental Petroleum",Energy,"Oil & Gas Exploration & Production","Los Angeles",California
PAYX,"Paychex Inc.","Information Technology","Internet Software & Services",Penfield,"New York"
PBCT,"People's United Financial",Financials,"Thrifts & Mortgage Finance",Bridgeport,Connecticut
PBI,Pitney-Bowes,Industrials,"Office Services & Supplies",Stamford,Connecticut
PCAR,"PACCAR Inc.",Industrials,"Construction & Farm Machinery & Heavy Trucks",Bellevue,Washington
PCG,"PG&E Corp.",Utilities,MultiUtilities,"San Francisco",California
PCL,"Plum Creek Timber Co.",Financials,REITs,Seattle,Washington
PCLN,"Priceline.com Inc","Consumer Discretionary","Hotels, Resorts & Cruise Lines",Norwalk,Connecticut
PCP,"Precision Castparts",Industrials,"Industrial Conglomerates",Portland,Oregon
PDCO,"Patterson Companies","Health Care","Health Care Supplies","St. Paul",Minnesota
PEG,"Public Serv. Enterprise Inc.",Utilities,"Electric Utilities",Newark,"New Jersey"
PEP,"PepsiCo Inc.","Consumer Staples","Soft Drinks",Purchase,"New York"
PFE,"Pfizer Inc.","Health Care",Pharmaceuticals,"New York","New York"
PFG,"Principal Financial Group",Financials,"Diversified Financial Services","Des Moines",Iowa
PG,"Procter & Gamble","Consumer Staples","Personal Products",Cincinnati,Ohio
PGR,"Progressive Corp.",Financials,"Property & Casualty Insurance","Mayfield Village",Ohio
PH,Parker-Hannifin,Industrials,"Industrial Conglomerates",Cleveland,Ohio
PHM,"Pulte Homes Inc.","Consumer Discretionary",Homebuilding,Atlanta,Georgia
PKI,PerkinElmer,"Health Care","Health Care Equipment & Services",Waltham,Massachusetts
PLD,Prologis,Financials,"Diversified Financial Services","San Francisco",California
PM,"Philip Morris International","Consumer Staples",Tobacco,"New York","New York"
PNC,"PNC Financial Services",Financials,Banks,Pittsburgh,Pennsylvania
PNR,"Pentair Ltd.",Industrials,"Industrial Conglomerates",Worsley,"United Kingdom"
PNW,"Pinnacle West Capital",Utilities,MultiUtilities,Phoenix,Arizona
POM,"Pepco Holdings Inc.",Utilities,"Electric Utilities",Washington,"The District of Columbia"
PPG,"PPG Industries",Materials,"Diversified Chemicals",Pittsburgh,Pennsylvania
PPL,"PPL Corp.",Utilities,"Electric Utilities",Allentown,Pennsylvania
PRGO,Perrigo,"Health Care",Pharmaceuticals,Dublin,Ireland
PRU,"Prudential Financial",Financials,"Diversified Financial Services",Newark,"New Jersey"
PSA,"Public Storage",Financials,REITs,Glendale,California
PSX,"Phillips 66",Energy,"Oil & Gas Refining & Marketing & Transportation",Houston,Texas
PVH,"PVH Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
PWR,"Quanta Services Inc.",Industrials,"Industrial Conglomerates",Houston,Texas
PX,"Praxair Inc.",Materials,"Industrial Gases",Danbury,Connecticut
PXD,"Pioneer Natural Resources",Energy,"Oil & Gas Exploration & Production",Irving,Texas
PYPL,PayPal,"Information Technology","Data Processing & Outsourced Services","Palo Alto",California
QCOM,"QUALCOMM Inc.","Information Technology",Semiconductors,"San Diego",California
QRVO,Qorvo,"Information Technology",Semiconductors,Hillsboro,Oregon
R,"Ryder System",Industrials,"Industrial Conglomerates",Miami,Florida
RAI,"Reynolds American Inc.","Consumer Staples",Tobacco,Winston-Salem,"North Carolina"
RCL,"Royal Caribbean Cruises Ltd","Consumer Discretionary","Hotels, Resorts & Cruise Lines",Miami,Florida
REGN,Regeneron,"Health Care",Biotechnology,Tarrytown,"New York"
RF,"Regions Financial Corp.",Financials,"Diversified Financial Services",Birmingham,Alabama
RHI,"Robert Half International",Industrials,"Human Resource & Employment Services","Menlo Park",California
RHT,"Red Hat Inc.","Information Technology","Systems Software",Raleigh,"North Carolina"
RIG,Transocean,Energy,"Oil & Gas Drilling",Vernier,Switzerland
RL,"Polo Ralph Lauren Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
ROK,"Rockwell Automation Inc.",Industrials,"Industrial Conglomerates",Milwaukee,Wisconsin
ROP,"Roper Industries",Industrials,"Industrial Conglomerates",Sarasota,Florida
ROST,"Ross Stores","Consumer Discretionary","Apparel Retail",Pleasanton,California
RRC,"Range Resources Corp.",Energy,"Oil & Gas Exploration & Production","Fort Worth",Texas
RSG,"Republic Services Inc",Industrials,"Industrial Conglomerates",Phoenix,Arizona
RTN,"Raytheon Co.",Industrials,"Aerospace & Defense",Waltham,Massachusetts
SBUX,"Starbucks Corp.","Consumer Discretionary",Restaurants,Seattle,Washington
SCG,"SCANA Corp",Utilities,MultiUtilities,Cayce,"South Carolina"
SCHW,"Charles Schwab Corporation",Financials,"Investment Banking & Brokerage","San Francisco",California
SE,"Spectra Energy Corp.",Energy,"Oil & Gas Refining & Marketing & Transportation",Houston,Texas
SEE,"Sealed Air Corp.(New)",Materials,"Paper Packaging","Elmwood Park","New Jersey"
SHW,Sherwin-Williams,Materials,"Specialty Chemicals",Cleveland,Ohio
SIG,"Signet Jewelers","Consumer Discretionary","Specialty Stores",Hamilton,Bermuda
SJM,"Smucker (J.M.)","Consumer Staples","Packaged Foods & Meats",Orrville,Ohio
SLB,"Schlumberger Ltd.",Energy,"Oil & Gas Equipment & Services","Cura�ao","Kingdom of the Netherlands"
SLG,"SL Green Realty",Financials,"Office REITs","New York","New York"
SNA,"Snap-On Inc.","Consumer Discretionary","Household Appliances",Kenosha,Wisconsin
SNDK,"SanDisk Corporation","Information Technology","Computer Storage & Peripherals",Milpitas,California
SNI,"Scripps Networks Interactive Inc.","Consumer Discretionary","Broadcasting & Cable TV",Cincinnati,Ohio
SO,"Southern Co.",Utilities,"Electric Utilities",Atlanta,Georgia
SPG,"Simon Property Group Inc",Financials,REITs,Indianapolis,Indiana
SPLS,"Staples Inc.","Consumer Discretionary","Specialty Stores",Framingham,Massachusetts
SRCL,"Stericycle Inc",Industrials,"Industrial Conglomerates","Lake Forest",Illinois
SRE,"Sempra Energy",Utilities,MultiUtilities,"San Diego",California
STI,"SunTrust Banks",Financials,Banks,Atlanta,Georgia
STJ,"St Jude Medical","Health Care","Health Care Equipment & Services","Little Canada",Minnesota
STT,"State Street Corp.",Financials,"Diversified Financial Services",Boston,Massachusetts
STX,"Seagate Technology","Information Technology","Computer Storage & Peripherals",Dublin,Ireland
STZ,"Constellation Brands","Consumer Staples","Distillers & Vintners",Victor,"New York"
SWK,"Stanley Black & Decker","Consumer Discretionary","Household Appliances","New Britain",Connecticut
SWKS,"Skyworks Solutions","Information Technology",Semiconductors,Woburn,Massachusetts
SWN,"Southwestern Energy",Energy,"Oil & Gas Exploration & Production",Houston,Texas
SYF,"Synchrony Financial",Financials,"Consumer Finance",Stamford,Connecticut
SYK,"Stryker Corp.","Health Care","Health Care Equipment & Services",Kalamazoo,Michigan
SYMC,"Symantec Corp.","Information Technology","Application Software","Mountain View",California
SYY,"Sysco Corp.","Consumer Staples","Food Distributors",Houston,Texas
T,"AT&T Inc","Telecommunications Services","Integrated Telecommunications Services",Dallas,Texas
TAP,"Molson Coors Brewing Company","Consumer Staples",Brewers,Denver,Colorado
TDC,"Teradata Corp.","Information Technology","Application Software",Miamisburg,Ohio
TE,"TECO Energy",Utilities,"Electric Utilities",Tampa,Florida
TEL,"TE Connectivity Ltd.","Information Technology","Electronic Equipment & Instruments",Schaffhausen,Switzerland
TGNA,Tegna,"Consumer Discretionary",Publishing,McLean,Virginia
TGT,"Target Corp.","Consumer Discretionary","General Merchandise Stores",Minneapolis,Minnesota
THC,"Tenet Healthcare Corp.","Health Care","Health Care Facilities",Dallas,Texas
TIF,"Tiffany & Co.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
TJX,"TJX Companies Inc.","Consumer Discretionary","Apparel Retail",Framingham,Massachusetts
TMK,"Torchmark Corp.",Financials,"Life & Health Insurance",McKinney,Texas
TMO,"Thermo Fisher Scientific","Health Care","Health Care Equipment & Services",Waltham,Massachusetts
TRIP,TripAdvisor,"Consumer Discretionary","Internet Retail",Newton,Massachusetts
TROW,"T. Rowe Price Group",Financials,"Diversified Financial Services",Baltimore,Maryland
TRV,"The Travelers Companies Inc.",Financials,"Property & Casualty Insurance","New York","New York"
TSCO,"Tractor Supply Company","Consumer Discretionary","Specialty Retail",Brentwood,Tennessee
TSN,"Tyson Foods","Consumer Staples","Packaged Foods & Meats",Springdale,Arkansas
TSO,"Tesoro Petroleum Co.",Energy,"Oil & Gas Refining & Marketing & Transportation","San Antonio",Texas
TSS,"Total System Services","Information Technology","Internet Software & Services",Columbus,Georgia
TWC,"Time Warner Cable Inc.","Consumer Discretionary","Broadcasting & Cable TV","New York","New York"
TWX,"Time Warner Inc.","Consumer Discretionary","Broadcasting & Cable TV","New York","New York"
TXN,"Texas Instruments","Information Technology",Semiconductors,Dallas,Texas
TXT,"Textron Inc.",Industrials,"Industrial Conglomerates",Providence,"Rhode Island"
TYC,"Tyco International",Industrials,"Industrial Conglomerates",Schaffhausen,Switzerland
UA,"Under Armour","Consumer Discretionary","Apparel, Accessories & Luxury Goods",Baltimore,Maryland
UAL,"United Continental Holdings",Industrials,Airlines,Chicago,Illinois
UHS,"Universal Health Services, Inc.","Health Care","Health Care Facilities","King of Prussia",Pennsylvania
UNH,"United Health Group Inc.","Health Care","Managed Health Care",Minnetonka,Minnesota
UNM,"Unum Group",Financials,"Diversified Financial Services",Chattanooga,Tennessee
UNP,"Union Pacific",Industrials,Railroads,Omaha,Nebraska
UPS,"United Parcel Service",Industrials,"Air Freight & Logistics",Atlanta,Georgia
URBN,"Urban Outfitters","Consumer Discretionary","Apparel Retail",Philadelphia,Pennsylvania
URI,"United Rentals, Inc.",Industrials,"Trading Companies & Distributors",Stamford,Connecticut
USB,"U.S. Bancorp",Financials,Banks,Minneapolis,Minnesota
UTX,"United Technologies",Industrials,"Industrial Conglomerates",Hartford,Connecticut
V,"Visa Inc.","Information Technology","Internet Software & Services","San Francisco",California
VAR,"Varian Medical Systems","Health Care","Health Care Equipment & Services","Palo Alto",California
VFC,"V.F. Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods",Greensboro,"North Carolina"
VIAB,"Viacom Inc.","Consumer Discretionary","Broadcasting & Cable TV","New York","New York"
VLO,"Valero Energy",Energy,"Oil & Gas Refining & Marketing & Transportation","San Antonio",Texas
VMC,"Vulcan Materials",Materials,"Construction Materials",Birmingham,Alabama
VNO,"Vornado Realty Trust",Financials,REITs,"New York","New York"
VRSK,"Verisk Analytics",Industrials,"Research & Consulting Services","Jersey City","New Jersey"
VRSN,"Verisign Inc.","Information Technology","Internet Software & Services",Dulles,Virginia
VRTX,"Vertex Pharmaceuticals Inc","Health Care",Biotechnology,Cambridge,Massachusetts
VTR,"Ventas Inc",Financials,"Diversified Financial Services",Chicago,Illinois
VZ,"Verizon Communications","Telecommunications Services","Integrated Telecommunications Services","New York","New York"
WAT,"Waters Corporation","Health Care","Health Care Distributors & Services",Milford,Massachusetts
WBA,"Walgreens Boots Alliance","Consumer Staples","Drug Retail",Deerfield,Illinois
WDC,"Western Digital","Information Technology","Computer Storage & Peripherals",Irvine,California
WEC,"Wisconsin Energy Corporation",Utilities,"Electric Utilities",Milwaukee,Wisconsin
WFC,"Wells Fargo",Financials,Banks,"San Francisco",California
WFM,"Whole Foods Market","Consumer Staples","Food Retail",Austin,Texas
WHR,"Whirlpool Corp.","Consumer Discretionary","Household Appliances","Benton Harbor",Michigan
WM,"Waste Management Inc.",Industrials,"Environmental Services",Houston,Texas
WMB,"Williams Cos.",Energy,"Oil & Gas Exploration & Production",Tulsa,Oklahoma
WMT,"Wal-Mart Stores","Consumer Staples","Hypermarkets & Super Centers",Bentonville,Arkansas
WRK,"Westrock Co",Materials,"Paper Packaging",Richmond,Virginia
WU,"Western Union Co","Information Technology","Internet Software & Services",Englewood,Colorado
WY,"Weyerhaeuser Corp.",Financials,REITs,"Federal Way",Washington
WYN,"Wyndham Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines",Parsippany,"New Jersey"
WYNN,"Wynn Resorts Ltd","Consumer Discretionary","Casinos & Gaming","Las Vegas",Nevada
XEC,"Cimarex Energy",Energy,"Oil & Gas Exploration & Production",Denver,Colorado
XEL,"Xcel Energy Inc",Utilities,MultiUtilities,Minneapolis,Minnesota
XL,"XL Capital",Financials,"Property & Casualty Insurance",Hamilton,Bermuda
XLNX,"Xilinx Inc","Information Technology",Semiconductors,"San Jose",California
XOM,"Exxon Mobil Corp.",Energy,"Integrated Oil & Gas",Irving,Texas
XRAY,"Dentsply International","Health Care","Health Care Supplies",York,Pennsylvania
XRX,"Xerox Corp.","Information Technology","IT Consulting & Services",Norwalk,Connecticut
XYL,"Xylem Inc.",Industrials,"Industrial Conglomerates","White Plains","New York"
YHOO,"Yahoo Inc.","Information Technology","Internet Software & Services",Sunnyvale,California
YUM,"Yum! Brands Inc","Consumer Discretionary",Restaurants,Louisville,Kentucky
ZBH,"Zimmer Biomet Holdings","Health Care","Health Care Equipment & Services",Warsaw,Indiana
ZION,"Zions Bancorp",Financials,Banks,"Salt Lake City",Utah
ZTS,Zoetis,"Health Care",Pharmaceuticals,"Florham Park","New Jersey"
