Index,Name,Volume,Volume_USD,Market_Cap,Market_Cap_USD,Sales,Floor_Price,Floor_Price_USD,Average_Price,Average_Price_USD,Owners,Assets,Owner_Asset_Ratio,Category,Website,Logo
118,Spirit4,115.57,16967.9874,0,0,10,2.5,367.05,11.557,1696.79874,20,85,23.53,"Digital,Art,Collectibles,2D,Painting,Drawing,Image",https://www.spirit4.io,https://content.solsea.io/files/thumbnail/1638930613116-52190722.png
119,419 Acid Monkees,115.17,16909.2594,0,0,242,,,0.475909091,69.87297273,0,0,,"Digital,Print,Collectibles,Art,PFP",https://twitter.com/419NFT,https://content.solsea.io/files/thumbnail/1632892339241-802114597-pfp.png
120,SolDads,114.25,16774.185,0,0,93,0.25,36.705,1.228494624,180.3675806,23,25,92,"3D,Art",https://solfamily.io/,https://content.solsea.io/files/thumbnail/1634142444177-718346717-Logo_1.png
121,Coollamas,114,16737.48,0,0,14,8,1174.56,8.142857143,1195.534286,9,24,37.5,,www.coollamas.com,https://content.solsea.io/files/thumbnail/1632924226354-407808034-WhatsApp Image 2021-09-16 at 10.36.25 - Crypto llama.jpeg
122,SOLYETIS,113.5,16664.07,0,0,59,0.65,95.433,1.923728814,282.4418644,24,29,82.76,,https://solyetis.io/,https://content.solsea.io/files/thumbnail/1634988141784-941508771-download.png
123,Foxtopia Genesis,110.77,16263.2514,95.34397959,13998.40308,106,0.9,132.138,1.045,153.4269,48,93,51.61,,https://t.co/7196lo5eqB,https://content.solsea.io/files/thumbnail/1641634193377-121510637.png
124,Drakos Unchained ™,110.38,16205.9916,15.5,2275.71,84,0.65,95.433,1.314047619,192.9284714,22,31,70.97,"Digital,Metaverse,Art,Collectibles,PFP,3D,Design,P2E",https://www.drakosunchained.com/,https://content.solsea.io/files/thumbnail/1639924824534-229406967.jpg
125,Dragons Watch Heroes,108.65,15951.993,0,0,66,0.25,36.705,1.646212121,241.6968636,64,127,50.39,"Trading Cards,Collectibles",https://dragonswatch.io/,https://content.solsea.io/files/thumbnail/1637365054641-930861847-DragonsWatch_19512x512.jpg
126,Ghostface,107.6,15797.832,0,0,89,,,1.208988764,177.5037303,0,0,,,,https://content.solsea.io/files/thumbnail/1640317770978-307234869.jpg
127,Arithmetic,106.98,15706.8036,0,0,157,0.45,66.069,0.681401274,100.043335,19,39,48.72,,https://linktr.ee/nanogram,https://content.solsea.io/files/thumbnail/1632198305934-568601314-Arithmetic-thumb-image.jpg
128,Solana Souls,105.47,15485.1054,0,0,58,0.1,14.682,1.818448276,266.9845759,34,60,56.67,,SolSoulsnft.com,https://content.solsea.io/files/thumbnail/1632073350110-613546065-unknown - Montgomery Tune.png
129,Invictus Owls,102.5,15049.05,129,18939.78,18,5,734.1,5.694444444,836.0583333,11,18,61.11,"Art,Collectibles,Digital,PFP",https://app.invictusdao.fi/#/dashboard,https://content.solsea.io/files/thumbnail/1637523359665-904578426-jv2xoOxJ_400x400.jpg
130,Genopets / Terraform Seed,97.15,14263.563,20.07,2946.6774,930,0.08,11.7456,0.104462366,15.33716452,123,223,55.16,,https://www.genopets.me/,https://content.solsea.io/files/thumbnail/1638780306707-879676226.png
131,Non Friendly Types,96.19,14122.6158,0,0,47,1.41,207.0162,2.046595745,300.4811872,9,16,56.25,,https://instagram.com/nonfriendlytypes,https://content.solsea.io/files/thumbnail/1632854003828-473451086-WhatsApp Image 2021-09-28 at 15.04.15.jpeg
132,Solbunny NFT Series,95.34,13997.8188,0,0,115,0.1,14.682,0.829043478,121.7201635,22,185,11.89,,https://linkr.bio/solbunnynft,https://content.solsea.io/files/thumbnail/1632207904905-974798342-ff2da91b6241396.png
133,Solana Droid Business,93.72,13759.9704,0,0,36,6,880.92,2.603333333,382.2214,3,5,60,,https://t.co/26beCe9pXC?amp=1,https://content.solsea.io/files/thumbnail/1635011787182-332943916-obkDCVFT_400x400.jpg
134,CyberPunks,92.68,13607.2776,0,0,629,0.1,14.682,0.147344992,21.63319173,55,301,18.27,"Metaverse,Collectibles,Digital,Image",,https://content.solsea.io/files/thumbnail/1637069259276-779735396-01.png
135,Gapes on Sol,91.1,13375.302,42.57,6250.1274,1307,0.03,4.4046,0.069701607,10.2335899,235,473,49.68,"Collectibles,Art,Image,Picture",https://gapesonsol.com,https://content.solsea.io/files/thumbnail/1636896139934-439024121-Untitled_Artwork 2.jpg
136,Moolah Monkeys,90.85,13338.597,27.39555556,4022.215467,504,0.05,7.341,0.180257937,26.46547024,194,368,52.72,"Digital,Art,Collectibles,PFP,2D,Image",https://www.moolahmonkeys.net/,https://content.solsea.io/files/thumbnail/1639051592374-201960425.png
137,Solamanders,88.15,12942.183,0,0,45,0.7,102.774,1.958888889,287.6040667,54,74,72.97,,https://www.solamanders.com/,https://content.solsea.io/files/thumbnail/1632064652665-595287864-solamanders-logo-black - Bob Dixon.png
138,Hash && Dash,87.15,12795.363,0,0,91,0.68,99.8376,0.957692308,140.6083846,27,41,65.85,"Digital,Art,Collectibles,2D,Drawing,Painting",https://christinpenz.de/hash-and-dash.html,https://content.solsea.io/files/thumbnail/1633595741122-373807721-heade-big.png
139,SolSnatchers,87.14,12793.8948,0,0,40,0.51,74.8782,2.1785,319.84737,31,38,81.58,,https://solsnatchers.com/,https://content.solsea.io/files/thumbnail/1632932838399-300920067-sols1.png
140,Ghost Machine ,87.01,12774.8082,0,0,127,1,146.82,0.68511811,100.5890409,26,42,61.9,"Art,Painting,Drawing,Digital,Collectibles,AI,Design",https://www.ghostmachine.ai,https://content.solsea.io/files/thumbnail/1634770824507-598643249-Frame 32@2x.png
141,Verse of Death ,86.49,12698.4618,11.31,1660.5342,51,0.09,13.2138,1.695882353,248.9894471,29,39,74.36,"Metaverse,Art",https://verseofdeath.com/,https://content.solsea.io/files/thumbnail/1637589654375-824034270-Main_Death.png
142,MBBs,85.58,12564.8556,0,0,37,,,2.312972973,339.5906919,0,0,,,,https://content.solsea.io/files/thumbnail/1636195613045-235332662-download (12).png
143,12 Tribes,85,12479.7,0,0,9,,,9.444444444,1386.633333,0,7,,,,https://content.solsea.io/files/thumbnail/1632361987314-740437265-B13715CB-0B4C-4B48-B78B-48B101B6C8F4_auto_x2_colored_toned_light_ai.png
144,The Tower,84.31,12378.3942,0,0,21,1.2,176.184,4.014761905,589.4473429,11,13,84.62,,https://towerdao.com/,https://content.solsea.io/files/thumbnail/1635102208262-508213558-download (8).png
145,Solana Mystery Box,83.12,12203.6784,0,0,244,0.13,19.0866,0.340655738,50.01507541,58,77,75.32,,https://solmystery.io/,https://content.solsea.io/files/thumbnail/1636053808095-435923343--FpwyhkS_400x400.jpg
146,Drippy Penguins,82.64,12133.2048,45.59625,6694.441425,586,0.05,7.341,0.141023891,20.70512765,111,189,58.73,,https://drippy-penguins.com/,https://content.solsea.io/files/thumbnail/1635174814049-981007291-o3Yg8PNU_400x400.jpg
147,Galaxity,81.59,11979.0438,0,0,18,,,4.532777778,665.5024333,0,0,,,,https://content.solsea.io/files/thumbnail/1642022906632-342129614.jpg
148,Ape Fam Passes ,80.57,11829.2874,12.095,1775.7879,707,0.08,11.7456,0.113960396,16.73166535,69,123,56.1,,https://t.co/jIDgSMDRzc,https://content.solsea.io/files/thumbnail/1640692523278-610537805.jpg
149,Ancient Soluments,78.85,11576.757,152,22316.64,38,1.7,249.594,2.075,304.6515,16,76,21.05,"Art,Collectibles,PFP",https://ancientsoluments.com/,https://content.solsea.io/files/thumbnail/1635286682857-407959114-71.png
150,Danerob,78.06,11460.7692,35.2,5168.064,75,0.86,126.2652,1.0408,152.810256,26,40,65,"Digital,Metaverse,Art,Collectibles,PFP,3D,Picture",http://danerob.com/,https://content.solsea.io/files/thumbnail/1637264100059-448038641-Danerob_Logo_bs.png
151,Sol Bit Stars,77.58,11390.2956,35.62525253,5230.499576,247,0.25,36.705,0.314089069,46.11455709,61,130,46.92,"Digital,Art,Design,Collectibles,3D",https://www.cutiekittynft.com/,https://content.solsea.io/files/thumbnail/1640882399274-600765277.png
152,Whales Nation,76.45,11224.389,0,0,98,0.25,36.705,0.780102041,114.5345816,49,72,68.06,"Digital,Art,PFP,3D,Design,Graphics,Collectibles,Sculpture",https://whalesnation.com/,https://content.solsea.io/files/thumbnail/1634782364238-425603534-royal gold.png
153,Folktales of Lunaria,74.15,10886.703,6.89,1011.5898,106,0.17,24.9594,0.699528302,102.7047453,44,53,83.02,,https://lunaria.gg/,https://content.solsea.io/files/thumbnail/1632907343112-475581591-logo solanart - Yoonsup Choi.png
154,Akuma no Neko,73.59,10804.4838,0,0,62,,,1.186935484,174.2658677,0,0,,,,https://content.solsea.io/files/thumbnail/1639954421871-386310075.png
155,Multiverse Llama,72.48,10641.5136,41.4,6078.348,206,0.14,20.5548,0.35184466,51.65783301,122,207,58.94,"2D,Art,Metaverse,Collectibles",https://www.multiversellama.com/,https://content.solsea.io/files/thumbnail/1638882084333-914860872.png
156,Elite Legion,72.15,10593.063,129.6,19027.872,64,0.88,129.2016,1.12734375,165.5166094,60,115,52.17,"Art,Digital,Collectibles,3D",https://www.elite-legion.com/,https://content.solsea.io/files/thumbnail/1641479790441-685124099.jpg
157,Soltato,71.03,10428.6246,0,0,38,1.3,190.866,1.869210526,274.4374895,10,24,41.67,,https://soltato.io,https://content.solsea.io/files/thumbnail/1634125222501-861080735-Cooked&Peeled - Casper Cheng.png
158,Helios Aurory,70.69,10378.7058,35.1,5153.382,175,0.13,19.0866,0.403942857,59.30689029,84,108,77.78,,,https://content.solsea.io/files/thumbnail/1635631706576-929773137-Capture111.JPG
159,bright celebrities,69.87,10258.3134,52.95347826,7774.629678,200,0.3,44.046,0.34935,51.291567,41,127,32.28,"Digital,Collectibles,Art,Drawing,Painting",,https://content.solsea.io/files/thumbnail/1639408556533-101755868.png
160,Solpass,68.88,10112.9616,0,0,38,0.1,14.682,1.812631579,266.1305684,24,27,88.89,,https://solpass.io,https://content.solsea.io/files/thumbnail/1634241702254-507974723-0SKuxRa0_400x400.jpg
161,RowdyRex,68.46,10051.2972,0,0,57,0.42,61.6644,1.201052632,176.3385474,14,17,82.35,Collectibles,https://rowdyrex.com,https://content.solsea.io/files/thumbnail/1636730732608-820476875-3390.png
162,TamaKo - Origins,68.45,10049.829,8.84375,1298.439375,71,0.55,80.751,0.964084507,141.5468873,1,10,10,"Digital,Metaverse,Collectibles,Art,Trading Cards,P2E",https://tamako-nft.com/,https://content.solsea.io/files/thumbnail/1640089519121-323397553.png
163,Goofy Dracula ,67.83,9958.8006,29.24,4293.0168,109,0.2,29.364,0.622293578,91.36514312,44,136,32.35,Art,https://goofydracula.com,https://content.solsea.io/files/thumbnail/1636496313064-688980355-Untitled design (6).png
164,Sol Vikings,67.21,9867.7722,88.15058824,12942.26936,77,0.96,140.9472,0.872857143,128.1528857,57,84,67.86,"Digital,Metaverse,Art,2D,P2E",https://solvikings.com/,https://content.solsea.io/files/thumbnail/1638127545278-706906986-512x512.jpg
165,Social Donkeys,62.67,9201.2094,34.73684211,5100.063158,58,0.55,80.751,1.080517241,158.6415414,31,50,62,"Digital,Metaverse,Art,Collectibles,PFP,2D,Design",https://socialdonkeys.com/,https://content.solsea.io/files/thumbnail/1639965898349-536331299.png
166,WipeMyAss,62.57,9186.5274,0,0,262,0.08,11.7456,0.238816794,35.06308168,56,83,67.47,Art,https://wipemyass.io/,https://content.solsea.io/files/thumbnail/1636486229680-176607043-Sans titre (4).png
167,Dynamic Shields,61.32,9003.0024,38.96144404,5720.319214,831,0.03,4.4046,0.073790614,10.83393791,281,528,53.22,"Art,P2E",https://www.dynamicshields.com/,https://content.solsea.io/files/thumbnail/1641771022097-213852872.jpg
168,Kingdom of Dwarves: Whitelist,60.95,8948.679,0,0,44,2.5,367.05,1.385227273,203.3790682,4,4,100,"3D,Digital,Privilege,Art,Image",https://KingdomOfDwarves.io,https://content.solsea.io/files/thumbnail/1637174479500-730696792-King Gold.png
169,CryptoBills,60.61,8898.7602,0,0,48,0.5,73.41,1.262708333,185.3908375,10,25,40,"Art,Collectibles",https://www.cryptobillnft.com/,https://content.solsea.io/files/thumbnail/1636125604595-855096452-CB3.png
170,Flashy Flamingos,59.51,8737.2582,24.38333333,3579.961,212,0.13,19.0866,0.280707547,41.21348208,135,190,71.05,"PFP,Digital,Art,Collectibles,Drawing",https://flashyflamingos.com/,https://content.solsea.io/files/thumbnail/1635968387809-207159650-Mingo Logo (2).png
171,Heavens Sevens Lotto,59.22,8694.6804,0,0,27,,,2.193333333,322.0252,0,0,,,https://t.co/5gGl2BK5TN,https://content.solsea.io/files/thumbnail/1642188819484-867564585.jpg
172,Broken Robot Burger Bar,58.64,8609.5248,0,0,58,0.6,88.092,1.011034483,148.4400828,28,32,87.5,"Digital,Art",https://brokenrobotburgerbar.com/,https://content.solsea.io/files/thumbnail/1635630617565-559641299-hSOpc1z9_400x400.jpg
173,Genopets Eggs,57.77,8481.7914,0,0,8,,,7.22125,1060.223925,0,0,,,https://www.genopets.me/,https://content.solsea.io/files/thumbnail/1635177191730-453548121-U0GT665X_400x400.jpg
174,Solworms,57.47,8437.7454,20.52,3012.7464,397,0.03,4.4046,0.144760705,21.25376675,266,432,61.57,"Collectibles,Metaverse",https://www.solworms.com/,https://content.solsea.io/files/thumbnail/1636026397777-632815481-solsea.png
175,Phanbots,56.45,8287.989,0,0,137,0.15,22.023,0.412043796,60.49627007,73,130,56.15,,https://t.co/gDeIgfKPbj?amp=1,https://content.solsea.io/files/thumbnail/1637683516660-201316527-O5g3TVO.png
176,SolDoge Strays,56.36,8274.7752,0,0,97,0.15,22.023,0.581030928,85.30696082,138,304,45.39,"PFP,Digital,Art,Collectibles",https://www.soldoge.io,https://content.solsea.io/files/thumbnail/1636644452723-571045934-6.png
177,Moolah Monkey Club,55.98,8218.9836,51.98,7631.7036,20,0.12,17.6184,2.799,410.94918,45,113,39.82,"Digital,Art,Collectibles,PFP,2D,Drawing,Image",https://www.moolahmonkeys.net/,https://content.solsea.io/files/thumbnail/1639452779128-457947738.png
178,SOLSY The Whale ,55.32,8122.0824,0,0,112,0.1,14.682,0.493928571,72.51859286,27,54,50,"Art,PFP,Digital,Collectibles,Metaverse,Graphics,Drawing,Image,Picture",https://discord.gg/E5Bwgm7mmr,https://content.solsea.io/files/thumbnail/1632153583069-13727582-8.png
179,Cyborg Apes,54.32,7975.2624,0,0,16,,,3.395,498.4539,0,0,,,https://www.cyborg-apes.com/,https://content.solsea.io/files/thumbnail/1641833894140-481530056.jpg
180,Terrestrial T-Rex Club,51.78,7602.3396,0,0,162,0.19,27.8958,0.31962963,46.92802222,37,53,69.81,"Digital,Metaverse,Art,PFP,Graphics,2D,Drawing,Design,Image",https://www.terrestrialtrexclub.com/,https://content.solsea.io/files/thumbnail/1636486345278-43679650-Robex Leader Icy Monocle.png
181, Numismatic NFT's,50,7341,0,0,10,5,734.1,5,734.1,1,35,2.86,,acdcnfts.com,https://content.solsea.io/files/thumbnail/1633660764860-684275926-88F46C5C-20AA-419B-90BE-8215C5AFE0F9.jpeg
182,The Millennials ,49.55,7274.931,29.83,4379.6406,65,0.3,44.046,0.762307692,111.9220154,80,157,50.96,,https://themillennials.io/,https://content.solsea.io/files/thumbnail/1637579697506-669981716-advertising NFT background-01.png
183,Kiddo Monkeys,48.6,7135.452,5.46,801.6372,120,0.08,11.7456,0.405,59.4621,67,91,73.63,,https://solanamonkeysclub.com,https://content.solsea.io/files/thumbnail/1632764320906-293440774-108 - Kiddo Monkey.jpg
184,Barber Heart,48.28,7088.4696,0,0,6,8.12,1192.1784,8.046666667,1181.4116,1,12,8.33,"Physical,Privilege,Collectibles",https://lxvestudios.com/nfts/,https://content.solsea.io/files/thumbnail/1638943294474-3525310.jpg
185,The Baby Boogles,47.9,7032.678,4.736,695.33952,94,0.06,8.8092,0.509574468,74.8157234,25,37,67.57,,,https://content.solsea.io/files/thumbnail/1641489382019-946338320.jpg
186,SOLSTEADS OFFICAL,47.5,6973.95,0,0,18,1.8,264.276,2.638888889,387.4416667,5,8,62.5,,https://solsteads.com/,https://content.solsea.io/files/thumbnail/1632992695099-97219838-solsteads.jpg
187,Solana Ducks,47.41,6960.7362,0,0,466,0.09,13.2138,0.101738197,14.93720215,82,124,66.13,"Art,Pixel Art,Digital",,https://content.solsea.io/files/thumbnail/1639589023136-888665374.png
188,Malibu Dolphin Mixer,47.28,6941.6496,37.14857143,5454.153257,42,0.41,60.1962,1.125714286,165.2773714,29,33,87.88,,,https://content.solsea.io/files/thumbnail/1642007340887-906108212.jpg
189,Blockasset x Dosbrak Legends,45.66,6703.8012,0,0,18,45,6606.9,2.536666667,372.4334,1,1,100,,https://blockasset.co/#/legends,https://content.solsea.io/files/thumbnail/1636286132413-282333098-yawj-hHo_400x400.jpeg
190,Funky Punks V2,45.33,6655.3506,0,0,185,0.09,13.2138,0.245027027,35.97486811,194,397,48.87,"Metaverse,Art",https://funkypunks.net/,https://content.solsea.io/files/thumbnail/1636455303474-758896590-Gu1idVuR_400x400.jpg
191,VETUS AMICITIA,45,6606.9,0,0,15,,,3,440.46,0,0,,Art,www.keezerfeld.com,https://content.solsea.io/files/thumbnail/1634620133592-7233650-Dv32hgHl_400x400.jpg
192,Danger Valley Ducks,44.91,6593.6862,0,0,27,3,440.46,1.663333333,244.2106,5,5,100,,https://t.co/DQxCL79tgx,https://content.solsea.io/files/thumbnail/1639859061835-831134371.jpg
193,Shiba SolGang,44.53,6537.8946,0,0,91,0.1,14.682,0.489340659,71.8449956,91,207,43.96,,https://t.co/HQfUnEDCyD?amp=1,https://content.solsea.io/files/thumbnail/1635442203075-512172148-mZ2A_V-V_400x400.jpg
194,Point Of Departure ,44.07,6470.3574,15.92,2337.3744,67,1.99,292.1718,0.657761194,96.57249851,8,8,100,"Digital,Art,Drawing",https://mattsydespo.wixsite.com/website-1,https://content.solsea.io/files/thumbnail/1634584974465-582968843-Collection_1_Icon.png
195,BEAR MARKET BAR,43.98,6457.1436,0,0,64,0.2,29.364,0.6871875,100.8928687,98,147,66.67,"Art,Collectibles,2D,Digital",https://bearmarketbar.com/,https://content.solsea.io/files/thumbnail/1635673098705-214823613-BMB 01 512.jpg
196,Zombie Ape Club,43.96,6454.2072,0,0,43,0.34,49.9188,1.022325581,150.0978419,26,78,33.33,Collectibles,https://zombieape.club/,https://content.solsea.io/files/thumbnail/1635344037018-371152842-12f1517f-333c-11ec-bac1-77eb59d9e891.png
197,Koalas,43.57,6396.9474,0,0,92,0.4,58.728,0.473586957,69.53203696,9,13,69.23,,,https://content.solsea.io/files/thumbnail/1636074398259-256532976-download (11).png
198,Sol Kitties,43.54,6392.5428,56.12857143,8240.796857,37,0.46,67.5372,1.176756757,172.771427,41,50,82,"Art,Collectibles,Metaverse,PFP,Graphics,2D",http://www.solkitties.net,https://content.solsea.io/files/thumbnail/1640089294610-689409563.png
199,GEMSkulls,42.8,6283.896,36.8,5402.976,106,0.3,44.046,0.403773585,59.28203774,33,56,58.93,"Digital,Collectibles,3D",https://nft-maslo.aqulas.me/,https://content.solsea.io/files/thumbnail/1637699669496-187958156-2.png
200,Eternal Beings,42.32,6213.4224,0,0,78,0.1,14.682,0.542564103,79.65926154,32,67,47.76,,,https://content.solsea.io/files/thumbnail/1632737644087-617830761-FAPo7I1UYAAetZS.jpeg
201,Mystic Girls Club ,41.84,6142.9488,0,0,60,0.35,51.387,0.697333333,102.38248,32,44,72.73,,https://t.co/lMMCPs39k1,https://content.solsea.io/files/thumbnail/1638480946211-491009923.jpg
202,I CAN WRITE NEAT,41.6,6107.712,0,0,13,20,2936.4,3.2,469.824,1,1,100,,"www.keezerfeld,com",https://content.solsea.io/files/thumbnail/1633883618249-214970693-Dv32hgHl_400x400.jpg
203,UNQ Universe,40.84,5996.1288,13.8,2026.116,52,0.19,27.8958,0.785384615,115.3101692,57,115,49.57,"Digital,Art,Collectibles",https://unquniverse.com/,https://content.solsea.io/files/thumbnail/1636570299227-842339158-Solsea designs - profile.png
204,Angry Bunny Club,40.79,5988.7878,0,0,35,1.9,278.958,1.165428571,171.1082229,10,13,76.92,"Collectibles,2D,Digital",https://angrybunny.club/,https://content.solsea.io/files/thumbnail/1633882721740-716953628-bun.png
205,3D Flowers,40.43,5935.9326,0,0,25,,,1.6172,237.437304,0,0,,,https://t.co/Oi8daIyN5q,https://content.solsea.io/files/thumbnail/1640232753115-496216139.jpg
206,Cubist Animals,40.23,5906.5686,69.92142857,10265.86414,67,0.75,110.115,0.600447761,88.1577403,14,39,35.9,"Art,AI,Image,Picture,Painting,Collectibles",https://solsea.io/collection/61ac194e3b2c46f84e459855,https://content.solsea.io/files/thumbnail/1638734364519-465026153.jpg
207,Long Neck New World,40.08,5884.5456,0,0,58,2.27,333.2814,0.691034483,101.4576828,20,28,71.43,PFP,,https://content.solsea.io/files/thumbnail/1632157857614-964170275-0001.png
208,Galaxy Solo,39.92,5861.0544,62.27,9142.4814,54,0.29,42.5778,0.739259259,108.5380444,122,182,67.03,,www.galaxysolo.com,https://content.solsea.io/files/thumbnail/1633090173781-30182859-logo.png
209,Royal Bear Zilla 3D,39.86,5852.2452,0,0,111,0.12,17.6184,0.359099099,52.72292973,92,150,61.33,,https://t.co/7kk7u8x9fy?amp=1,https://content.solsea.io/files/thumbnail/1635854985177-750770030-4RqyfN64_400x400.jpg
210,PyramidsofPower,39.85,5850.777,0,0,80,0.49,71.9418,0.498125,73.1347125,6,6,100,,https://www.pyramidsofpower.com/,https://content.solsea.io/files/thumbnail/1633454015963-687108504-52.png
211,Groovy Afterlife,39.26,5764.1532,0,0,47,0.23,33.7686,0.835319149,122.6415574,25,152,16.45,,https://groovyafterlife.xyz,https://content.solsea.io/files/thumbnail/1633182964178-22341166-logo2 - GROOVY AFTERLIFE.png
212,Sol Millionaire Club,39.25,5762.685,0,0,15,1,146.82,2.616666667,384.179,4,6,66.67,"Art,Collectibles,Trading Cards",,https://content.solsea.io/files/thumbnail/1633523542696-695308736-exchange-sq-white.png
213,Degenerate Ape Academy,39.05,5733.321,0,0,2,,,19.525,2866.6605,0,0,,,https://www.degenape.academy/,https://content.solsea.io/files/thumbnail/1631899069567-818843516-degenapes_icon - v 2.png
214,SolTreez,38.99,5724.5118,0,0,64,0.75,110.115,0.60921875,89.44549688,9,17,52.94,,https://t.co/hmDWMD4H9K?amp=1,https://content.solsea.io/files/thumbnail/1635352657809-947711964-s1XBgcOk_400x400.png
215,ROGUE SHARKS,38.73,5686.3386,0,0,8,8,1174.56,4.84125,710.792325,6,6,100,,https://www.roguesharks.org/,https://content.solsea.io/files/thumbnail/1634291597574-421565947-Q1-6BRWp_400x400.jpg
216,Undead Sols,38.7,5681.934,23.46,3444.3972,400,0.08,11.7456,0.09675,14.204835,134,276,48.55,,https://t.co/35O88T7VSB?amp=1,https://content.solsea.io/files/thumbnail/1635444975986-84249638-5dUQQ7bn_400x400.jpg
217,Pawnshop Gnomies ,38.02,5582.0964,0,0,48,,,0.792083333,116.293675,0,0,,,https://pawnshopgnomies.com,https://content.solsea.io/files/thumbnail/1637307399360-151392130-gnom.jpg
218,Portals,37.91,5565.9462,10.32,1515.1824,30,1.9,278.958,1.263666667,185.53154,8,8,100,,Portals.Art,https://content.solsea.io/files/thumbnail/1636230102151-819332341-pQ7zEXmk_400x400.jpg
219,HalászÚr ,37.1,5447.022,3,440.46,60,12,1761.84,0.618333333,90.7837,3,3,100,"Digital,Privilege,Art,Collectibles,Graphics",https://halaszur.hu,https://content.solsea.io/files/thumbnail/1639676251078-431108515.jpg
220,Artem Cryptoart,37,5432.34,0,0,37,10,1468.2,1,146.82,2,2,100,,,https://content.solsea.io/files/thumbnail/1632408435670-4867903-logo 2.jpg
221,PixMonkies,36.85,5410.317,8.1,1189.242,136,0.2,29.364,0.270955882,39.78174265,16,27,59.26,"Digital,Art,Collectibles,PFP,Image,Design,Pixel Art",https://pixmonkies.com/,https://content.solsea.io/files/thumbnail/1640476564121-665771995.png
222,PsyShrooms,36.77,5398.5714,41.44,6084.2208,317,0.2,29.364,0.115993691,17.03019369,72,111,64.86,"Art,Collectibles,2D,Metaverse",https://psyshrooms.io/,https://content.solsea.io/files/thumbnail/1641633986813-759458625.png
223,SolaJump NFT Game,36.38,5341.3116,40.65333333,5968.7224,29,1.3,190.866,1.254482759,184.1831586,24,32,75,"P2E,Collectibles",https://solajump.com/,https://content.solsea.io/files/thumbnail/1638440781019-386687774.png
224,Thirsty Cactus Garden Party,36.3,5329.566,0,0,125,0.03,4.4046,0.2904,42.636528,81,122,66.39,,https://www.thirstycactusgardenparty.com,https://content.solsea.io/files/thumbnail/1635109999560-895240248-QmRqB8S21YqwMWsmTkDUNKKgT6om3MkQQ4YDeqWWmXvVLK.png
225,astro pepes,36,5285.52,0,0,12,8,1174.56,3,440.46,4,6,66.67,"Digital,Art,PFP,Drawing,Metaverse,Collectibles",,https://content.solsea.io/files/thumbnail/1635518816055-252604801-leo.jpg
226,Silly Seals,35.77,5251.7514,63.7,9352.434,137,0.2,29.364,0.261094891,38.33395182,32,182,17.58,"Digital,Collectibles,2D,Art",https://sillysealsnfts.com/,https://content.solsea.io/files/thumbnail/1639686445459-688432946.jpg
227,Grumpy Grandpas,35.09,5151.9138,0,0,22,0.5,73.41,1.595,234.1779,54,65,83.08,"Digital,Art,Video,Graphics",https://grumpygrandpasnft.com,https://content.solsea.io/files/thumbnail/1636613096674-598544383-solsea-icon.png
228,Asgard Army,34.89,5122.5498,0,0,359,0.1,14.682,0.09718663,14.26894095,37,54,68.52,3D,https://asgardarmy.com/,https://content.solsea.io/files/thumbnail/1635951039575-63923749-pp.png
229,Sea Rovers,34.81,5110.8042,41.66842105,6117.757579,57,0.35,51.387,0.610701754,89.66323158,47,70,67.14,"Metaverse,Art,Collectibles,2D,Image,Digital",https://searoversnft.com/,https://content.solsea.io/files/thumbnail/1637115760234-460202481-4-up.png
230,Investor Whale,34.7,5094.654,37.26,5470.5132,17,1,146.82,2.041176471,299.6855294,3,9,33.33,"Art,Painting,AI,Image,Digital,Collectibles",https://investorwhale.wordpress.com/,https://content.solsea.io/files/thumbnail/1636803455053-677508700-whale investor.png
231,Cryptonic Creations,33.57,4928.7474,54.6975,8030.68695,85,0.33,48.4506,0.394941176,57.98526353,28,99,28.28,"Digital,Metaverse,Art,Graphics,3D,Design,Image",https://cryptoniccreations.com,https://content.solsea.io/files/thumbnail/1635946571153-158860011-GlowingSkulls2.jpg
232,Waxo Skulls,33.31,4890.5742,0,0,236,0.11,16.1502,0.141144068,20.72277203,35,57,61.4,"Collectibles,Digital,2D,Art,Image,Drawing",https://waxowood.com/,https://content.solsea.io/files/thumbnail/1632495242736-843627527-SKULL NFT LEGENDAIRE 02.png
233,Rogue Pandas,33.24,4880.2968,29.64648649,4352.697146,37,0.64,93.9648,0.898378378,131.8999135,27,33,81.82,"Metaverse,Art,Collectibles",https://roguepandas.io/,https://content.solsea.io/files/thumbnail/1638277458275-587346973-EACEE0DD-E6B9-46D4-912D-6C068CC41D26.png
234,Pandas Tickets #1,32.95,4837.719,0,0,64,0.2,29.364,0.51484375,75.58935938,6,6,100,,https://pandasparadise.pet,https://content.solsea.io/files/thumbnail/1632391665429-671835064-Ticket.png
235,BORED CATS CLUB,32.51,4773.1182,32.50892857,4772.960893,605,0.05,7.341,0.053735537,7.88945157,172,331,51.96,,,https://content.solsea.io/files/thumbnail/1637164572021-896631912-Eo9cBtcO_400x400.jpg
236,Cult of Meerkats,31.7,4654.194,17.80777778,2614.537933,800,0.02,2.9364,0.039625,5.8177425,158,517,30.56,,https://t.co/aNWW18XltV?amp=1,https://content.solsea.io/files/thumbnail/1637532811431-353702865-fN5QyvOK_400x400.jpg
