ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3
FFR,First Trust FTSE EPRA/NAREIT Global Real Estate Index Fund,First Trust FTSE EPRA/NAREIT Global Real Estate Index Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the FTSE EPRA/NAREIT Developed Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks or in depositary receipts representing securities in the index. The index is modified market cap weighted based on free float market capitalization and tracks the performance of listed real estate companies or real estate investment trusts (""REITs"") in North America, Europe and Asia.",http://www.ftportfolios.com,FFR.png,,NYSE Arca,48650793,,,,
FFWM,First Foundation Inc.,First Foundation,Banks,"First Foundation Inc is a financial services company. It focuses on providing investment management, wealth planning, consulting, banking products and services, life insurance services, property and casualty insurance services to their clients.",http://www.ff-inc.com,FFWM.png,Scott Kavanaugh,NASDAQ Global Market,652756423,Financial Services,Financial Services,Banks - Regional - US,Banks
FG,FGL Holdings,FGL,Insurance - Life,"FGL Holdings is a Cayman-based holding company. Its principal operations are conducted through life insurance and annuity products. Through its holdings it offers annuity and life insurance service, and reinsurer services in Bermuda and USA.",http://www.fglife.bm,FG.png,Christopher O. Blunt,New York Stock Exchange,1728176346,Financial Services,Financial Services,Insurance - Life,
FGB,First Trust Specialty Finance and Financial Opportunities Fund,First Trust Specialty Finance and Financial Opportunities Fund,Asset Management,"First Trust Specialty Fnc & Fncl Oppor is a non-diversified, closed-end management investment company. The fund's primary investment objective is to seek a high level of current income. It seeks positive total return as a secondary objective.",http://www.ftportfolios.com,FGB.png,James M. Dykas,New York Stock Exchange,89111761,Financial Services,Financial Services,Asset Management,
FGBI,First Guaranty Bancshares Inc.,First Guaranty Bancshares,Banks,"First Guaranty Bancshares Inc is a bank holding company. The company, along with its subsidiary, provides personalized commercial banking services to businesses, professionals and individuals.",http://www.fgb.net,FGBI.png,Alton B. Lewis,NASDAQ Global Market,184950675,Financial Services,Financial Services,Banks - Regional - US,Banks
FGD,First Trust DJ Global Select Dividend,First Trust DJ Global Select Dividend,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Dow Jones Global Select Dividend IndexSM.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks or in depositary receipts representing securities in the index. The index is an indicated annual dividend yield weighted index of 100 stocks selected from the developed-market portion of the Dow Jones World IndexSM.",http://www.ftportfolios.com,FGD.png,,NYSE Arca,477050047,,,,
FGEN,FibroGen Inc,FibroGen,Biotechnology,"FibroGen Inc is a biopharmaceutical company. It is engaged in the discovery, development and commercialization of novel therapeutics to treat serious unmet medical needs.",http://www.fibrogen.com,,Thomas B. Neff,Nasdaq Global Select,4794461920,Healthcare,Healthcare,Biotechnology,
FGM,First Trust Germany AlphaDEX Fund,First Trust Germany AlphaDEX Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX® Germany Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks and/or depositary receipts that comprise the index. The index is designed to select stocks from the NASDAQ Germany Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology.",http://www.ftportfolios.com,FGM.png,,NASDAQ Global Market,148331154,,,,
FGP,Ferrellgas Partners L.P.,Ferrellgas Partners,Oil & Gas - Refining & Marketing,"Ferrellgas Partners LP is engaged in the retail distribution of propane and related equipment and midstream operations, which include crude oil logistics.",http://www.ferrellgas.com,FGP.png,James E. Ferrell,New York Stock Exchange,116583198,Energy,Energy,Oil & Gas Refining & Marketing,Oil & Gas - Refining & Marketing
FHB,First Hawaiian Inc.,First Hawaiian,Banks,"First Hawaiian Inc is a United States-based bank holding company. It provides a diversified range of banking services to consumer and commercial customers, including deposit products, lending services and wealth management and trust services.",https://www.fhb.com,FHB.png,Robert S. Harrison,Nasdaq Global Select,3514824310,Financial Services,Financial Services,Banks - Regional - US,Banks
FHN,First Horizon National Corporation,First Horizon National,Banks,"First Horizon National Corp is engaged in providing financial products and services, including traditional lending and deposit taking, to consumer and commercial customers.",http://www.firsthorizon.com,FHN.png,D. Bryan Jordan,New York Stock Exchange,4778595000,Financial Services,Financial Services,Banks - Regional - US,Banks
FI,Frank's International N.V.,Frank's International N.V.,Oil & Gas - Services,"Frank's International NV provides tubular services, tubular fabrication and specialty well construction and well intervention solutions to both offshore and onshore exploration and production companies.",http://www.franksinternational.com,,Michael C. Kearney,New York Stock Exchange,1374897099,Energy,Energy,Oil & Gas Equipment & Services,Oil & Gas - Services
FIBK,First Interstate BancSystem Inc.,First Interstate BancSystem,Banks,"First Interstate BancSystem Inc is a financial and bank holding company. It delivers a range of banking products and services to individuals, businesses, municipalities and other entities.",https://www.firstinterstatebank.com,FIBK.png,Kevin P. Riley,Nasdaq Global Select,2409899957,Financial Services,Financial Services,Banks - Regional - US,Banks
FICO,Fair Isaac Corproation,Fair Isaac Corproation,Application Software,"Fair Isaac Corp is a provider of analytic, software and data management products and services that enables businesses to automate, improve and connect decisions. It operates in three segments: applications, scores, and tools.",http://www.fico.com,FICO.png,William J. Lansing,New York Stock Exchange,6688120732,Technology,Technology,Software - Infrastructure,Application Software
FIF,First Trust Energy Infrastructure Fund of Beneficial Interest,First Trust Energy Infrastructure Fund of Beneficial Interest,Asset Management,"First Trust Energy Infrastructure Fund is a non-diversified, closed-end management investment company. Its investment objective is to seek a high level of total return with an emphasis on current distributions paid to shareholders.",http://www.ftportfolios.com,FIF.png,James M. Dykas,New York Stock Exchange,266763587,Financial Services,Financial Services,Asset Management,
FII,Federated Investors Inc.,Federated Investors,Asset Management,"Federated Investors Inc provides investment management products and related financial services. The company sponsors, markets and provides investment-related services to various investment products, including mutual funds and Separate Accounts.",http://www.federatedinvestors.com,FII.png,J. Christopher Donahue,New York Stock Exchange,2639134727,Financial Services,Financial Services,Asset Management,
FILL,iShares MSCI Global Energy Producers Fund,iShares MSCI Global Energy Producers Fund,,"The investment seeks to track the investment results of the MSCI ACWI Select Energy Producers Investable Market Index (IMI).
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the combined performance of equity securities of companies in both developed and emerging markets that are primarily engaged in the business of energy exploration and production. The fund is non-diversified.",http://www.ishares.com,FILL.png,,NYSE Arca,48986880,,,,
FINU,ProShares UltraPro Financial Select Sector,ProShares UltraPro Financial Select Sector,,"The investment seeks daily investment results, before fees and expenses, that correspond to three times (3x) the daily performance of the S&P Financial Select Sector Index.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index represents the financial industry group of the S&P 500 Index (""S&P 500""). The fund is non-diversified.",http://www.proshares.com,FINU.png,,NYSE Arca,31762801,,,,
FIS,Fidelity National Information Services Inc.,Fidelity National Information Services,Business Services,"Fidelity National Information Services Inc offers a range of solutions in retail and institutional banking, payments, asset and wealth management, risk and compliance, treasury and insurance and provides consulting and outsourcing services.",http://www.fisglobal.com,FIS.png,Gary A. Norcross,New York Stock Exchange,35686396564,Industrials,Industrials,Business Services,
FISI,Financial Institutions Inc.,Financial Institutions,Banks,"Financial Institutions Inc offers full range of banking and related financial services to consumer,commercial and municipal customers through its bank and nonbank subsidiaries.",http://www.snl.com,FISI.png,Martin K. Birmingham,Nasdaq Global Select,442029750,Financial Services,Financial Services,Banks - Regional - US,Banks
FISK,Empire State Realty OP L.P. Series 250 Operating Partnership Units Representing Limited Partnership Interests,Empire State Realty OP Series 250 Operating Partnership Units Representing Limited Partnership Interests,REITs,"Empire State Realty OP LP owns, operates, acquires and repositions properties such as Empire State Building, One Grand Central Place in Manhattan and the greater New York metropolitan area. It operates in two segments, Real Estate and Observatory.",http://www.empirestaterealtytrust.com,FISK.png,,NYSE Arca,4523253183,Real Estate,Real Estate,REIT - Diversified,REITs
FISV,Fiserv Inc.,Fiserv,Business Services,Fiserv Inc is a business solutions provider. Its service offering primarily includes electronic processing services.,http://www.fiserv.com,FISV.png,Jeffery W. Yabuki,Nasdaq Global Select,32891942753,Industrials,Industrials,Business Services,
FIT,Fitbit Inc. Class A,Fitbit,Computer Hardware,"Fitbit Inc provides fitness tracking devices, wearable devices, and the health and fitness goals. It provides platform to combine connected health and fitness devices with software and services.",http://www.fitbit.com,FIT.png,James Park,New York Stock Exchange,1533437991,Technology,Technology,Scientific & Technical Instruments,Computer Hardware
FITB,Fifth Third Bancorp,Fifth Third Bancorp,Banks,"Fifth Third Bancorp provides banking products and services. The company offers checking, savings and money market accounts and credit products. Its segments are Commercial Banking, Branch Banking, Consumer Lending and Wealth and Asset Management.",http://www.53.com,FITB.png,Greg D. Carmichael,Nasdaq Global Select,17549565340,Financial Services,Financial Services,Banks - Regional - US,Banks
FIV,First Trust Senior Floating Rate 2022 Target Term Fund of Beneficial Interest,First Trust Senior Floating Rate 2022 Target Term Fund of Beneficial Interest,Asset Management,"FIRST TRUST SENIOR FLOATING RATE 2022 TARGET TERM FUND is a diversified, closed-end management investment company. The Fund's investment objectives are to seek a high level of current income and to provide returns on investment.",http://www.ftportfolios.com,FIV.png,James M. Dykas,New York Stock Exchange,319617595,Financial Services,Financial Services,Asset Management,
FIVE,Five Below Inc.,Five Below,Retail - Apparel & Specialty,"Five Below Inc is a retailer offering merchandise for teen and pre-teen customers. Its merchandise includes Style, Room, Sports, Tech, Crafts, Party, Candy and Now. It offers a broad range of discount merchandise at prices up to $5.",http://www.fivebelow.com,FIVE.png,Joel D. Anderson,Nasdaq Global Select,7070904550,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty
FIVN,Five9 Inc.,Five9,Application Software,"Five9 Inc provides cloud software for contact centers. The Company is engaged in providing research, development and client support services for contact centers.",http://www.five9.com,FIVN.png,Rowan M. Trollope,NASDAQ Global Market,3068483823,Technology,Technology,Software - Infrastructure,Application Software
FIW,First Trust Water,First Trust Water,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the ISE Clean Edge Water Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks that comprise the index. The index is a modified market-capitalization weighted portfolio of 36 stocks of companies as of March 29, 2018 that derive a substantial portion of their revenues from the potable and wastewater industries which are generally industrial and utilities companies.",http://www.ftportfolios.com,FIW.png,,NYSE Arca,314145097,,,,
FIX,Comfort Systems USA Inc.,Comfort Systems USA,Engineering & Construction,"Comfort Systems USA Inc provides mechanical contracting services. It offers heating, ventilation and air conditioning, plumbing, piping and controls, as well as off-site construction, electrical, monitoring and fire protection.",http://www.comfortsystemsusa.com,FIX.png,Brian E. Lane,New York Stock Exchange,1777618983,Industrials,Industrials,Engineering & Construction,
FIXX,Homology Medicines Inc.,Homology Medicines,Biotechnology,"Homology Medicines is an US based genetic medicines company. It is dedicated towards translating proprietary, cutting-edge gene editing and gene therapy technology into cures for patients with rare diseases.",https://www.homologymedicines.com,FIXX.png,Arthur Tzianabos,Nasdaq Global Select,808033908,Healthcare,Healthcare,Biotechnology,
FIZZ,National Beverage Corp.,National Beverage,Beverages - Non-Alcoholic,"National Beverage Corp is engaged in the development, manufacturing, marketing and sale of flavored beverage products. It offers Sparkling Waters, Juices, Energy Drinks and Carbonated Soft Drinks.",http://www.nationalbeverage.com,,Nick A. Caporella,Nasdaq Global Select,3922616201,Consumer Defensive,Consumer Defensive,Beverages - Soft Drinks,Beverages - Non-Alcoholic
FJP,First Trust Japan AlphaDEX Fund,First Trust Japan AlphaDEX Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX® Japan Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks and/or depositary receipts that comprise the index. The index is designed to select stocks from the NASDAQ Japan Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology.",http://www.ftportfolios.com,FJP.png,,NASDAQ Global Market,132447100,,,,
FKO,First Trust South Korea AlphaDEX Fund,First Trust South Korea AlphaDEX Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX® South Korea Index.
 The fund normally invests at least 90% of its net assets (including investment borrowings) in common stocks and/or depositary receipts that comprise the index. The index is designed to select stocks from the NASDAQ South Korea Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology.",http://www.ftportfolios.com,FKO.png,,NASDAQ Global Market,2334047,,,,
FKU,First Trust United Kingdom AlphaDEX Fund,First Trust United Kingdom AlphaDEX Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX® United Kingdom Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks and/or depositary receipts that comprise the index. The index is designed to select stocks from the NASDAQ United Kingdom Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology.",http://www.ftportfolios.com,FKU.png,,NASDAQ Global Market,8943822,,,,
FL,Foot Locker Inc.,Foot Locker,Manufacturing - Apparel & Furniture,Foot Locker Inc operates in the footwear industry. Its core business involves retailing of athletic shoes and apparel through mall based stores.,http://www.footlocker-inc.com,FL.png,Richard A. Johnson,New York Stock Exchange,6304917782,Consumer Cyclical,Consumer Cyclical,Footwear & Accessories,Manufacturing - Apparel & Furniture
FLAT,iPath US Treasury Flattener ETN,iPath US Treasury Flattener ETN,,"The investment seeks to provide investors with inverse exposure to the Barclays US Treasury 2Y/10Y Yield Curve Index™. 
The Barclays US Treasury 2Y/10Y Yield Curve Index™ (the ""index"") employs a strategy that seeks to capture returns that are potentially available from a ""steepening"" or ""flattening"", as applicable, of the U.S. Treasury yield curve through a notional rolling investment in U.S. Treasury note futures contracts. The level of the index is designed to increase in response to a ""steepening"" of the yield curve and to decrease in response to a ""flattening"" of the yield curve.",http://www.barclaysinvestments.co.uk,,,NASDAQ Global Market,4517189,,,,
FLC,Flaherty & Crumrine Total Return Fund Inc,Flaherty & Crumrine Total Return Fund,Asset Management,Flaherty & Crumrine Total Return Fund Inc is an investment fund. The Fund's investment objective is to provide its common shareholders with high current income. The Fund's secondary investment objective is capital appreciation.,http://www.flahertyfunds.com,FLC.png,R. Eric Chadwick,New York Stock Exchange,184722829,Financial Services,Financial Services,Asset Management,
FLDM,Fluidigm Corporation,Fluidigm,Medical Diagnostics & Research,"Fluidigm Corp creates, manufactures, and markets technologies and life-science tools focused on the exploration and analysis of single cells, as well as the industrial application of genomics, based upon microfluidics and mass cytometry technologies.",http://www.fluidigm.com,FLDM.png,Stephen Christopher Linthwaite,Nasdaq Global Select,419751831,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research
FLEX,Flex Ltd.,Flex,Computer Hardware,"Flex Ltd is a provider of Sketch-to-Scale services. It provides designing, manufacturing and supply chain services of packaged consumer electronics and industrial products to various industries and end-markets.",https://www.flex.com,FLEX.png,,Nasdaq Global Select,4960444076,Technology,Technology,Contract Manufacturers,Computer Hardware
FLF,Federal Life Group Inc.,Federal Life,Insurance - Life,,http://www.Federallife.com,FLF.png,William S. Austin,NASDAQ Capital Market,41480438,Financial Services,Financial Services,Insurance - Life,
FLGT,Fulgent Genetics Inc.,Fulgent Genetics,Medical Diagnostics & Research,Fulgent Genetics Inc is a technology company offering genetic testing to provide physicians with clinically actionable diagnostic information used to improve the overall quality of patient care.,https://www.fulgentgenetics.com,FLGT.png,Ming Hsieh,NASDAQ Global Market,73572256,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research
FLIC,The First of Long Island Corporation,The First of Long Island,Banks,"First of Long Island Corp is a holding company which provides financial services through its subsidiary, The First National Bank of Long Island. It offers services of saving account and lending services to professionals, consumers and public bodies.",http://www.fnbli.com,,Michael N. Vittorio,NASDAQ Capital Market,538032955,Financial Services,Financial Services,Banks - Regional - US,Banks
FLIR,FLIR Systems Inc.,FLIR Systems,Computer Hardware,FLIR Systems Inc is engaged in the scientific instrument industry. It develops detection apparatus such as thermal imaging systems and visible-light imaging systems.,http://www.flir.com,FLIR.png,James J. Cannon,Nasdaq Global Select,6773520332,Technology,Technology,Scientific & Technical Instruments,Computer Hardware
FLKS,Flex Pharma Inc.,Flex Pharma,Biotechnology,Flex Pharma Inc is a biotechnology company. The company is engaged in developing proprietary treatments for nocturnal leg cramps and spasms associated with severe neuromuscular conditions.,http://www.flex-pharma.com,FLKS.png,William K. McVicar,NASDAQ Global Market,6132780,Healthcare,Healthcare,Biotechnology,
FLL,Full House Resorts Inc.,Full House Resorts,Travel & Leisure,"Full House Resorts Inc, through its subsidiaries, owns, operates, develops, manages, and invests in casinos and related hospitality and entertainment facilities. The Company manages its casinos based on geographic regions within the United States.",http://www.fullhouseresorts.com,FLL.png,Daniel R. Lee,NASDAQ Capital Market,63290597,Consumer Cyclical,Consumer Cyclical,Resorts & Casinos,Travel & Leisure
FLM,First Trust Global Engineering and Construction,First Trust Global Engineering and Construction,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the ISE Global Engineering and ConstructionTM Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks or in depositary receipts representing securities in the index. The index provides a benchmark for investors interested in tracking public companies throughout the world that are active in the engineering and construction industries, based on analysis of the products and services offered by those companies.",http://www.ftportfolios.com,FLM.png,,NYSE Arca,12375124,,,,
FLMN,Falcon Minerals Corporation,Falcon Minerals,Oil & Gas - E&P,,https://www.falconminerals.com,,,NASDAQ Capital Market,704011000,Energy,Industrials,Conglomerates,Energy
FLN,First Trust Latin America AlphaDEX Fund,First Trust Latin America AlphaDEX Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX® Latin America Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks and/or depositary receipts that comprise the index. The index is designed to select stocks from the NASDAQ Latin America Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology.",http://www.ftportfolios.com,FLN.png,,NASDAQ Global Market,17360043,,,,
FLNT,Fluent Inc.,Fluent,Advertising & Marketing Services,"Fluent Inc is a data and analytics company. The firm is engaged in providing cloud-based, information and performance marketing solutions to enterprises in a variety of industries.",http://www.fluentco.com,FLNT.png,Ryan Schulke,NASDAQ Global Market,353869251,Consumer Cyclical,Consumer Cyclical,Marketing Services,Advertising & Marketing Services
FLO,Flowers Foods Inc.,Flowers Foods,Consumer Packaged Goods,"Flowers Foods Inc functions in the food and beverage industry. It primarily manufactures and sells packaged bakery products under the brand names such as Nature's Own, Whitewheat and Wonder Bread.",http://www.flowersfoods.com,FLO.png,Allen L. Shiver,New York Stock Exchange,4152526626,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods
FLOT,iShares Floating Rate Bond,iShares Floating Rate Bond,,"The investment seeks to track the investment results of the Bloomberg Barclays US Floating Rate Note < 5 Years Index (the ""underlying index""), which measures the performance of U.S. dollar-denominated, investment-grade floating rate notes.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which BFA believes will help the fund track the underlying index.",http://www.ishares.com,FLOT.png,,Cboe Global Markets EDGX,10782576000,,,,
FLOW,SPX FLOW Inc.,SPX FLOW,Industrial Products,"SPX FLOW Inc is engaged in engineering, designing and manufacturing of flow control systems integral to process, blend, transport, meter, filters and dehydrate various types of fluids, gases and powders across a range of applications.",http://www.spx.com,FLOW.png,Marcus G. Michael,New York Stock Exchange,1394853544,Industrials,Industrials,Diversified Industrials,Industrial Products
FLR,Fluor Corporation,Fluor,Engineering & Construction,"Fluor Corp is an engineering company that provides procurement, construction and maintenance as well as project management services to a range of customers including oil and gas, manufacturing, and mining companies, along with the U.S. federal government.",http://www.fluor.com,,David T. Seaton,New York Stock Exchange,5092197564,Industrials,Industrials,Engineering & Construction,
FLRN,SPDR Bloomberg Barclays Investment Grade Floating Rate,SPDR Bloomberg Barclays Investment Grade Floating Rate,,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of the Bloomberg Barclays U.S. Dollar Floating Rate Note < 5 Years Index.
 The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index or in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. dollar-denominated, investment grade floating rate notes. The fund is non-diversified.",http://www.spdrs.com,,,NYSE Arca,3995499000,,,,
FLS,Flowserve Corporation,Flowserve,Industrial Products,"Flowserve Corp is a manufacturer and aftermarket service provider of comprehensive flow control systems. It develops and manufactures precision-engineered flow control equipment integral to the movement, control and protection of the flow of materials.",http://www.flowserve.com,FLS.png,R. Scott Rowe,New York Stock Exchange,5815283169,Industrials,Industrials,Diversified Industrials,Industrial Products
FLT,FleetCor Technologies Inc.,FleetCor,Business Services,"Fleetcor Technologies, Inc. provides fuel cards, commercial payment and data solutions, lodging and transportation management services, stored value solutions, and workforce payment products and services to businesses, retailers, and commercial fleets.",http://www.fleetcor.com,,Ronald Clarke,New York Stock Exchange,24818315384,Industrials,Industrials,Business Services,
FLTR,VanEck Vectors Investment Grade Floating Rate,VanEck Vectors Investment Grade Floating Rate,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS® US Investment Grade Floating Rate Index (the ""Floating Rate Index"").
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of U.S. dollar-denominated floating rate notes issued by corporate entities or similar commercial entities that are public reporting companies in the United States and rated investment grade. The fund is non-diversified.",http://www.marketvectorsetfs.com,,,NYSE Arca,605886250,,,,
FLWS,1-800 FLOWERS.COM Inc.,1-800 FLOWERS.COM,Retail - Apparel & Specialty,"1-800-Flowers.com Inc is a U.S. based provider of gourmet food and gift baskets, consumer floral, and BloomNet wire service.",http://www.1800flowers.com,FLWS.png,Christopher G. McCann,Nasdaq Global Select,1110285818,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty
FLXN,Flexion Therapeutics Inc.,Flexion Therapeutics,Drug Manufacturers,"Flexion Therapeutics Inc is a development stage specialty pharmaceutical company. The Company is engaged in the development and commercialization of novel, long-acting, injectable pain therapies including anti-inflammatory and analgesic therapies.",http://www.flexiontherapeutics.com,FLXN.png,Michael D. Clayman,NASDAQ Global Market,533022857,Healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,Drug Manufacturers
FLXS,Flexsteel Industries Inc.,Flexsteel Industries,Manufacturing - Apparel & Furniture,"Flexsteel Industries Inc manufactures, imports and markets residential and commercial upholstered and wood furniture products in the United States. Its products include sofas, loveseats and rocker-reclining chairs.",http://www.flexsteel.com,FLXS.png,Jerald K. Dittmer,Nasdaq Global Select,199696071,Consumer Cyclical,Consumer Cyclical,Home Furnishings & Fixtures,Manufacturing - Apparel & Furniture
FLY,Fly Leasing Limited,Fly Leasing Limited,Consulting & Outsourcing,Fly Leasing Ltd is principally engaged in purchasing commercial aircraft which are leased under multi-year contracts to a diverse group of airlines across the world.,http://www.flyleasing.com,FLY.png,Colm Barrington,New York Stock Exchange,359803209,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing
FM,iShares MSCI Frontier 100 Fund,iShares MSCI Frontier 100 Fund,,"The investment seeks to track the investment results of the MSCI Frontier Markets 100 Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure equity market performance of frontier markets while putting stronger emphasis on tradability compared to the MSCI Frontier Markets IMI (the parent index).",http://www.ishares.com,FM.png,,NYSE Arca,494023500,,,,
FMAO,Farmers & Merchants Bancorp Inc.,Farmers & Merchants Bancorp,Banks,"Farmers & Merchants Bancorp Inc is a bank holding company. It is involved in providing financial services through its bank, especially retail and corporate banking services. It derives its revenue from interests received on lending to retail markets.",https://www.fm.bank,FMAO.png,Paul S. Siebenmorgen,NASDAQ Capital Market,290778819,Financial Services,Financial Services,Banks - Regional - US,Banks
FMBH,First Mid-Illinois Bancshares Inc.,First Mid-Illinois Bancshares,Banks,First Mid Illinois Bancshares is a financial services company. It also provides data processing services to affiliates and insurance products and services to customers through its subsidiaries.,http://www.firstmid.com,FMBH.png,Joseph R. Dively,NASDAQ Global Market,560091968,Financial Services,Financial Services,Banks - Regional - US,Banks
FMBI,First Midwest Bancorp Inc.,First Midwest Bancorp,Banks,"First Midwest Bancorp Inc provides a broad range of commercial, retail, treasury, and wealth management products and services, to commercial and industrial, commercial real estate, municipal, and consumer customers.",http://www.firstmidwest.com,FMBI.png,Michael L. Scudder,Nasdaq Global Select,2385991250,Financial Services,Financial Services,Banks - Regional - US,Banks
FMC,FMC Corporation,FMC,Agriculture,"FMC Corp is a diversified chemical company that serves agricultural, consumer and industrial markets internationally with solutions, applications and products. It also produces health and nutrition products, as well as lithium derivatives.",http://www.fmc.com,FMC.png,Pierre R. Brondeau,New York Stock Exchange,11472854188,Basic Materials,Basic Materials,Agricultural Inputs,Agriculture
FMCI,Forum Merger II Corporation,Forum Merger II,Conglomerates,,,,David Boris / Marshall Kiev,NASDAQ Capital Market,252701750,Industrials,Industrials,Conglomerates,
FMK,First Trust Mega Cap AlphaDEX Fund,First Trust Mega Cap AlphaDEX Fund,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Nasdaq AlphaDEX® Mega Cap Index.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks that comprise the index. The index is designed to select mega cap stocks from the NASDAQ US 500 Large Cap Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology.",http://www.ftportfolios.com,FMK.png,,NASDAQ Global Market,25650068,,,,
FMN,Federated Premier Municipal Income Fund,Federated Premier Municipal Income Fund,Asset Management,"Federated Premier Municipal Income Fund is an US-based diversified, closed-end management investment company. The investment objective of the fund is to provide current income exempt from federal income tax, including the federal alternative minimum tax.",http://www.federatedinvestors.com,FMN.png,J. Christopher Donahue,New York Stock Exchange,151527508,Financial Services,Financial Services,Asset Management,
FMNB,Farmers National Banc Corp.,Farmers National Banc,Banks,"Farmers National Banc Corp and its subsidiaries operate in the domestic banking, trust, retirement consulting, insurance and financial management industries. Its business consists of owning and supervising its subsidiaries.",https://www.farmersbankgroup.com,,Kevin J. Helmick,NASDAQ Capital Market,372968640,Financial Services,Financial Services,Banks - Regional - US,Banks
FMO,Fiduciary/Claymore Energy Infrastructure Fund of Beneficial Interest,Fiduciary/Claymore Energy Infrastructure Fund of Beneficial Interest,Asset Management,"Fiduciary/Claymore MLP Opportunity Fund is a non-diversified, closed-end management investment company. Its investment objective is to provide a high level of after-tax total return with an emphasis on current distributions paid to shareholders.",http://www.guggenheiminvestments.com,FMO.png,Amy J. Lee,New York Stock Exchange,379216218,Financial Services,Financial Services,Asset Management,
FMS,Fresenius Medical Care AG,Fresenius Medical Care AG,Health Care Providers,"Fresenius Medical Care AG & Co. KGaA is a kidney dialysis company. It develops and manufactures a full range of dialysis machines, systems, and disposable products. The company provides dialysis care and related services.",http://www.freseniusmedicalcare.com,FMS.png,Rice Powell,New York Stock Exchange,22442676652,Healthcare,Healthcare,Medical Care,Health Care Providers
