Member_number,Date,itemDescription
2056,24/11/2015,root vegetables
3986,25/7/2015,curd
3861,7/7/2015,dessert
1094,7/1/2015,tropical fruit
4743,24/1/2015,pastry
3543,2/6/2015,rolls/buns
4914,14/3/2015,rolls/buns
2004,21/8/2015,hamburger meat
4171,3/6/2015,pastry
3041,15/9/2015,pip fruit
1324,10/7/2015,bottled water
1524,6/8/2015,cream cheese 
4260,30/5/2015,root vegetables
1494,29/9/2015,canned beer
2521,3/3/2015,whole milk
2225,28/4/2015,rolls/buns
3486,23/12/2015,root vegetables
1422,28/2/2015,yogurt
3082,20/2/2015,yogurt
1114,12/3/2015,sausage
4773,31/10/2015,other vegetables
1939,30/10/2015,coffee
2723,3/11/2015,beef
1361,8/9/2015,beef
2294,10/5/2015,pip fruit
3915,5/3/2015,tropical fruit
3579,30/12/2015,pork
2051,20/4/2015,pork
2113,7/9/2015,sausage
1909,31/8/2015,chicken
2328,22/2/2015,frankfurter
2948,19/6/2015,other vegetables
3504,20/5/2015,pip fruit
3069,9/4/2015,whole milk
2142,19/5/2015,pork
4411,17/4/2015,pip fruit
1993,8/7/2015,pip fruit
4579,9/1/2015,frankfurter
1177,14/10/2015,canned beer
2499,24/4/2015,butter
4427,14/1/2015,sausage
2883,12/10/2015,meat
1242,4/12/2015,dog food
3409,11/12/2015,sausage
1307,22/6/2015,sausage
3507,10/11/2015,pip fruit
2606,26/1/2015,tropical fruit
3048,6/6/2015,beef
2007,23/11/2015,whole milk
3072,26/1/2015,citrus fruit
3354,14/1/2015,pastry
3656,11/3/2015,frozen meals
4417,18/5/2015,sausage
3296,6/6/2015,organic sausage
1323,30/4/2015,whole milk
1754,17/9/2015,beverages
3872,3/11/2015,citrus fruit
3691,5/2/2015,berries
1218,29/12/2015,meat
1381,23/3/2015,bottled beer
4550,2/3/2015,rolls/buns
1377,6/2/2015,whole milk
4388,19/2/2015,citrus fruit
2157,14/7/2015,beverages
3321,25/12/2015,tropical fruit
3205,11/12/2015,other vegetables
4444,22/7/2015,rolls/buns
2348,1/11/2015,curd cheese
4275,18/8/2015,grapes
3664,4/5/2015,canned beer
1627,11/2/2015,pip fruit
1641,27/5/2015,canned beer
1461,21/12/2015,soda
4266,17/6/2015,berries
2754,2/5/2015,pip fruit
3117,30/9/2015,pork
1654,29/4/2015,rolls/buns
1154,17/5/2015,sausage
1333,22/9/2015,sausage
2188,28/7/2015,pip fruit
4679,16/5/2015,frankfurter
2495,28/7/2015,butter
4117,10/12/2015,organic sausage
4035,12/1/2015,sausage
1500,6/1/2015,frankfurter
4357,13/4/2015,chicken
1199,21/11/2015,whole milk
4467,22/11/2015,berries
4220,21/11/2015,beef
4376,16/7/2015,rolls/buns
4190,24/12/2015,root vegetables
4501,15/6/2015,tropical fruit
1454,22/10/2015,beef
3922,1/4/2015,beef
3586,2/5/2015,hamburger meat
2139,16/4/2015,citrus fruit
2475,10/11/2015,domestic eggs
3419,5/12/2015,dessert
2518,3/7/2015,beverages
1690,3/3/2015,sausage
1281,2/6/2015,rolls/buns
2176,4/2/2015,frankfurter
2787,13/3/2015,citrus fruit
3460,14/2/2015,pork
3224,19/1/2015,liver loaf
1540,26/11/2015,frankfurter
3942,4/4/2015,whole milk
2939,3/8/2015,whole milk
3807,26/10/2015,pork
3380,16/5/2015,pasta
1785,7/6/2015,fruit/vegetable juice
2625,6/3/2015,chicken
1828,24/3/2015,grapes
4225,8/5/2015,bottled water
1646,28/8/2015,frankfurter
1412,16/11/2015,frankfurter
1892,24/4/2015,shopping bags
2535,10/11/2015,whole milk
4107,15/11/2015,sausage
1452,29/3/2015,frozen vegetables
4853,17/9/2015,pip fruit
2196,23/8/2015,tropical fruit
1026,28/5/2015,whipped/sour cream
3879,3/12/2015,tropical fruit
4967,23/9/2015,frankfurter
3408,5/11/2015,bottled water
3732,26/1/2015,berries
1040,26/11/2015,chicken
2612,31/5/2015,beverages
1137,26/9/2015,other vegetables
4223,15/6/2015,white bread
3832,17/7/2015,frankfurter
2179,16/4/2015,coffee
2604,12/2/2015,frankfurter
2238,20/3/2015,sausage
2589,12/2/2015,sausage
2402,6/9/2015,soda
4130,6/11/2015,tropical fruit
4841,17/12/2015,misc. beverages
1734,8/6/2015,tropical fruit
3748,27/3/2015,butter
1021,22/10/2015,curd
1104,4/1/2015,other vegetables
2613,9/1/2015,specialty bar
4204,16/10/2015,curd
2022,22/7/2015,beef
2242,5/6/2015,whole milk
4352,20/7/2015,frozen meals
1945,5/2/2015,bottled water
1427,26/11/2015,soda
3709,8/9/2015,pork
1349,13/4/2015,whole milk
4691,8/1/2015,shopping bags
1465,26/6/2015,sausage
2867,16/7/2015,soft cheese
2381,17/5/2015,sausage
2471,13/8/2015,frozen vegetables
3252,22/8/2015,chicken
4077,18/3/2015,yogurt
2359,21/4/2015,whole milk
4430,2/12/2015,rolls/buns
3456,10/9/2015,sausage
2563,3/6/2015,yogurt
2386,4/10/2015,pork
4909,26/10/2015,tropical fruit
1014,3/10/2015,sausage
1389,18/2/2015,canned beer
4800,24/12/2015,grapes
1069,20/8/2015,tropical fruit
1833,12/7/2015,yogurt
4028,8/7/2015,frankfurter
3919,9/2/2015,sausage
3086,2/1/2015,pork
2708,17/2/2015,soda
3513,29/8/2015,baking powder
3774,16/9/2015,misc. beverages
4827,27/1/2015,processed cheese
4213,23/8/2015,pork
4536,24/2/2015,cream cheese 
1489,23/6/2015,tropical fruit
2005,22/9/2015,jam
2429,29/6/2015,pip fruit
2721,10/8/2015,frankfurter
3909,9/2/2015,flower soil/fertilizer
4808,20/8/2015,whole milk
4024,16/10/2015,pork
2855,3/2/2015,frankfurter
4881,28/7/2015,chewing gum
1214,10/1/2015,chicken
1608,10/11/2015,frozen vegetables
1724,9/9/2015,rolls/buns
1911,2/6/2015,yogurt
3881,2/4/2015,frankfurter
1780,27/8/2015,sausage
4675,14/9/2015,citrus fruit
3497,24/9/2015,other vegetables
1000,15/3/2015,whole milk
3955,28/8/2015,beverages
4232,19/12/2015,Instant food products
3472,28/2/2015,hamburger meat
4217,5/2/2015,sausage
3778,1/10/2015,tropical fruit
2666,6/4/2015,whole milk
3518,18/5/2015,pastry
4525,28/9/2015,whole milk
2975,28/1/2015,pasta
1339,28/11/2015,whole milk
2001,28/1/2015,processed cheese
2091,19/10/2015,brown bread
2453,28/8/2015,frozen meals
4681,28/2/2015,sausage
2618,14/9/2015,tropical fruit
3389,26/1/2015,beef
3044,29/9/2015,bottled beer
3039,2/9/2015,domestic eggs
4563,14/5/2015,sparkling wine
2683,11/8/2015,soda
4063,12/11/2015,sausage
3014,19/10/2015,chocolate
4356,1/12/2015,tropical fruit
3050,6/5/2015,beef
3613,5/6/2015,brown bread
3152,24/11/2015,whole milk
4187,28/10/2015,berries
2001,3/3/2015,citrus fruit
1584,26/1/2015,soda
1475,28/3/2015,hamburger meat
4942,6/8/2015,chocolate
2083,7/11/2015,grapes
4685,27/8/2015,tropical fruit
2070,24/3/2015,yogurt
2657,1/4/2015,hamburger meat
4012,4/4/2015,nuts/prunes
2698,24/1/2015,pastry
2222,28/12/2015,sausage
2421,27/10/2015,sausage
2410,21/11/2015,berries
3036,12/7/2015,canned beer
2465,27/12/2015,citrus fruit
1233,20/3/2015,rolls/buns
1366,29/5/2015,rolls/buns
3741,6/8/2015,chicken
2230,28/5/2015,frankfurter
1206,15/5/2015,rolls/buns
3690,24/4/2015,citrus fruit
3620,18/6/2015,soda
4759,20/2/2015,beef
3543,11/10/2015,waffles
2792,29/7/2015,whole milk
1929,10/7/2015,finished products
2433,23/8/2015,whole milk
4941,15/1/2015,ham
3547,7/10/2015,processed cheese
1290,24/4/2015,sausage
4207,28/8/2015,curd
2107,1/3/2015,bottled beer
3050,11/3/2015,dessert
3814,21/7/2015,chicken
4875,13/9/2015,bottled beer
3691,8/8/2015,finished products
2433,14/3/2015,rolls/buns
4757,9/1/2015,soda
1407,29/4/2015,fruit/vegetable juice
4718,12/6/2015,other vegetables
1240,14/4/2015,frozen vegetables
1792,15/8/2015,tropical fruit
4486,9/11/2015,frozen vegetables
1757,15/6/2015,hamburger meat
2186,1/7/2015,frankfurter
3752,15/4/2015,yogurt
3051,29/11/2015,other vegetables
3688,23/10/2015,sausage
4676,15/1/2015,sausage
2142,25/6/2015,rolls/buns
4939,29/6/2015,chicken
1806,6/7/2015,frankfurter
1595,5/10/2015,whole milk
2086,9/3/2015,bottled beer
4251,3/10/2015,shopping bags
2689,30/4/2015,sausage
2560,26/11/2015,soda
2393,17/4/2015,tropical fruit
1669,19/8/2015,pork
3500,21/4/2015,frozen dessert
1213,3/3/2015,beef
4598,18/11/2015,frankfurter
1404,3/5/2015,bottled beer
1758,26/2/2015,pip fruit
1265,7/3/2015,chicken
1006,14/6/2015,frankfurter
2779,17/10/2015,yogurt
4457,3/9/2015,ice cream
2532,6/7/2015,tropical fruit
2811,23/2/2015,pasta
4004,10/5/2015,root vegetables
1737,9/5/2015,other vegetables
3266,25/10/2015,soda
4981,10/1/2015,soda
1934,6/8/2015,grapes
2512,19/1/2015,specialty chocolate
3400,4/3/2015,pip fruit
4301,1/5/2015,chewing gum
2997,30/12/2015,frankfurter
1098,5/8/2015,frankfurter
2208,30/7/2015,frankfurter
3672,28/5/2015,sausage
3651,24/1/2015,meat
3957,15/5/2015,domestic eggs
2986,11/1/2015,waffles
4433,25/5/2015,yogurt
3822,27/5/2015,ice cream
4588,30/4/2015,whole milk
2622,17/7/2015,sausage
2117,2/5/2015,long life bakery product
1780,12/7/2015,sausage
3819,12/4/2015,white wine
1884,11/12/2015,frankfurter
2595,23/1/2015,pastry
3046,31/3/2015,chewing gum
3228,26/1/2015,organic sausage
2251,23/6/2015,chicken
2368,11/11/2015,coffee
2573,3/1/2015,specialty bar
4701,30/4/2015,popcorn
4384,25/5/2015,whole milk
1998,18/5/2015,frankfurter
4583,23/2/2015,pork
2043,21/4/2015,tropical fruit
2201,22/5/2015,curd
3522,23/9/2015,other vegetables
3922,28/8/2015,sausage
2636,11/9/2015,yogurt
1092,27/7/2015,sausage
2711,13/9/2015,citrus fruit
3899,22/4/2015,whole milk
4372,30/7/2015,other vegetables
4576,5/8/2015,frankfurter
4953,10/10/2015,meat
4692,27/10/2015,cat food
1170,12/11/2015,dog food
2625,8/4/2015,pork
2394,30/8/2015,dessert
4277,18/2/2015,whole milk
3170,17/1/2015,chicken
2229,25/10/2015,flower soil/fertilizer
2944,1/2/2015,yogurt
2582,6/3/2015,chicken
1373,10/5/2015,butter milk
1366,25/10/2015,coffee
3469,10/5/2015,frozen meals
4012,16/5/2015,salty snack
2031,26/2/2015,sausage
2459,16/9/2015,white bread
4377,23/2/2015,pip fruit
1534,13/8/2015,tropical fruit
2051,23/7/2015,prosecco
3430,26/1/2015,packaged fruit/vegetables
1567,13/3/2015,citrus fruit
2972,21/5/2015,whole milk
1287,28/8/2015,butter
4776,8/8/2015,pork
2271,4/8/2015,other vegetables
4657,15/8/2015,other vegetables
2344,14/4/2015,meat
1482,6/7/2015,whole milk
1278,9/12/2015,canned beer
4831,13/11/2015,tropical fruit
1819,11/11/2015,tropical fruit
2687,31/7/2015,sweet spreads
4468,24/3/2015,brandy
4760,2/4/2015,tropical fruit
2310,24/3/2015,sausage
3924,7/2/2015,canned beer
3517,11/12/2015,coffee
3164,30/9/2015,pork
3245,17/5/2015,dish cleaner
2629,6/12/2015,canned beer
1347,15/9/2015,rolls/buns
1216,25/8/2015,pastry
4636,10/4/2015,misc. beverages
1197,22/11/2015,misc. beverages
4102,23/9/2015,frozen dessert
1013,2/10/2015,meat
1928,15/8/2015,citrus fruit
2064,21/8/2015,rolls/buns
3416,15/11/2015,canned vegetables
1536,5/1/2015,canned beer
1953,9/3/2015,whole milk
1327,4/7/2015,chicken
3415,27/5/2015,whole milk
2517,22/3/2015,tropical fruit
4334,12/10/2015,citrus fruit
4515,15/6/2015,canned beer
1527,20/4/2015,rolls/buns
1726,2/11/2015,pip fruit
4734,10/2/2015,pork
2356,15/6/2015,canned beer
2244,29/3/2015,citrus fruit
4281,3/4/2015,margarine
2977,14/4/2015,chicken
2119,24/9/2015,meat
3208,24/6/2015,root vegetables
2663,18/5/2015,ham
3344,1/4/2015,newspapers
3592,14/12/2015,whipped/sour cream
2106,24/11/2015,cream cheese 
3356,23/5/2015,citrus fruit
3227,30/11/2015,pip fruit
1505,27/7/2015,beef
1035,24/4/2015,yogurt
4312,14/12/2015,sausage
1253,20/6/2015,processed cheese
2260,30/10/2015,domestic eggs
3710,22/8/2015,sausage
1846,29/11/2015,bottled water
3520,9/11/2015,newspapers
2816,19/6/2015,canned beer
1051,10/11/2015,tropical fruit
1754,8/7/2015,curd
3593,31/8/2015,pip fruit
1421,7/8/2015,beverages
3104,4/6/2015,soda
1283,30/5/2015,newspapers
1130,18/9/2015,frankfurter
2816,1/10/2015,tropical fruit
4594,23/6/2015,pork
4192,16/12/2015,chicken
3208,20/11/2015,chicken
1949,11/4/2015,rolls/buns
4268,25/4/2015,semi-finished bread
2672,17/1/2015,sausage
2372,3/9/2015,sausage
4482,7/8/2015,shopping bags
1048,6/10/2015,condensed milk
4831,19/2/2015,yogurt
3441,12/4/2015,frankfurter
3380,11/11/2015,turkey
1654,9/11/2015,beef
2408,21/6/2015,rolls/buns
4699,1/8/2015,whole milk
2670,29/4/2015,berries
4292,18/8/2015,citrus fruit
4303,22/2/2015,meat
2011,22/3/2015,pip fruit
3657,29/9/2015,grapes
1435,14/1/2015,canned beer
4445,20/5/2015,sausage
4030,15/8/2015,seasonal products
1204,11/4/2015,chicken
1235,1/1/2015,sausage
3984,3/2/2015,liver loaf
3637,25/11/2015,root vegetables
1931,2/7/2015,sliced cheese
4486,23/10/2015,pork
4529,3/1/2015,tropical fruit
1827,7/5/2015,spread cheese
3054,27/5/2015,spread cheese
2524,21/10/2015,sausage
1855,9/11/2015,hamburger meat
3242,23/2/2015,frankfurter
4431,21/8/2015,whole milk
4555,23/7/2015,pip fruit
4299,8/2/2015,whole milk
2905,22/10/2015,beef
3323,9/12/2015,sausage
2796,17/10/2015,pork
2129,4/3/2015,sausage
1501,17/8/2015,napkins
2814,17/7/2015,hamburger meat
1105,22/5/2015,yogurt
3798,4/9/2015,meat
3025,21/4/2015,sausage
4592,13/7/2015,pastry
4463,3/11/2015,liver loaf
2916,13/6/2015,other vegetables
1838,25/3/2015,pork
1126,17/5/2015,pork
2800,2/10/2015,beverages
4485,25/7/2015,beef
3262,8/7/2015,pip fruit
4030,22/12/2015,berries
3370,3/2/2015,frozen meals
3489,1/9/2015,tropical fruit
2386,3/1/2015,newspapers
3774,16/2/2015,chicken
3818,13/5/2015,whole milk
3434,10/6/2015,butter
3438,27/12/2015,pip fruit
1140,1/5/2015,frankfurter
1051,12/10/2015,other vegetables
3071,26/3/2015,beef
3872,28/3/2015,turkey
4215,30/6/2015,processed cheese
3806,15/3/2015,tropical fruit
1869,16/5/2015,sausage
1668,5/5/2015,rolls/buns
1163,14/12/2015,beef
1664,1/10/2014,rolls/buns
3942,16/12/2014,hamburger meat
2638,10/10/2014,turkey
4735,10/10/2014,specialty chocolate
3745,9/12/2014,frankfurter
1817,15/11/2014,beef
2864,16/10/2014,berries
1748,14/8/2014,kitchen utensil
3360,30/8/2014,soda
1849,6/10/2014,whole milk
3438,11/6/2014,chicken
4594,28/5/2014,whole milk
1632,16/2/2014,brown bread
4297,29/8/2014,frankfurter
4539,14/4/2014,frankfurter
4762,25/6/2014,pip fruit
4153,14/2/2014,sausage
1500,20/6/2014,hygiene articles
1895,22/7/2014,frankfurter
1466,3/2/2014,citrus fruit
2233,24/4/2014,tropical fruit
3057,28/1/2014,chicken
3308,21/8/2014,bottled water
3241,8/1/2014,ham
1947,27/2/2014,canned beer
2589,4/10/2014,grapes
3127,25/2/2014,hamburger meat
2138,13/5/2014,curd
2495,31/1/2014,rolls/buns
3590,29/3/2014,waffles
4037,5/5/2014,beef
4968,4/3/2014,beef
1612,8/10/2014,butter
4741,10/12/2014,sausage
2899,8/1/2014,frankfurter
4206,18/9/2014,chocolate
3705,17/8/2014,UHT-milk
2832,29/7/2014,sausage
4054,5/10/2014,cream cheese 
1595,17/7/2014,bottled beer
4821,2/9/2014,rolls/buns
1336,23/1/2014,rolls/buns
2446,19/1/2014,finished products
1033,21/4/2014,sausage
1447,5/6/2014,tropical fruit
1185,14/8/2014,beef
1410,6/1/2014,sausage
4588,28/7/2014,ham
2732,31/1/2014,grapes
1473,10/10/2014,whole milk
2029,21/10/2014,beef
2799,31/7/2014,canned fish
4579,19/1/2014,whole milk
1041,13/6/2014,chicken
1877,30/9/2014,rolls/buns
4191,14/3/2014,liver loaf
3649,7/11/2014,frankfurter
2706,24/2/2014,citrus fruit
3821,26/2/2014,turkey
3917,14/2/2014,sausage
4464,27/7/2014,beverages
1935,30/6/2014,mayonnaise
1783,22/7/2014,rolls/buns
3817,23/8/2014,chicken
4162,15/4/2014,canned beer
1653,18/7/2014,chicken
1686,12/4/2014,whole milk
2549,5/9/2014,ham
1380,22/4/2014,rolls/buns
3315,27/12/2014,whole milk
4931,23/2/2014,soda
4849,14/4/2014,shopping bags
2984,7/7/2014,whole milk
1262,12/7/2014,organic sausage
2561,27/11/2014,citrus fruit
2755,2/1/2014,beef
1747,7/1/2014,frankfurter
1913,31/8/2014,pork
3090,3/10/2014,yogurt
4369,27/10/2014,butter
4872,20/10/2014,yogurt
3918,4/5/2014,salty snack
1758,21/9/2014,rolls/buns
2328,22/1/2014,bottled beer
3570,5/6/2014,beef
4753,11/10/2014,meat
1815,4/12/2014,semi-finished bread
4372,11/9/2014,whole milk
1287,8/7/2014,chicken
4938,5/1/2014,meat
4164,8/9/2014,pastry
4410,24/5/2014,rolls/buns
2609,4/6/2014,beverages
2293,31/3/2014,other vegetables
4049,6/7/2014,frankfurter
2240,2/10/2014,pastry
3197,1/3/2014,sausage
1223,5/9/2014,citrus fruit
2186,12/4/2014,tropical fruit
4137,15/12/2014,salty snack
3284,25/3/2014,whole milk
3190,13/4/2014,pastry
3059,15/6/2014,salty snack
2441,28/8/2014,canned beer
3645,22/8/2014,chicken
2246,21/1/2014,bottled beer
4431,12/6/2014,whole milk
3047,16/8/2014,pip fruit
1866,29/8/2014,chocolate
3138,13/10/2014,citrus fruit
2078,14/5/2014,soda
3142,6/5/2014,soda
4262,3/6/2014,frozen meals
4872,13/2/2014,newspapers
1985,18/5/2014,sausage
2458,20/11/2014,frozen meals
2540,29/1/2014,finished products
3194,26/7/2014,tropical fruit
3071,18/4/2014,whole milk
4181,7/9/2014,ice cream
2033,29/11/2014,processed cheese
3306,11/12/2014,soda
1658,9/8/2014,newspapers
3884,12/10/2014,beef
1215,30/7/2014,grapes
2477,30/9/2014,pip fruit
3971,4/2/2014,chocolate marshmallow
3644,20/2/2014,bottled beer
1550,5/5/2014,pork
1625,2/9/2014,meat
2472,1/2/2014,other vegetables
2337,3/4/2014,tropical fruit
4690,2/3/2014,chicken
1748,26/8/2014,bottled beer
4296,15/12/2014,sausage
3529,26/8/2014,yogurt
3804,28/4/2014,frankfurter
4107,5/10/2014,frankfurter
3727,28/7/2014,citrus fruit
1492,20/12/2014,frankfurter
4952,4/9/2014,whipped/sour cream
4641,11/5/2014,bottled water
4716,18/5/2014,grapes
3857,7/11/2014,frankfurter
4599,21/3/2014,frankfurter
2906,25/6/2014,frankfurter
3552,27/1/2014,candy
4572,30/10/2014,other vegetables
4345,19/3/2014,beef
1908,20/9/2014,bottled beer
4744,31/1/2014,frankfurter
2064,18/3/2014,pork
1726,5/4/2014,root vegetables
2383,25/5/2014,beef
4245,15/7/2014,misc. beverages
1013,20/2/2014,whole milk
2676,10/1/2014,other vegetables
4155,3/9/2014,beef
1365,23/8/2014,sausage
4917,30/5/2014,frankfurter
4686,27/6/2014,whole milk
4842,23/5/2014,sausage
3673,11/8/2014,other vegetables
4214,3/10/2014,sausage
3952,27/7/2014,other vegetables
3972,3/4/2014,frankfurter
3790,31/7/2014,frankfurter
3042,4/4/2014,curd
2567,22/7/2014,grapes
3830,28/7/2014,canned beer
2515,27/1/2014,hamburger meat
2545,14/1/2014,citrus fruit
1006,9/4/2014,whole milk
2590,3/9/2014,frozen dessert
1757,30/3/2014,yogurt
2352,27/3/2014,tropical fruit
1136,28/9/2014,tropical fruit
3123,8/7/2014,fruit/vegetable juice
3224,6/8/2014,hamburger meat
4642,17/12/2014,newspapers
2380,5/4/2014,specialty chocolate
4029,27/10/2014,soda
1103,12/7/2014,ice cream
4655,14/11/2014,beef
1773,28/10/2014,sausage
4645,10/11/2014,yogurt
1468,2/10/2014,whole milk
4383,2/12/2014,ice cream
3279,7/3/2014,frankfurter
3025,19/1/2014,hamburger meat
2969,13/4/2014,frankfurter
1767,2/6/2014,frankfurter
2830,21/9/2014,sausage
3556,2/4/2014,pork
1104,9/5/2014,yogurt
1740,21/11/2014,ham
1844,18/9/2014,other vegetables
2544,9/6/2014,sausage
3655,10/5/2014,beef
4947,28/1/2014,dishes
4002,24/8/2014,pork
4951,15/8/2014,beef
3309,6/6/2014,whole milk
2289,3/7/2014,chicken
2120,6/7/2014,yogurt
4679,13/6/2014,salty snack
3220,15/3/2014,pip fruit
2146,30/5/2014,sausage
1851,12/2/2014,curd
1889,3/8/2014,beef
2789,2/11/2014,salty snack
2611,29/12/2014,frankfurter
1309,23/12/2014,dessert
2259,16/6/2014,frankfurter
2540,16/12/2014,whole milk
3539,13/1/2014,photo/film
4149,12/5/2014,pip fruit
3847,8/6/2014,sausage
4285,13/4/2014,root vegetables
1445,13/4/2014,frankfurter
2701,3/5/2014,ham
1602,29/5/2014,pip fruit
1590,1/6/2014,citrus fruit
3704,2/8/2014,soda
4035,14/7/2014,sugar
4861,23/3/2014,hamburger meat
3757,8/7/2014,whole milk
4743,7/7/2014,nuts/prunes
4527,16/3/2014,frankfurter
2756,14/5/2014,red/blush wine
1432,18/2/2014,berries
3089,20/8/2014,sausage
4614,25/12/2014,salty snack
4255,2/1/2014,frankfurter
3426,2/5/2014,pork
3343,3/8/2014,misc. beverages
3550,18/12/2014,ice cream
4785,14/8/2014,chocolate
3137,11/9/2014,whole milk
4645,13/12/2014,other vegetables
1369,5/5/2014,spread cheese
3684,6/2/2014,whole milk
4423,25/2/2014,pip fruit
3561,26/5/2014,frankfurter
2625,14/12/2014,pork
1218,8/5/2014,citrus fruit
2120,7/7/2014,bottled beer
2332,14/5/2014,citrus fruit
2269,5/1/2014,hamburger meat
2607,20/11/2014,whipped/sour cream
4866,16/9/2014,sausage
2723,27/10/2014,citrus fruit
3660,19/5/2014,rolls/buns
2407,8/1/2014,sliced cheese
3670,4/8/2014,butter milk
3743,3/7/2014,sausage
3598,13/3/2014,other vegetables
3882,18/7/2014,beef
1175,2/1/2014,hamburger meat
2913,14/12/2014,chicken
1087,26/2/2014,sausage
2075,6/5/2014,sausage
3034,26/12/2014,bottled water
4820,28/10/2014,pastry
1651,20/8/2014,cat food
3625,17/10/2014,other vegetables
3487,25/3/2014,whole milk
1729,20/3/2014,other vegetables
2803,3/7/2014,tropical fruit
3692,19/10/2014,citrus fruit
1649,29/7/2014,pork
4015,17/2/2014,canned beer
4427,12/3/2014,frankfurter
4021,31/10/2014,yogurt
1737,28/8/2014,sausage
2320,5/2/2014,cream cheese 
4725,31/8/2014,other vegetables
1697,22/1/2014,sausage
2341,17/4/2014,frankfurter
1180,24/8/2014,citrus fruit
3226,26/2/2014,ham
4288,24/9/2014,soda
2181,29/4/2014,frankfurter
2517,12/5/2014,citrus fruit
2909,18/1/2014,frozen fish
4312,2/4/2014,whole milk
4965,23/12/2014,ham
1224,20/9/2014,sausage
3135,21/6/2014,shopping bags
1914,28/11/2014,cereals
3589,7/9/2014,frozen fish
4274,31/3/2014,whole milk
3395,17/3/2014,soda
4086,15/11/2014,pastry
1033,2/3/2014,frankfurter
2398,23/7/2014,yogurt
3782,16/9/2014,domestic eggs
3109,11/9/2014,sausage
2028,22/8/2014,ham
4963,3/3/2014,other vegetables
1043,14/3/2014,tropical fruit
4303,24/10/2014,whole milk
3282,28/8/2014,sausage
3220,13/12/2014,soda
3297,30/3/2014,tropical fruit
2153,14/12/2014,domestic eggs
1065,25/12/2014,red/blush wine
1126,2/11/2014,rolls/buns
1399,6/2/2014,other vegetables
2602,3/1/2014,frankfurter
2478,2/9/2014,citrus fruit
2645,7/8/2014,dessert
3109,14/10/2014,tropical fruit
3268,31/1/2014,hamburger meat
2556,6/3/2014,soda
3139,6/11/2014,chicken
2971,12/7/2014,rolls/buns
4391,4/6/2014,butter
3322,1/8/2014,pip fruit
1740,8/7/2014,specialty bar
3367,27/2/2014,sausage
3616,11/6/2014,grapes
3736,16/2/2014,semi-finished bread
1795,20/5/2014,domestic eggs
2702,8/9/2014,pastry
4397,28/8/2014,root vegetables
2649,18/2/2014,whole milk
4752,4/3/2014,meat
2028,26/10/2014,canned beer
1128,10/5/2014,frankfurter
1199,23/3/2014,grapes
4986,8/2/2014,candles
3102,9/5/2014,other vegetables
2079,4/11/2014,tropical fruit
1931,13/3/2014,chicken
1176,4/9/2014,soda
3562,11/9/2014,ham
1962,14/6/2014,pork
1782,10/4/2014,frozen vegetables
3493,1/12/2014,beef
4268,14/10/2014,pork
3730,17/4/2014,dessert
1144,7/11/2014,pork
4637,6/12/2014,chicken
1855,26/9/2014,hamburger meat
3022,16/2/2014,chicken
3960,23/1/2014,baking powder
2786,30/8/2014,other vegetables
2550,11/6/2014,curd
1141,8/4/2014,tropical fruit
3226,25/10/2014,rolls/buns
3846,25/8/2014,meat
1282,6/6/2014,soda
3213,19/12/2014,photo/film
3910,17/2/2014,pet care
2533,21/9/2014,other vegetables
3713,17/12/2014,citrus fruit
2131,18/2/2014,citrus fruit
2878,13/6/2014,rolls/buns
2355,26/1/2014,canned beer
3847,31/7/2014,canned beer
3619,16/12/2014,sugar
4980,25/8/2014,meat
1185,27/9/2014,frankfurter
4049,23/12/2014,dishes
2681,4/9/2014,pork
1742,20/10/2014,frankfurter
4594,1/7/2014,other vegetables
3869,24/5/2014,newspapers
1191,10/3/2014,berries
2466,28/1/2014,beef
4857,3/3/2014,whole milk
3087,21/2/2014,citrus fruit
4730,26/11/2014,other vegetables
2120,27/2/2014,root vegetables
2452,18/2/2014,frankfurter
3499,4/4/2014,other vegetables
1731,28/12/2014,sausage
1751,27/2/2014,yogurt
1991,14/7/2014,sausage
4300,28/1/2014,hamburger meat
2009,3/6/2014,pork
1585,17/9/2014,tropical fruit
1604,3/2/2014,rolls/buns
3804,27/12/2014,tropical fruit
4955,22/3/2014,sausage
4826,14/4/2014,hamburger meat
2294,4/7/2014,pip fruit
2857,28/8/2014,beef
4911,20/7/2014,other vegetables
4924,31/1/2014,sausage
1392,12/9/2014,other vegetables
3917,3/4/2014,ham
3032,28/12/2014,frankfurter
1808,29/11/2014,meat
4082,1/7/2014,ham
1673,8/4/2014,citrus fruit
3246,21/5/2014,rolls/buns
1415,5/1/2014,sausage
2555,27/12/2014,root vegetables
4426,1/12/2014,berries
4406,20/1/2014,pork
3514,13/12/2014,meat
4197,29/9/2014,pastry
3206,24/8/2014,long life bakery product
3767,30/1/2014,meat
3761,1/3/2014,meat
3013,7/8/2014,sauces
2454,9/11/2014,pip fruit
4042,25/1/2014,root vegetables
3936,6/8/2014,ham
2943,30/6/2014,hamburger meat
3163,9/11/2014,yogurt
1435,7/12/2014,beef
4174,15/7/2014,citrus fruit
1929,10/11/2014,berries
4462,21/9/2014,frankfurter
3840,6/11/2014,citrus fruit
2946,9/1/2014,onions
4434,31/8/2014,beef
2826,4/9/2014,frankfurter
1376,29/11/2014,pip fruit
1896,25/7/2014,brown bread
4952,2/10/2014,meat
4117,24/4/2014,citrus fruit
1385,27/2/2014,beef
