title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime
ILY from 38.000 Ft,2016,"Aletta (Michelle Ziudith) meets Arga (Rizky Nazar) in Bali and they fall head over heels in love. They spent every moment together. When they return to Jakarta, Arga promises to find her and marry her. But, he never shows up anymore.",Drama,,6.0,111,Indonesian,Asep Kusdinar,"['Michelle Ziudith', 'Rizky Nazar', 'Tanta Ginting', 'Derby Romero', 'Amanda Rawles', 'Ricky Cuaca', 'Ayu Dyah Pasha', 'Aline Tumbuan', 'Ira Wibowo', 'Amaranggana', 'Rizky Hanggono', 'Lionil Hendrik', 'Eko Mulyadi', 'Verrell Bramasta', nan]",102 min
Indera ke Enam,2016,"Merry and her daughter, Dina, decided to organize their lives by moving to a small house. But the situation that went well changed drastically when he began to look again at the occult.",Thriller,,5.8,18,Indonesian,Wisnu Kuncoro,"['Natasha Gott', 'Widi Dwinanda', 'Gandhi Fernando', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",77 min
Ini Kisah Tiga Dara,2016,"Since their mother passed away, three siblings known as Tiga Dara were taken by their father to the east of Flores, to a small seaside town. They built a beautiful boutique hotel, continuing their mother's dream.",Drama,,6.7,40,Indonesian,Nia Di Nata,"['Titiek Puspa', 'Shanty Paredes', 'Tara Basro', 'Tatyana Akman', 'Rio Dewanto', 'Reuben Elishama', 'Richard Kyle', 'Ray Sahetapy', 'Cut Mini Theo', 'Joko Anwar', 'Nicke Vinadia', nan, nan, nan, nan]",124 min
Iseng,2016,"Inspired by a true story about a young rookie detective paired with an experienced officer, a flirtatious secretary, a prostitute, three thugs, a driver, a restaurant owner, a cook, and a ...",Drama,D,7.0,22,Indonesian,Adrian Tang,"['Donny Alamsyah', 'Viola Arsa', 'Ayushita', 'Fauzi Baadila', 'Siti Badriah', 'Manda Cello', 'Fandy Christian', 'Melinda Csm', 'Donny Damara', 'Wulan Guritno', 'Khiva Iskak', 'Micheal Kho', 'Evelinn Kurniadi', 'Nagra Kautsar Pakusadewo', 'Tio Pakusadewo']",100 min
Istirahatlah Kata-Kata,2016,"Wiji Thukul, a well-known poet, is designed as a suspect activist. With the police looking for him, Wiji is forced to leave Solo for Borneo, thousands of kilometers away.",Adventure,D,7.3,217,Indonesian,Yosep Anggi Noen,"['Gunawan Maryanto', 'Marissa Anita', 'Eduward Manalu', 'Melanie Subono', 'Davi Yunan', 'Franco Christo', 'Kun Hidayat', 'Mugiono', 'Arswendi Nasution', 'Putri Fathiya Hany Nurrohman', 'Edwin Setiadi Raharja', 'Rukman Rosadi', 'Arif Setiawan', 'Sucipto', 'Joned Suryatmoko']",97 min
Jagoan Instan,2016,"Bumi then becomes Instant Champ, who has strength and superiority after being injected with the serum. When the serum disappears, Bumi is back into a mediocre man.",Action,SU,5.3,23,Indonesian,Fajar Bustomi,"['Kemal Palevi', 'Kevin Julio', 'Anisa Rahma', 'Dede Yusuf', 'Meriam Bellina', 'Alexa Key', 'Jovial Da Lopez', 'Andovi Da Lopez', 'Ki Manteb Soedharsono', 'Daan Aria', 'Faras Fatik', 'Nikita Mirzani', 'Maxx Don', 'Mo Sidik', 'Fico Fachriza']",96 min
Jilbab Traveler: Love Sparks in Korea,2016,"Rania Samudra (Bunga Citra Lestari) is a travel writer and nicknamed Jilbab Traveler by the readers. When her father was sick, Rania decided to go home. But her father does not want her to worry and keep asking to continue her journey.",Drama,,6.9,14,Indonesian,Guntur Soeharjanto,"['Bunga Citra Lestari', 'Morgan Oey', 'Giring Ganesha', 'Ringgo Agus Rahman', 'Wawan Wanisar', 'Dewi Yull', 'Tasya Medina', 'Indra Bekti', 'Ferry Ardiansyah', 'Aldila Jelita', nan, nan, nan, nan, nan]",112 min
Jingga,2016,,Drama,,7.0,7,Indonesian,Lola Amaria,"['Ray Sahetapy', 'Keke Soeryo', 'Joshua Pandelaki', 'Hifzane Bob', 'Quasar H.Y.', 'Hany Valerie', 'Aufa Assagaf', 'Nina Tamam', 'Isa Raja Loebis', nan, nan, nan, nan, nan, nan]",102 min
Juara,2016,,Action,,6.0,6,Indonesian,Charles Gozali,"['Bisma Karisma', 'Ciccio Manassero', 'Cecep Arif Rahman', 'Tora Sudiro', 'Cut Mini Theo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",106 min
Ketika Mas Gagah Pergi the Movie,2016,"Gagah was changed. After went to Ternate for his assignment suddenly, he changed drastically. His sister, Gita Ayu can't accept this. She thought Gagah is a new person who totally different from the previous one.",Drama,SU,8.3,67,Indonesian,Firman Syah,"['Hamas Syahid', 'Aquino Umar', 'Masaji Wijayanto', 'Izzah Ajrina', 'Muhammad Taufik Akbar', 'Kholidi Asadil Alam', 'Ilham Anas', 'Endy Arfian', 'Abdurrahim Arsyad', 'Faisal Azhar', 'Muhammad Bagya', 'Andy Birulaut', 'Maxime Bouttier', 'Fendy Chow', 'Mentari De Marelle']",
Koala Kumal,2016,"Dika's marriage is got canceled because his girlfriend is cheating on him. After a long time broken heart, he met Trisna, a girl with a unique viewpoint. Trisna was trying to make Dika get over heartbreak and told him to revenge his ex.",Comedy,,6.6,449,Indonesian,Raditya Dika,"['Raditya Dika', 'Acha Septriasa', 'Sheryl Sheinafia', 'Nino Fernandez', 'Ernest Prakasa', 'Cut Mini Theo', 'Dede Yusuf', 'Dwi Sasono', 'Anggika Bolsterli', 'Fero Walandouw', 'Adipati Dolken', 'Kevin Julio', 'Jessica Mila', 'Lydia Kandou', 'Kevin Anggara']",
Kurung Manuk (Bird Cage),2016,Manuk an overly imaginative man child who never leaves his bedroom who ends up not only becoming the black sheep of the neighborhood but also the prime suspect of a serial murder case.,Sci-Fi,,7.2,11,Indonesian,Sigit Pradityo,"['Mehdi Amrullah', 'Asep', 'Sabrina Athika', 'Adhie August', 'Meike Djuaeni', 'Yohanes Dwicipta', 'Andre Bablo Fardanish', 'Faras Fatik', 'Adinda Gabby', 'Gonzalo Gomez Pidal', 'Arie Gusti', 'Prasajadi Heru', 'Osh Indah', 'Citra Lubis', 'Makoto']",
London Love Story,2016,Fate unites 4 different people with different situations and brings a little bit of surprise into their lives.,Drama,,6.2,12,Indonesian,Asep Kusdinar,"['Michelle Ziudith', 'Dimas Anggara', 'Adilla Fitri', 'Dion Wiyoko', 'Ramzi', 'Yunita Siregar', 'Aaron Ashab', 'Ina Marika', 'Irene Librawati', nan, nan, nan, nan, nan, nan]",89 min
Me vs. Mami,2016,"A girl and her mother go on a road trip to Padang, West Sumatera, to visit her grandmother that will change the meaning of their relationship.",Comedy,13+,7.5,48,Indonesian,Ody C. Harahap,"['Cut Mini Theo', 'Irish Bella', 'Dimas Aditya', 'Mike Lucock', 'Pierre Gruno', 'Gading Marten', 'Anwar Sanjaya Pigano', 'Eliza Sulaiman', 'Selvi Kitty', 'Rizal Tanjung', 'Deslenda', 'Desnawati', 'Ranti', 'Sumardi', 'Irsyal Jamal']",
Midnight Show,2016,A serial killer is about to get on his revenge with the people inside a movie theater during a midnight showing.,Action,D,6.6,53,Indonesian,Ginanti Rona Tembang Sari,"['Gandhi Fernando', 'Acha Septriasa', 'Ganindra Bimo', 'Ratu Felisha', 'Boy Harsya', 'Gesata Stella', 'Arthur Tobing', 'Ronny P. Tjandra', 'Daniel Topan', 'Ade Firman Hakim', 'Rangga Djoned', 'Citra Prima', 'Yayu A.W. Unru', 'Neny Anggraeni', 'Rayhand Khan']",100 min
My Journey: Mencari Mata Air,2016,"Four young people; Chinta, Cindy, Tasya and Celine intend to fill their holidays with friends come from New York named Lucas who are interested in the environment, especially the water ...",Adventure,SU,8.4,16,Indonesian,Joko Nugroho,"['Btari Chinta', 'Christopher V. Warren', 'Cindy Celine', 'Celine Wahyudi', 'Dwi Tasya', 'Paramitha Rusady', 'Ully Sigar Rusady', 'Egy Fedly', 'Godfred Orindeod', 'Martina Tesela', 'Siti Khadiva Azalia', 'Mahaputri Sigar', 'Patrick Sigar', 'Arya Indrayasa', nan]",
My Stupid Boss,2016,Diana (Bunga Citra Lestari) lives in Kuala Lumpur following her husband who works there. Diana then applied to work at a company owned by Bossman. Bossman happened to be her husband's college friend while in America.,Comedy,,7.2,"1,241",Indonesian,Upi Avianto,"['Bunga Citra Lestari', 'Reza Rahadian', 'Alex Abbad', 'Bront Palarae', 'Kin Wah Chew', 'Atikah Suhaime', 'Iskandar Zulkarnain', 'Melissa Karim', 'Nadiya Nissa', 'Sharmaine Othman', 'Sherry Alhadad', 'Richard Oh', 'Ting Tan', nan, nan]",108 min
Nyai: A Woman from Java,2016,,Drama,,7.1,17,Indonesian,Garin Nugroho,"['Annisa Hertami', 'Rudy Corenz', 'Cahwati Sugiarto', 'Gunawan Maryanto', 'Jamaludin Latief', 'Haydar Salishz', nan, nan, nan, nan, nan, nan, nan, nan, nan]",90 min
Pesantren Impian,2016,,Drama,,5.6,14,Indonesian,Ifa Isfansyah,"['Prisia Nasution', 'Fachry Albar', 'Dinda Kanyadewi', 'Indah Permatasari', 'Vika Aditya', 'Usmiyati Brohisman', 'Sheila Cascales', 'Febby Stephanie Ginting', 'Alexandra Gottardo', 'Annisa Hertami', 'Fuad Idris', 'Vanda Mutiara', 'Sita Nursanti', 'Rukman Rosadi', 'Haydar Salishz']",
Pinky Promise,2016,"A story of friendship between women who have different backgrounds, ages, their own personal problems when one of them was wounded and sad after being left by the fiancé who canceled their friend's marriage.",Comedy,,7.5,6,Indonesian,Guntur Soeharjanto,"['Donny Alamsyah', 'Dhea Ananda', 'Alexandra Gottardo', 'Chelsea Islan', 'Maudy Koesnaedi', 'Jajang C. Noer', 'Agni Pratistha', 'Ringgo Agus Rahman', 'Derby Romero', 'Dhea Seto', 'Ira Maya Sopha', 'Gunawan Sudrajat', nan, nan, nan]",104 min
Rudy Habibie,2016,"This movie follows the story of the 3rd President of Indonesia, B.J. Habibie, young life when he was studying in the university in Germany, his struggle life as a student, and his love life before he eventually dates Ainun.",Biography,13+,7.5,644,Indonesian,Hanung Bramantyo,"['Reza Rahadian', 'Chelsea Islan', 'Ernest Prakasa', 'Indah Permatasari', 'Pandji Pragiwaksono', 'Boris Bokir', 'Dian Nitami', 'Donny Damara', 'Millane Fernandez', 'Cornelio Sunny', 'Leroy Osmani', 'Timo Scheunemann', 'Verdi Solaiman', 'Julie Alexandra', 'Bagas Luhur Pribadi']",
Rumah Malaikat,2016,,Horror,,5.4,16,Indonesian,Billy Christian,"['Mentari De Marelle', 'Agung Saga', 'Roweina Umboh', 'Dayu Wijanto', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Sabtu Bersama Bapak,2016,"It's a story about a young man looking for a love learning, about a man who learned to be a father and a good husband, about a mother who raised them with love and about father who left a message and promised to always be with them.",Drama,,7.5,279,Indonesian,Monty Tiwa,"['Sheila Dara Aisha', 'Abimana Aryasatya', 'Deva Mahenra', 'Ernest Prakasa', 'Arifin Putra', 'Acha Septriasa', 'Ira Wibowo', nan, nan, nan, nan, nan, nan, nan, nan]",
Shy Shy Cat,2016,"She does not want to return home because of the backward village. Especially she is paired with Otoy, whom she remembers as the sucks child.",Comedy,,6.4,35,Indonesian,Monty Tiwa,"['Fedi Nuril', 'Nirina Zubir', 'Acha Septriasa', 'Tika Bravani', 'Titi Kamal', 'Soleh Solihun', 'Budi Dalton', 'Fitria Sechan', 'Iszur Muchtar', 'Bella Graceva', 'Dwi Sasono', 'Tio Pakusadewo', 'Juwita Bahar', 'Adelia Rasya', 'Poppy Sovia']",102 min
Stay with Me,2016,"Boy Dimas (Boy William) and Deyna (Ully Triani) are a couple who promise to stay together forever. One day, Deyna gets the news that her parents died in a plane crash. The incident forces her to go to Europe and live with her Aunt.",Drama,,7.4,13,Indonesian,Rudy Soedjarwo,"['Boy William', 'Ully Triani', 'Natasha Ratulangi', 'Firman Subagja', 'Nahtalie Pandoyo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Sundul Gan: The Story of Kaskus,2016,"At Seattle, when realizing Andrew Darwis is a man who created Kaskus, Ken Dean, a man with great passion quickly persuade Andrew to come back to Indonesia so they can expand this site ...",Biography,D,8.5,29,Indonesian,Naya Anindita,"['Ahmad Affandy', 'Pamela Bowie', 'Andre Bablo Fardanish', 'Albert Halim', 'Dion Wiyoko', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",89 min
Sunya,2016,"Indonesia, especially Java land is all about the mystical. The story of a man named bejo who must save his grandmother because she can not live or die, but bejo become trapped in the fairy ...",Drama,,8.6,9,Indonesian,Hari Suhariyadi,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",88 min
Super Didi,2016,"In two weeks absence of his wife, a young brilliant architect has to look after his two little girls as a clueless father. In the meantime he got a deadline of the most important project in his career.",Comedy,SU,7.1,19,Indonesian,Hadrah Daeng Ratu,"['Vino G. Bastian', 'Karina Nadila', 'Ira Maya Sopha', 'Mathias Muchus', 'Anjanique Renney', 'Aviela Reyna', 'Mike Lucock', 'Verdi Solaiman', 'Zilly Larasati', 'Patty Sandya', 'Joe Project P.', 'Bayu Oktara', 'Sandy Andarusman', 'Bang Tigor', 'Marcella Lumowa']",108 min
Surat Cinta Untuk Kartini,2016,"On his first day of work, a new postman who recently moved from Semarang did not realize that one of the letters he delivered was for Kartini, a beautiful who also care for people, and he starts to fall in love with her.",Drama,,7.8,22,Indonesian,Azhar Kinoi Lubis,"['Chicco Jerikho', 'Rania Putri Sari', 'Ence Bagus', 'Donny Damara', 'Acha Septriasa', 'Ayu Dyah Pasha', 'Melayu Nicole', 'Keke Soeryo', 'Christabelle Grace Marbun', 'Oktavia Owe', 'Nina Syaheda', 'Vanda Mutiara', 'Maya Putri', nan, nan]",
Surat dari Praha,2016,"A girl named Larasati (Julie Estelle), trying to fulfill her deceased mother's last wish to deliver a box filled with letters from her past to an old guy lived in Prague. A story about forgiveness, tying loose end and bond.",Drama,R,7.2,262,Indonesian,Angga Dwimas Sasongko,"['Julie Estelle', 'Tio Pakusadewo', 'Rio Dewanto', 'Widyawati', 'Chicco Jerikho', 'Jajang C. Noer', 'Shafira Umm', nan, nan, nan, nan, nan, nan, nan, nan]",97 min
Talak 3,2016,"Bagas and Risa just divorced recently. But the job demands them to be together all the time, so they found the love that they once had and decide to be back together again. But it is not that easy because Bagas has given ""Talak 3"" to Risa.",Comedy,,7.3,86,Indonesian,Ismail Basbeth,"['Laudya Cynthia Bella', 'Reza Rahadian', 'Vino G. Bastian', 'Sitoresmi Prabuningrat', 'Cak Lontong', 'Mozza Kirana', 'Mike Lucock', 'Dodit Mulyanto', 'Tika Panggabean', 'Gareng Rakasiwi', 'Totos Rasiti', 'Haydar Salishz', 'David John Schaap', 'Mo Sidik', 'Harya Suraminata']",
Tausiyah Cinta,2016,,Romance,R,8.4,5,Indonesian,Humar Hadi,"['Rendy Herpy', 'Irwansyah', 'Ressa Rere', 'Hamas Syahid', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Terjebak Nostalgia,2016,Raisa was chasing her dream with her beloved on Sora to New York. The presence of Reza who accompanied her during her time in New York brought her to a complicated situation.,Drama,,7.1,46,English,Rako Prijanto,"['Raisa', 'Chicco Jerikho', 'Maruli Tampubolon', 'Khiva Iskak', 'Dewi Irawan', 'Robby Sugara', 'M. Saddam', 'Sapto Soetarjo', 'Scott Radock', 'Alexander Rivero', nan, nan, nan, nan, nan]",94 min
Terpana,2016,"Ada is a successful woman with her career, however she is afraid to fall in love with someone else. However with the help of her friend (Reza Rahadian) she meet with Rafian. Rafian is able ...",Drama,,6.6,25,Indonesian,Richard Oh,"['Fachry Albar', 'Raline Shah', 'Reza Rahadian', 'Uwie Balfas', 'Chef Chandra', 'Aghi Narottama', 'Poppy Sovia', nan, nan, nan, nan, nan, nan, nan, nan]",
The Doll,2016,"Eerie things begin to happen after a man gives his wife a doll, unaware it once belonged to a girl who was murdered. The first of the ""Doll"" films.",Horror,,5.3,521,Indonesian,Rocky Soraya,"['Shandy Aulia', 'Denny Sumargo', 'Sara Wijayanto', 'Vitta Mariana Barrazza', 'Demian Aditya', 'Faiza Mahnur', 'Hans Gunawan', 'Aslam Abad', 'Annette Edoarda', 'Wenty Mamenda', 'Shane Major', 'Asha Kenyeri Bermudez', 'Princess Martinez', 'Joseph Kara', 'Nabil Lunggana']",107 min
The Fabulous Udin,2016,"Udin (Muhammad Fazzil Alditto), a boy from Cimaja village, South Sukabumi, East Java, always able to solve the village's problems with the out of the box solution.",Adventure,,7.4,8,Indonesian,Herdanius Larobu,"['Muhammad Fazzil Alditto', 'Bella Graceva', 'Zulfa Maharani', 'Difa Ryansyah', 'Aldy Rialdy', 'Lydia Kandou', 'Fandy Christian', 'Ussy Sulistiawaty', 'Stella Cornelia', 'Fendy Chow', 'Yama Carlos', 'Budi Dalton', 'Riafinola Ifani Sari', 'Iqbal Pakula', 'Masayu Anastasia']",98 min
The Professionals,2016,"Abi (Fachri Albar), a businessman who has to live in prison because he was framed by his business competitor, Reza (Arifin Putra). After his release from prison, he plans to take revenge, a major robbery with the target of Reza's company.",Action,,6.4,39,Indonesian,Affandi Abdul Rachman,"['Arifin Putra', 'Lukman Sardi', 'Cornelio Sunny', 'Richard Kyle', 'Imelda Therinne', 'Fachry Albar', 'Luis Jocom', 'Melayu Nicole', 'Peter Pastimoore', 'Hanata Rue', nan, nan, nan, nan, nan]",95 min
The Promise,2016,,Thriller,D,5.8,8,Indonesian,Bambang Drias,"['Dara Rizki Ruhiana', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",90 min
The Window,2016,,Drama,,8.0,11,Indonesian,Nurman Hakim,"['Titi Rajo Bintang', 'Eka Nusa Pertiwi', 'Yoga Pratama', 'Haydar Salishz', 'Landung Simatupang', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Triangle the Dark Side,2016,"A retired Hitman is forced to complete his final mission, but falls in love with his target's sister. Now he has to choose between Love and Logic.",Action,,2.2,247,Indonesian,Deddy Corbuzier,"['Deddy Corbuzier', 'Sisca Jessica', 'Volland humonggio', 'Sandra Dewi', 'Roy Marten', 'Sys Ns', 'Asri Welas', 'Chris John', 'Max Metino', 'Babe Cabita', 'Adi Kurdi', nan, nan, nan, nan]",90 min
Turah,2016,The residents of Kampung Tirang live in dilapidated shacks just to earn for their next meal. The hardworking and reliable Turah has been appointed by the cooperative leader to tend to ...,Drama,13+,7.7,59,Indonesian,Wicaksono Wisnu Legowo,"['Ubaidillah', 'Slamet Ambari', 'Yono Daryono', 'Rudi Iteng', 'Narti Diono', 'Cartiwi', 'Muhammed Riziq', 'Siti Khalimatus Sadiyah', 'Aminah', 'M. Ilham Maulana', 'Bontot Sukandar', 'Sulistyo Kusumawati', 'Firman Hadi', 'Lukman Jiwa', 'Bambang Suwidagdo']",83 min
Uang Panai' Maha(r)l,2016,Anca (Ikram Noer) just returned from overseas. He was reunited with his ex-girlfriend Risna (Nur Fadillah) and intends to marry her. But Anca's intention was hindered by a marriage conditions: Uang Panai' with a fantastic amount of money.,Comedy,,6.6,128,Indonesian,Halim Gani Safia Asril Sani,"['Abu', 'Muh. Zoel Ikram', 'Nurfadhillah', 'Tumming', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Warkop DKI Reborn: Jangkrik Boss Part 1,2016,"Dono, Kasino, and Indro are back in action. Now, they join a private institution called CHIPS. Even though they are passionate about serving the community, they also continue to cause problems because of their silly and funny actions.",Adventure,,6.5,"1,049",Indonesian,Anggy Umbara,"['Abimana Aryasatya', 'Vino G. Bastian', 'Tora Sudiro', 'Indro Warkop', 'Ence Bagus', 'Hannah Al Rashid', 'Nikita Mirzani', 'Henky Solaiman', 'Ingrid Widjanarko', 'T.M. Tarsan', 'Mudy Taylor', 'Bintang Timur', 'Arie Kriting', 'Fico Fachriza', 'Yudha Keling']",
What's Up with Love 2,2016,"14 years after their budding romance in high school, Rangga and Cinta reunite in Yogyakarta to have their closure after Rangga had left Cinta with no explanation years prior.",Drama,13+,7.4,"1,650",Indonesian,Riri Riza,"['Nicholas Saputra', 'Dian Sastrowardoyo', 'Titi Kamal', 'Adinia Wirasti', 'Sissy Priscillia', 'Dennis Adhiswara', 'Ario Bayu', 'Christian Sugiono', 'Sarita Thaib', 'Dimi Cindyastira', 'Lei-Lei Bavoil', 'Chase Kuertz', 'Mian Tiara', nan, nan]",123 min
Winter in Tokyo,2016,"A woman named Keiko Ishida (Pamela Bowie), the librarian, who lives in a small apartment on the outskirts of Tokyo, gets a new neighbor, Kazuto Nishimura (Dion Wiyoko) who returns to Tokyo after 10 years living in America.",Romance,13+,7.8,17,Indonesian,Fajar Bustomi,"['Dion Wiyoko', 'Pamela Bowie', 'Morgan Oey', 'Kimberly Ryder', 'Ferry Salim', 'Brandon Salim', 'Brigitta Cynthia', nan, nan, nan, nan, nan, nan, nan, nan]",103 min
Ziarah,2016,"Madam Sri is on the search for the grave of her husband who disappeared during the Indonesian National Revolution. Along the way, her grandson looks for her through various conversations ...",Drama,13+,8.0,29,Indonesian,B.W. Purba Negara,"['Ponco Sutiyem', 'Rukman Rosadi', 'Ledjar Subroto', 'Vera Prifatamasari', 'E. Suhardjendro', 'Sasmo Wiyanto', 'Sugeng Prihatin', 'Supriyanto', 'Harso Diyono', 'Sartorejo', 'Fajar Suharno', 'Arief Akhmad Yani', 'Mulyani', 'Sri Mulyani', 'Natasya Putri Sastrosoemarto']",87 min
#66,2015,"66 tells the story of an assassin-for-hire, who is hired to kill a police informant, but instead steals the money and runs, igniting the spark that leads a criminal organization to go to war with itself.",Action,,5.9,24,Indonesian,Asun Mawardi,"['Ari Riski Ananda', 'Erwin Bagindo', 'Fandy Christian', 'Franki Darmawan', 'Yanda Djaitov', 'Donita', 'Hendra Louis Alexander Eman', 'Asun Mawardi', 'Ali Nurkoto', 'Joshua Pandelaki', 'Aji Setiaji', 'Ricardo Silenzie', 'Ali Syehan', 'Yayu A.W. Unru', nan]",116 min
3 Dara,2015,Three men have something in common: womanizer and no respect for women. Their lives change when they meet with a woman who condemned their behavior. They search for redemption that brings them to the reality that they have never imagined.,Comedy,,5.6,5,Indonesian,Ardy Octaviand,"['Tora Sudiro', 'Adipati Dolken', 'Tanta Ginting', 'Rianti Cartwright', 'Melayu Nicole', 'Shara Virrisya', 'Ayushita', 'Farali Khan', 'Indra Birowo', 'Lembu Jati', 'Henky Solaiman', 'Richard Oh', 'Fahria Yasmin', 'Najira', 'Melissa Karim']",86 min
"3: Alif, Lam, Mim",2015,3 worlds collide for the bigger purpose.,Action,,7.3,292,Indonesian,Anggy Umbara,"['Cornelio Sunny', 'Abimana Aryasatya', 'Agus Kuncoro', 'Prisia Nasution', 'Tika Bravani', 'Piet Pagau', 'Cecep Arif Rahman', 'Verdi Solaiman', 'Arswendi Nasution', 'Donny Alamsyah', 'T. Rifnu Wikana', 'Bima Azriel', 'Tanta Ginting', 'Rangga Djoned', 'Rio Dewanto']",123 min
A Copy of My Mind,2015,A female cheap salon worker and a pirated DVDs subtitle maker fall in love during the turbulent presidential election in Indonesia.,Drama,,7.2,698,Indonesian,Joko Anwar,"['Tara Basro', 'Chicco Jerikho', 'Maera Panigoro', 'Paul Agusta', 'Ario Bayu', 'Tony Merle', 'Ronny P. Tjandra', 'Suhaya', 'Windu Arifin', 'Ang Tjio Yang', 'Sutirah', nan, nan, nan, nan]",116 min
About A Woman,2015,"A widow of 65 lives alone but denies she is lonely. Her family sends her in-law's nephew, teenager Abi, to help around the house. The widow, who is starting to feel insecure about her ...",Drama,D,8.6,19,Indonesian,Teddy Soeriaatmadja,"['Rendy Ahmad', 'Anneke Jodi', 'Tutie Kirana', 'Ringgo Agus Rahman', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",76 min
Ayat-Ayat Adinda,2015,,Drama,,5.4,5,Indonesian,Hestu Saputra,"['Tissa Biani Azzahra', 'Cynthia Lamusu', 'Surya Saputra', 'Deddy Sutomo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Bulan Terbelah di Langit Amerika,2015,"A husband and wife, Hanum and Rangga, are trying to uncover what really happened in 9/11 tragedy from their point of view.",Adventure,17+,6.0,213,Indonesian,Rizal Mantovani,"['Acha Septriasa', 'Abimana Aryasatya', 'Nino Fernandez', 'Rianti Cartwright', 'Hannah Al Rashid', 'Nur Fazura', 'Michael Abts', 'Laval Alsbrooks Jr.', 'Daniel Danielson', 'Gys de Villiers', 'Hailey Franco', 'Nicholas M. Garofolo', 'Nancy Marlowe Gordon', 'Wanning Jen', 'Nick Mosse']",109 min
CJR the Movie: Lawan Rasa Takutmu,2015,"Bastian's decision to resign from Coboy Junior makes Iqbal, Aldi, and Kiki feel lost. It is lucky that they have producer like Patrick (Abimana Aryasatya), which is always present to give ...",Drama,13+,7.3,20,Indonesian,Patrick Effendy,"['Iqbaal Dhiafakhri Ramadhan', 'Teuku Ryzki', 'Alvaro Maldini Siregar', 'Abimana Aryasatya', 'Arie Kriting', 'Rio Dewanto', 'Emmanuel Kelly', 'Ernest Prakasa', nan, nan, nan, nan, nan, nan, nan]",
Cai Lan Gong,2015,Aileen is coming to her grandfather. She is obliged to follow rituals as a Cai Lan Gong (Vegetable Basket Deity) keeper. Something evi happens that make the ritual go wrong.,Horror,,6.2,5,Indonesian,David Purnomo,"['Ineke Valentina', 'Ronny P. Tjandra', 'Anthony Xie', 'Rezca Syam', 'Putri Ariani', 'Vien Febrina', 'Albert Cen', 'Peter Pastimoore', 'Hanata Rue', nan, nan, nan, nan, nan, nan]",83 min
Cinta Selamanya,2015,,Drama,,6.8,14,Indonesian,Fajar Nugros,"['Rio Dewanto', 'Atiqah Hasiholan', 'Janna Soekasah Joesoef', 'Widi Mulia', 'Shalom Razade', 'Amanda Soekasah', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Clown of the Dead,2015,"Three friends must discover what's behind the killings of local children, the victims drew the same picture before they died. They uncover the evil spirit of a circus clown and must send it back to hell before more children are murdered.",Horror,,5.4,125,Indonesian,Awi Suryadi,"['Daniel Topan', 'Christoffer Nelwan', 'Aurélie Moeremans', 'Ratu Felisha', 'Tiara Westlake', 'Ronny P. Tjandra', 'Marcel Chandrawinata', nan, nan, nan, nan, nan, nan, nan, nan]",
Comic 8: Casino Kings Part 1,2015,"Eight secret agents assigned to go undercover as stand up comedians in search of a comedian who becomes a liaison to the master criminal named ""The King"", the most spectacular gambling casino owner in Asia.",Action,13+,6.3,327,Indonesian,Anggy Umbara,"['Hannah Al Rashid', 'Donny Alamsyah', 'Dhea Ananda', 'Ence Bagus', 'Gilang Bhaskara', 'Ghita Bhebhita', 'Boris Bokir', 'Babe Cabita', 'Candil', 'Billy Chong', 'Andovi Da Lopez', 'Jovial Da Lopez', 'Arief Didu', 'Adjis Doaibu', 'Fico Fachriza']",
Di Balik 98,2015,This movie tells the story about the Indonesian riot in 1998 which resulted in the fall of the three-decade-long presidency of Suharto. This event is seen from the perspective of a group student who also participated as the protester.,Drama,13+,6.7,36,Indonesian,Lukman Sardi,"['Donny Alamsyah', 'Bima Azriel', 'Fauzi Baadila', 'Agus Cholid', 'Asrul Dahlan', 'Iang Darmawan', 'Ririn Ekawati', 'Chelsea Islan', 'Gito Juwono', 'Amoroso Katamsi', 'Agus Kuncoro', 'Elkie Kwee', 'Nursalim Mas', 'Meulela Meurah', 'Zulkifli Nasution']",
