Date,Headline,Conflict Type,Country,Region,Description,Sources
1983,Terrorists destroy US military barraks in Lebanon,Weapon,Lebanon,Western Asia,"An explosives-laden truck disguised as a water delivery vehicle destroys a barracks in a US military compound, killing more than 300 people. The attack is blamed on Hezbollah with the support of the Iranian government.",British Broadcasting Corporation (BBC) 2007
1983,Terrorists plot to poison Israel water,Weapon,Israel,Western Asia,"The Israeli government reports that it had uncovered a plot by Israeli Arabs to poison the water in Galilee with ""an unidentified powder.""",Douglass and Livingstone 1987
1984,Oregon water supply poisoned,Weapon,United States,North America,"Members of the Rajneesh religious cult contaminate a city water supply tank in The Dalles, Oregon, using Salmonella. A community outbreak of over 750 cases occurred in a county that normally reports fewer than five cases per year.",Clark and Deininger 2000
1984,Destruction of construction equipment at Ataturk Dam,Casualty,Turkey,Western Asia,"During construction of the Ataturk Dam, the Kurdistan Workers' Party (PKK) destroys construction equipment and nearly 1,100 vehicles, severely delaying the project.",Glass 2017
1984,"Water truck bombed in front of U.S. Embassy in Amman, Jordan",Casualty,Jordan,Western Asia,"A water truck is destroyed when a bomb placed underneath it explodes. The truck was outside the U.S. Embassy in Amman, Jordan. Two people are injured.",RAND Database of Worldwide Terrorism Incidents 2018
1985,Cult plans to poison US waters,Weapon,United States,North America,"Law enforcement authorities discover that a small survivalist group in the Ozark Mountains of Arkansas known as The Covenant, the Sword, and the Arm of the Lord (CSA) has acquired a drum containing 30 gallons of potassium cyanide, with the apparent intent to poison water supplies in New York, Chicago, and Washington, D.C. CSA members believe that such attacks would make the Messiah return more quickly by punishing unrepentant sinners. The objective appears to be mass murder in the name of a divine mission rather than to change government policy. The amount of poison possessed by the group is believed to have been insufficient to contaminate the water supply of even one city.",Tucker 2000
1985,Anonomous note threatens to contaminate NYC's reservoirs,Weapon,United States,North America,An anonymous letter writer threatens to contaminate New York City's water reservoirs with plutonium unless charges against a man accused of vigilantism for shooting four African American men in the New York subway are dropped. Testing detects minute levels of plutonium in the water on but scientists could not conclude whether the threat to contaminate the New York City water supply would be actually carried out or whether the sample is contaminated prior to receipt.,Johnston 2014
1986,South Koreans uneasy over North's dam,Weapon,"North Korea, South Korea",Eastern Asia,North Korea's announcement of its plans to build the Kumgansan hydroelectric dam on a tributary of the Han River upstream of Seoul raises concerns in South Korea that the dam could be used as a tool for ecological destruction or war.,Gleick 1993
1986,Lesotho coup partly over water,Trigger,Lesotho,Sub-Saharan Africa,"South Africa supports a bloodless coup by Lesotho's defense forces. Immediately afterward, the two countries agree to share water from the Highlands of Lesotho, following 30 years of unsuccessful negotiations. There is disagreement over the degree to which water was a motivating factor for either party.",Mohamed 2001
1986,Lesotho coup partly over water,Trigger,Lesotho,Sub-Saharan Africa,"South Africa supports coup in Lesotho over support for ANC and anti-apartheid, and water. New government in Lesotho then quickly signs Lesotho Highlands water agreement.",Inventory of Conflict and the Environment 2000b
1986,A plan to blow up the Ataturk Dam in Turkey is thwarted,Casualty,Turkey,Western Asia,Turkish police discover Syrian-backed terrorists designing a plan to blow up the Atat?rk Dam.,Glass 2017
1987-1989,Lack of water from drought contributes to onset of the Arab-Fur War.,Trigger,Sudan,Northern Africa,"The Arab-Fur War (1987-1989) between the Arab and Fur ethnic groups in Libya, is triggered in part by severe drought that strains farmer-herder relationships. Libyan leader Gaddafi sends drought relief supplies and weaponry to opposing sides.",Bromwich 2018
1987,19 police recruits in the Philippines die from poisoned water and candy from an unknown source,Weapon,Philippines,South-eastern Asia,19 Filipino police recruits die after drinking and eating water and candy from an unknown person.,CBC News Online 2004
1987,At least 12 police die in the Philippines after drinking poisoned water during a running race,Weapon,Philippines,South-eastern Asia,At least 12 and up to 19 runners die after drinking poisoned bottled water during a race. The runners were members of the Philippine Constabulary.,Mohtadi and Murshid 2006
1988,Angolans attack South African dam,Casualty,Angola,Sub-Saharan Africa,Cuban and Angolan forces launch an attack on Calueque Dam via land and then air. Considerable damage inflicted on dam wall; power supply to dam cut. Water pipeline to Ovamboland cut and destroyed.,Meissner 2000
1988,Bomb on water tank injures 15,Casualty,Pakistan,Southern Asia,"A bomb placed under a water tank explodes, injuring 15 people in Peshawar, Pakistan.",RAND Database of Worldwide Terrorism Incidents 2018
1989,Water and other ecological threats used as justification for attack on cattle company,Casualty,United States,North America,"A fire is set in a cattle company building outside of Sacramento, California, causing hundreds of thousands of dollars in damage. An unidentified caller claiming to be part of Earth First! states he set the fire ""because we are opposed to the livestock industry because it causes irreparable damage to the environment by putting chemicals in food and water and destroying natural habitat for wildlife.""",United Press International (UPI) 1989
1989,Bomb discovered near a water pumping station prior to detonation,"Casualty, Weapon",Israel,Western Asia,"A large amount of dynamite is discovered near a water pumping station near Moshav Ramon, prior to detonation. The detonation would have likely caused flooding and damage to agricultural land.",RAND Database of Worldwide Terrorism Incidents 2018
1989,Alleged attempt to infect the water supply to a refugee camp with biological agents,Weapon,Namibia,Sub-Saharan Africa,"The Civilian Cooperation Bureau, a covert South African unit, is accused of an attempt to infect the water supply of a refugee camp in Dabora, Namibia, with cholera and yellow fever. The attempt is thought to fail due to the high chlorine content in the water.",Mohtadi and Murshid 2006
1990,South Africa cuts off black community's water,Weapon,South Africa,Sub-Saharan Africa,"Pro-apartheid council cuts off water to the Wesselton township of 50,000 blacks following protests over miserable sanitation and living conditions.",Gleick 1993
1990,Turkey's Ataturk Dam a weapon of war?,Weapon,"Iraq, Syria",Western Asia,"The flow of the Euphrates is interrupted for a month as Turkey finishes construction of the Atat?rk Dam, part of the Grand Anatolia Project. Syria and Iraq protest that Turkey now has a weapon of war. In mid-1990 Turkish president Turgut ?zal  threatens to restrict water flow to Syria to force it to withdraw support for Kurdish rebels operating in southern Turkey.",Gleick 1993
1990,Violence over water competition kills 300 along Uzbekistan border,Trigger,"Kyrgyzstan, Tajikistan, Uzbekistan",Central Asia,"The Fergana Valley, shared by these three countries, is especially vulnerable to violent eruptions over water and ethnicity. In 1990 an outbreak of violence in the Kyrgyz town of Osh on the border with Uzbekistan claims over 300 lives. The violence is provoked by competition for water, limited arable land, and ethnic tensions.",Khamidov 2001
1990,Police report nine people are sickened by the intentional contamination of the water supply of a private apartment building in S,Weapon,"Scotland, United Kingdom",Northern Europe,"At least nine people from a private apartment building in Edinburgh, Scotland report coming down with a diarrheal disease caused by Giardia lamblia. Investigators of the incident believe that the water supply to the apartment had been deliberately contaminated with fecal matter containing Giardia.",Mohtadi and Murshid 2006
1990-1991,Attacks on energy systems in Iraq leaves cities without water,Casualty,Iraq,Western Asia,"During the Gulf War, targeted attacks on transformers and turbines at water treatment plants leave whole cities, such as Basra, without water or wastewater treatment. And due to embargos, parts needed to fix the plants are not available. It is estimated that at least 25% of water treatment plants in Iraq do not have backup power supply and are inoperable after electrical grids are damaged.",Human Rights Watch 1991
1991,Iraq destroys Kuwait desalination plants,Casualty,Kuwait,Western Asia,"During the Gulf War, Iraq destroys much of Kuwait's desalination capacity during retreat.",Gleick 1993
1991,British Columbia water supply threatened,Weapon,Canada,North America,"A threat is made via an anonymous letter to contaminate the water supply of the city of Kelowna, British Columbia, with ""biological contaminates."" The motive is apparently ""associated with the Gulf War."" The security of the water supply is increased in response and no group is identified as the perpetrator.",Purver 1995
1991,UN considers cutting river flow to Iraq,Weapon,Iraq,Southern Asia,Discussions are held at the United Nations about using the Atat?rk Dam in Turkey to cut off flows of the Euphrates to Iraq.,Gleick 1993
1991,US destroys Iraq water systems,Casualty,Iraq,Western Asia,"During the Persian Gulf War, Allied Coalition forces damage Baghdad's modern water supply and sanitation system""intentionally and unintentionally. ""Four of seven major pumping stations were destroyed, as were 31 municipal water and sewerage facilities in Baghdad""resulting in sewage pouring into the Tigris. Water purification plants were incapacitated throughout Iraq"" (Arbuthnot 2000). Following the damage, the New England Journal of Medicine reports that, during the first eight months of 1991, childhood death in Iraq increases by 47,000 and the country's infant mortality rate doubles to 92.7 per 1,000 live births.",Gleick 1993
1991,Chinese villages exhange mortar fire over water diversion,Trigger,China,Eastern Asia,"In December 1991, Huanglongkou village and Qianyu village exchange mortar fire over the construction of new water diversion facilities. Conflicts over excessive water withdrawals and subsequent water shortages from China's Zhang River have been worsening for over three decades. (See also entries for 1970, 1976, 1992, and 1999.)",China Water Resources Daily 2002
1991-2001,US sanctions against Iraq target water systems,Casualty,Iraq,*Western Asia,United States deliberately pursues policy of destroying Iraq's water systems through sanctions and withholding contracts.,Nagy 2001
1991-2007,Violence over use of India's Cauvery River,Trigger,India,Southern Asia,"Violence erupts when Karnataka, India rejects an Interim Order handed down by the Kaveri Waters Tribunal, set up by the Indian Supreme Court. The Tribunal was established in 1990 to settle two decades of dispute between Karnataka and Tamil Nadu over irrigation rights to the Kaveri River.",Gleick 1993
1991,"During Persian Gulf War, allied forces attack and destroy urban water and sanitation facilities in Basra, Iraq",Casualty,Iraq,Western Asia,"During the Persian Gulf War, Allied forces target water and sanitation facilities in Iraq's second-largest city, Basra. The damage is unrepairable.",Vulliamy 1991
1992,Hungary and Czechoslovakia dispute over Danube,Trigger,"Czechoslovakia, Hungary",Eastern Europe,"Hungary abrogates a 1977 treaty with Czechoslovakia concerning construction of the Gab??kovo?Nagymaros project based on environmental concerns. Slovakia continues construction unilaterally, completes the dam, and diverts the Danube into a canal inside the Slovakian republic. Massive public protest and movement of military to the border ensue; issue taken to the International Court of Justice.",Gleick 1993
1992,Turkish air base waters poisoned,Weapon,Turkey,Western Asia,Lethal concentrations of potassium cyanide are reported discovered in the water tanks of a Turkish Air Force compound in Istanbul. The Kurdish Workers' Party (PKK) claims credit.,Chelyshev 1992
1992,Serbs cut off water and power to Bosnian cities,Weapon,Bosnia and Herzegovina,Southern Europe,"The Serbian siege of Sarajevo, Bosnia and Herzegovina, includes a cutoff of all electrical power and the water feeding the city from the surrounding mountains. The lack of power cuts the two main pumping stations inside the city despite pledges from Serbian nationalist leaders to United Nations officials that they would not use their control of Sarajevo's utilities as a weapon. Bosnian Serbs take control of water valves regulating flow from wells that provide more than 80 percent of water to Sarajevo; reduced water flow to city is used to ""smoke out"" Bosnians.",Burns 1992
1992,Canal on China's Zhang River bombed,"Trigger, Casualty",China,Eastern Asia,"In August 1992, bombs are set off along a Zhang River distribution canal collapsing part of the canal and causing flooding and economic losses. Violence continues in the late 1990s with confrontations, mortar attacks, and bombings. Conflicts over excessive water withdrawals and subsequent water shortages from China's Zhang River have been worsening for over three decades. (See also entries for 1970, 1976, 1991, and 1999.)",China Water Resources Daily 2002
1992,Russians attack Moldovan hydroelectric dam,Casualty,"Moldova, Russia",Eastern Europe,"In June, hostilities between Moldova and Russia in a short but intense conflict inclujde a rocket-artillery attack on the hydroelectric turbines at the Dub?sari power station on the Nistru (or Dniester) River.",Malik 2005
1992,Violent raids target water infrastructure between Uzbekistan and Turkmenistan,"Trigger, Casualty","Uzbekistan, Turkmenistan",Central Asia,"The Tyuyamuyun reservoir in the delta of the Amu Darya is a point of contention between Uzbekistan and Turkmenistan. Violence occurrs in 1992 over the re-direction of drainage waters and raids by both sides to cut off pipes and irrigation canals. Today, the Tyuyamuyun remains one of several disputed areas in continuing water dispute with Uzbekistan.",Votrin 2003
1992,"Dispute over control of Zhang River, China leads to violence","Trigger, Casualty",China,Eastern Asia,"In August 1992, farmers of Baishan village in Hebei province and Panyang village in Henan province fight with rudimentary explosives over control of water from the Zhang River, which feeds an irrigation canal for the two provinces. An attempt to divert the river leads to a confrontation and an attack on irrigation canals.",Pietz 2015
1992-2016,Farmers and pastoralists in Nigeria clash over land and water resources,Trigger,Nigeria,Sub-Saharan Africa,"In Nigeria's ""Middle Belt,"" dozens are killed in tensions between farmers and pastoralists over the use of farmland, grazing fields, and water sources.",Mercy Corps 2015
1992,Water supply to a Turkish air force base is poisoned,Weapon,Turkey,Western Asia,Potassium cyanide is discovered in lethal quantities in the water supply of a Turkish air force base. No one is poisoned prior to the discovery. The attack is attributed to the Kurdish Workers' Party.,Mohtadi and Murshid 2006
1993,Iran threatens West's water,Weapon,Iran,Southern Asia,"A report suggests that proposals were made at a meeting of fundamentalist groups in Tehran, under the auspices of the Iranian Foreign Ministry, to poison water supplies of major cities in the West ""as a possible response to Western offensives against Islamic organizations and states.""",Haeri 1993
1993,Yugoslavian army destroys dam,Casualty,Yugoslavia,Southern Europe,"The 65-meter high Peru?a Dam on the Cetina River was Yugoslavia's second-largest hydroelectric facility before the country's breakup with the Croation War beginning in 1991. On January 28, 1993, Serbian/Yugoslav army forces detonate explosives at the dam in an attempt to wipe out Croatian villages and the port city of Omi'. A successful Croation counter-attack allows military engineers to reach the dam and release water on time to prevent it from bursting, saving an estimated twenty- to thirty-thousand civilians. Credit for preventing a dam burst is also given to British Marine Captain Mark Gray, a UN Observer, for opening gates to reduce water levels prior to the attack.",Gleick 1993
1993,Violence occurs over land use of a water catchment area in Kenya,Trigger,Kenya,Sub-Saharan Africa,"In October 1993, violence erupts in the Narok district of Kenya's Rift Valley province. Maasai warriors attack immigrant Kikuyu settlers and massacre at least 17 of them, after Kikuyi settlers allegedly mutilated Maasai cattle. 16 more Kikuyus are killed in other parts of Narok and the rest of the Kikuyu population is forced out of the area and into refugee camps. Environmental concerns played a central role: a few months previously, the Narok County Council had declared Enosupukia, the site of the conflict, to be a water catchment area and decreed that all inhabitants, mostly transplanted Kikuyus, had to leave.",Cerami 2013
1993-2003,Iraq uses water to silence opposition,"Weapon, Casualty",Iraq,Western Asia,"To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",Gleick 1993
1994,Moldova threatens Russian army's water,Weapon,"Moldova, Russia",Eastern Europe,"Reported threat by Moldavian General Nikolay Matveyev to contaminate the water supply of the Russian 14th Army in Tiraspol, Moldova with mercury.",Purver 1995
1998/1994,Arizonan hacks water facility,Weapon,United States,North America,"The Washington Post reports that a 12-year old computer hacker broke into the SCADA computer system that runs Arizona's Roosevelt Dam, giving him complete control of the dam's massive floodgates. The cities of Mesa, Tempe, and Phoenix, Arizona are downstream of this dam. This report turns out to be incorrect. A hacker did break into the computers of an Arizona water facility, the Salt River Project in the Phoenix area. But he was 27, not 12, and the incident occurred in 1994, not 1998. And while clearly trespassing in critical areas, the hacker never could have had control of any dams, leading investigators to conclude that no lives or property were ever threatened.",Gellman 2002
1995,"Ecuador, Peru fight over Cenepa River",Trigger,"Ecuador, Peru",Latin America and the Ca,Armed skirmishes arise in part because of disagreement over the control of the headwaters of Cenepa River. Wolf argues that this is primarily a border dispute simply coinciding with location of a water resource.,Samson and Charrier 1997
1996,Orma and Degodia clans wage war over scarce resources in Kenya,Trigger,Kenya,Sub-Saharan Africa,"The Orma and Degoodi clans wage war over grazing land and water due to a severe drought, with 10 fatalities.",Salehyan et al 2014
1997,Malaysia threatens to cut Singapore's water,Weapon,"Singapore, Malaysia",Southeast Asia,Malaysia supplies about half of Singapore's water and in 1997 threatened to cut off that supply in retribution for criticisms by Singapore of policy in Malaysia.,Zachary 1997
1997,Uzbekistani troops guard reservoirs along border,"Trigger, Weapon","Kyrgyzstan, Uzbekistan",Central Asia,"Continued serious water tensions between Kyrgyzstan and Uzbekistan lead to the deployment of 130,000 Uzbekistani troops on the Kyrgyz border to guard reservoirs straddling the two countries. Uzbekistan accuses Kyrgyzstan of releasing too much water from the Toktogul reservoir. Kyrgyzstan, through media leak, hints that in case the reservoir would be blown up, the resulting flood would sweep away Uzbekistan's Ferghana and Zeravshan Valleys.",Votrin 2003
1997,Uzbekistan cuts downstream flow to Kazakhstan,Weapon,"Uzbekistan, Kazakhstan",Central Asia,"Uzbekistan raises regional tensions by cutting off 70 percent of flow downstream, threatening 100,000 hectares and prompting a riot by Kazakh farmers.",Hogan 2000a
1997,Protests against plans to privatise water and sanitation services,Trigger,South Africa,Sub-Saharan Africa,"Congress of South African Trade Unions, South African Municipal Workers Union and the South African Communist Party marched on the Nelspruit council to protest against plans to privatise water and sanitation services.",Raleigh et al N.D. I.D. 5569692
1997,Waterworks are sabotaged by armed groups,Casualty,Mozambique,Sub-Saharan Africa,"In Mozambique, unidentified armed groups sabotage waterworks and burn houses of civilians.",Raleigh et al N.D. I.D. 5014627
1997,Protest against water prices,Trigger,Mauritania,Sub-Saharan Africa,The Mauritania government breaks up protests of water and electricity prices.,"Raleigh et al N.D. I.D. 5014583, 5014584"
1997,Police prevent students from protesting the lack of water on campus,Trigger,Nigeria,Sub-Saharan Africa,Three students are seriously wounded in a clash with police at the University of Ibadan in Nigeria. Police are preventing students from protesting the lack of water and electricity on campus.,Raleigh et al N.D. I.D. 5286570
1998,Guerillas threaten Tajikistan dam,Casualty,Tajikistan,Central Asia,Tajik guerrilla commander Makhmud Khudoberdyev threatens to blow up a dam on the Kairakum channel if his political demands are not met.,World Rivers Review (WRR) 1998
1998,"Angolan rebels, government fight at dam",Casualty,Angola,Sub-Saharan Africa,"In September 1998, fierce fighting between UNITA and Angolan government forces broke out at Gove Dam on the Kunene River for control of the installation.",Meissner 2001
1998,Congo rebels attack dam,Casualty,Democratic Republic of Congo,Sub-Saharan Africa,"Attacks on Inga Dam during efforts to topple President Kabila. Disruption of electricity supplies from Inga Dam and water supplies to Kinshasa, Congo.",Chenje 2001
1998,War between Eritrea and Ethiopia includes destruction of water systems,Casualty,"Eritrea, Ethiopia",Sub-Saharan Africa,"During the war with Ethiopia in 1998, many water supply systems in the mountainous region of Debub and Gash Barka in Eritrea are destroyed.",International Committee of the Red Cross (ICRC) 2009
1998,Attack on water system in Algeria,Casualty,Algeria,Northern Africa,"A bomb placed by a group suspected to be affiliated with an extremist Islamic insurgency detonates near the Sidi Khaled water tower, damaging a two-meter section of pipe.",A.B. 1998
1998,Major Puerto Rican aqueduct project is attacked,"Trigger, Casualty",Puerto Rico,Latin America and the Ca,"A group called the Boricua Popular Army (Macheteros) claimes responsibility for the bombing of a major aqueduct construction project in Puerto Rico, stating the attack is the initiation of an effort to defend Puerto Rico's natural resources from the government. The explosion causes significant damage to the project.",US Department of Justice 1998
1998-1999,Wells contaminated during Kosovo war,Casualty,Kosovo,Southern Europe,Contamination of water supplies/wells by Serbs disposing of bodies of Kosovar Albanians in local wells. Other reports of Yugoslav federal forces poisoning wells with carcasses and hazardous materials.,Schwartz 1999
1998-2000,Water plants destroyed in Ethiopia-Eritrea war,Casualty,"Eritrea, Ethiopia",Sub-Saharan Africa,Water pumping plants and pipelines in the border town of Adi Kuala are destroyed during the civil war between Eritrea and Ethiopia.,International Committee of the Red Cross (ICRC) 2003
1998,Militant attacks on water supplies leave one dead and many villages without water,Casualty,Georgia,Western Asia,"Over the course of a few days, militant groups in the Abkhazia region of Georgia attack and damage numerous water supply structures, leaving at least twelve villages without water. In addition, one person who is thought to be responsible for the placement of an explosive device on a water tower is killed when the device detonates.",RAND Database of Worldwide Terrorism Incidents 2018
1998,"Oil pipeline dynamited, contaminating drinking water source for 200 families",Casualty,Colombia,Latin America and the Caribbean,"The Ca?o Lim?n?Cove?as oil pipeline owned by Colombia Petroleum Enterprise is dynamited, causing oil to spill into the La Gritane stream, which supplies drinking water to approximately 200 families in rural Colombia .",RAND Database of Worldwide Terrorism Incidents 2018
1998,A water tower is bombed,Casualty,Algeria,Northern Africa,"The Sidi Khaled water tower, which overlooks Tiaret, Algeria, is bombed. Four other similar attacks are cited in Hassi R'mel, Ouled, Tolba, and Arzew.",RAND Database of Worldwide Terrorism Incidents 2018
1998,Attacks on water supplies during the Kosovo War leave tens of thousands without water,Casualty,Albania,Southern Europe,"During the Kosovo War (February 1998-June 1999), several attacks over the course of two days leave tens of thousands of Albanians without water. The first attack on February 21, 1998 destroys a main waterline for the town of Kuk?s, Albania and 15 other villages. The second attack happens on February 22, 18 km away at Kolesjan village.",RAND Database of Worldwide Terrorism Incidents 2018
1998,Water line attack leaves 11 communities without water,Casualty,Israel,Western Asia,Eleven communities in the Negev area of Israel are left without water after a main water line is attacked by an unknown group.,RAND Database of Worldwide Terrorism Incidents 2018
1998,Water pipeline connecting a marshland with an oil facility attacked,Casualty,Colombia,Latin America and the Caribbean,A water pipeline that delivers water from San Silvestre marshland to the Ecopetrol Industrial Complex is attacked. The Revolutionary Armed Forces of Colombia (FARC) is presumed responsible.,RAND Database of Worldwide Terrorism Incidents 2018
1998,Pipeline destroyed in attempt to pressure government to build water and power systems,Trigger,Yemen,Western Asia,"Yemeni tribesmen, thought to be from the Jahm tribe, attack and destroy a pipeline in the Marib province in order to pressure the national government to build water distribution systems and power plants in their region.",RAND Database of Worldwide Terrorism Incidents 2018
1998,"Water supply to Kukes, Albania and surrounding villages is shut off after an unnamed chemical agent is discovered",Weapon,Albania,Southern Europe,"A chemical agent is discovered in the main waterline supplying the city of Kukes, Albania. The water supply is shut-off, impacting Kukes and the surrounding villages.",Mohtadi and Murshid 2006
1998,Clashes between rival tribes over water,Trigger,Sudan,Northern Africa,"Clashes between rival tribes (Rezaigat and Massalit) over water and grazing rights leave more than 100 people dead and about 45 villages gutted in West Darfur, Sudan.",Raleigh et al N.D. I.D. 5328198
1998,Four people are hospitalized after drinking poisoned water,Weapon,Guinea,Sub-Saharan Africa,"Four people are hospitalised after drinking water that is poisoned with acid and sold in plastic containers at the 28 September Stadium in Guinea, where the President held a final campaign rally.",Raleigh et al N.D. I.D. 5270449
1999,Zambia water cut off,Casualty,Zambia,Sub-Saharan Africa,"Bomb blast destroyed the main water pipeline, cutting off water for the city of Lusaka, population 3 million.",Financial Times Global Water Report (FTGWR) 1999
1999,NATO targets dam in Kosovo,Casualty,Yugoslavia,Southern Europe,Belgrade reports that NATO planes had targeted a hydroelectric plant during the Kosovo campaign.,Sadler and Clancy 1999
1999,Injuries at protest in Bangladesh,Trigger,Bangladesh,Southern Asia,Fifty people are hurt during strikes called to protest power and water shortages. Protests are led by former Prime Minister Begum Khaleda Zia over decrease in public services and deterioration of law and order.,Ahmed 1999
1999,NATO strikes water facilities in Yugoslavia,Casualty,Yugoslavia,Southern Europe,"NATO targets utilities and shuts down water supplies in Belgrade. NATO bombs bridges on Danube, disrupting navigation.",Reuters 1999a
1999,Yugoslavia refuses to clear river debris,Weapon,Yugoslavia,Southern Europe,Yugoslavia refuses to clear war debris on Danube (downed bridges) unless financial aid for reconstruction is provided; European countries on Danube fear flooding due to winter ice dams will result. Diplomats decry environmental blackmail.,Simons 1999
1999,Serbs cut off water to Pristina,Casualty,Kosovo,Southern Europe,Serbian engineers shut down water system in Pristina prior to occupation by NATO.,Reuters 1999b
1999,Bomb plot at South Africa reservoir,"Weapon, Casualty",South Africa,Sub-Saharan Africa,A home-made bomb is discovered at a water reservoir at Wallmansthal near Pretoria. It is thought to have been meant to sabotage water supplies to farmers.,Pretoria Dispatch Online 1999
1999,100 bodies found in Angolan wells,Casualty,Angola,Sub-Saharan Africa,One hundred bodies are found in four drinking water wells in central Angola.,International Herald Tribune 1999
1999,Puerto Ricans protest US Navy's water use,"Trigger, Casualty","Puerto Rico, United States",North America,"Protesters blocked water intake to Roosevelt Roads Navy Base in opposition to US military presence and Navy's use of the Blanco River, following chronic water shortages in neighboring towns.","New York Times, The 1999"
1999,Chinese farmers fight over water,Trigger,China,Eastern Asia,"Around the Chinese New Year, farmers from Hebei and Henan Provinces fight over limited water resources. Heavy weapons, including mortars and bombs, are used and nearly 100 villagers are injured. Houses and facilities are damaged and the total loss reaches one million $US.",China Water Resources Daily 2002
1999,Indonesian militia dump bodies in wells in East Timor,Casualty,"East Timor, Indonesia",Southeast Asia,Militia opposing East Timor independence kills pro-independence supporters and throws bodies in water well.,British Broadcasting Corporation (BBC) 1999
1999,Villagers killed in Yemen water clash,Trigger,Yemen,Western Asia,"Yemen sends 700 soldiers to quell fighting that claims six lives and injured 60 others in clashes that erupt between two villages fighting over a local spring near Taiz. The village of Al-Marzuh believes it is entitled to exclusive use of a spring because it is located on their land; the neighboring village of Quradah believes their right to the water was affirmed in a 50-year-old court verdict. The dispute erupts in violence. President Ali Abdullah Saleh intervenes by summoning the sheikhs of the two villages to the capital, and sorts out the problem by dividing the water into halves.",Al-Qadhi 2003
1999,"Water riots in Gujarat, India",Trigger,India,Southern Asia,"Three people die and 20 are injured in December 1999 in Falla, Gujarat when the police open fire on 300 people protesting against the state government's decision to reserve water from the nearby Kankavati Dam for Jamnagar a neighboring town. The dam had become the only source of water for about 60 villages near Falla, and shortages and overdraft of groundwater contribute to a water crisis.",Financial Times Global Water Report (FTGWR) 2000
1999,Tajikistan releases water from Kairakum reservoir,Weapon,"Tajikistan, Kazakhstan, Kyrgyzstan",Central Asia,"In summer 1999, Tajikistan releases 700 million cubic meters of water from the Kairakum reservoir without warning its downstream neighbors. Among other effects, this cuts water to cotton crops in southern Kazakhstan, causing significant losses to farmers. At the same time, Kyrgyzstan cuts flows to southern Kazakhstan in retaliation for Kazakhstan's failure to supply coal under barter agreements.",Hogan 2000b
1999,"Petrochemical and fertiizer factors attacked by NATO, leading to contamination of the Danube River",Casualty,Yugoslavia,Southern Europe,"NATO attacks petrochemical and fertilizer factories in Pancevo, Serbia, claiming they are ""dual use,"" producing chemicals and parts for both military and civilian uses. The attack leads to the extensive release of ammonia, ethylene dichloride, and other chemicals into the Danube River and contaminates the city's water supply.",Schmetzer 1999
1999,Water pipeline in Zambia is bombed.,Casualty,Zambia,Sub-Saharan Africa,"A water pipeline is bombed along the Great North Road in Lusaka, Zambia. No group claims responsibility for the attack, however the National Union for the Total Independence of Angola is suspected of placing the bomb. This attack coincides with four other area bombings on the same day.",Agence France-Presse (AFP) 1999
1999,Water supply pipeline is attacked in France,Casualty,France,Western Europe,Explosives are placed along a water supply pipeline by the Comit? R?gional d'Action Viticole in France. No injuries to people are reported.,France-Inter Radio Network 1999
1999,Water tanker in Istanbul is attacked.,Casualty,Turkey,Western Asia,"A water tank is damaged from a petrol bomb thrown by unknown assailants in Istanbul, Turkey.",Anatolia 1999
1999-2000,African nations fight over Zambezi island,Trigger,"Namibia, Botswana, Zambia",Sub-Saharan Africa,"Namibia and Botswana engage in a territorial dispute over Sedudu Island, or Kasikili Island, in the Zambezi River, or Chobe River, related to the location of the border and access to water. The International Court of Justice rules in favor of Botswana in 1999.",International Court of Justice 1999
1999,"Bombs damage water, power, and Angolan Embassy in Lusaka",Casualty,Zambia,Sub-Saharan Africa,"Sixteen bombs are reported to have exploded throughout the city of Lusaka, Zambia, with damage targeted at water pipes, power lines, and the Angolan Embassy. At least one person is killed and two are injured. Many people are without water and power for many days after the explosions. No one claims responsibility for the bombs, however, it is speculated that the attackers were seeking to discredit the Zambian government by causing chaos.",RAND Database of Worldwide Terrorism Incidents 2018
1999,"Multiple attacks on utilities, including water, in one day",Casualty,France,Western Europe,"Reports find at least three attacks on utilities in the H?rault area, including one that damaged a water supply pipeline.",RAND Database of Worldwide Terrorism Incidents 2018
1999,"Bomb explodes on an island, cutting off water supply",Casualty,France,Western Europe,"A bomb explodes on the island of Cavallo, off the coast of Corsica, causing a disruption to the local water supply. The attack was likely by the National Liberation Front of Corsica (FLNC) which seeks independence from France.",RAND Database of Worldwide Terrorism Incidents 2018
1999,NATO targets water plants,Casualty,Yugoslavia,Eastern Europe,"Water processing plants are targeted, among other structures, in an air attack on Yugoslavia during the Kosovo War.",Wikipedia 2018
1999,Bomb thrown at a municipal water tank causes significant damage,Casualty,Turkey,Western Asia,A bomb thrown at a municipal water tank in Istanbul causes significant damage in the surrounding area.,RAND Database of Worldwide Terrorism Incidents 2018
1999,Water cooler spiked with chemical agent sickens seven law students,Weapon,United States,North America,"A water cooler spiked with potassium cyanide sickens 7 law school students in Springfield, Massachusetts. Swastika-like graffiti around the water cooler draws speculation about the attacker.",Mohtadi and Murshid 2006
