,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
DSPG,2.58,-,68.82,-,0.00,-0.24,-,-3.60%,-1.90%,-496.90%,4.50%
DSWL,0.59,-,-,-,0.00,-0.07,6.06%,-1.30%,1.30%,-44.40%,16.30%
DTEA,-,-,-,-,-,-1.75,-,-,-22.20%,117.70%,45.91%
DTIL,9.52,-,-,-,0.00,-2.95,-,-105.70%,-,-21.30%,0.30%
DTSS,15.60,-,-,-,0.00,-0.10,-,-,-49.00%,-45.20%,71.62%
DUO,2.35,-,6.30,-,0.29,-2.97,-,-95.70%,-26.80%,-75.90%,2.73%
DUOT,30.67,-,-,-,3.40,-1.69,-,-383.50%,-,-21.90%,0.70%
DUSA,-,-,-,-,-,-,1.14%,-,-,-,-
DVAX,8.33,-,-,-,2.59,-1.08,-,-261.40%,-72.10%,108.00%,0.10%
DVLU,-,-,-,-,-,-,1.76%,-,-,-,-
DVOL,-,-,-,-,-,-,1.47%,-,-,-,-
DVY,-,-,-,-,-,-,4.31%,-,-,-,-
DWAS,-,-,-,-,-,-,0.33%,-,-,-,-
DWAT,,,,,,,,,,,
DWAW,-,-,-,-,-,-,-,-,-,-,-
DWCR,,,,,,,,,,,
DWEQ,-,-,-,-,-,-,-,-,-,-,-
DWFI,-,-,-,-,-,-,2.89%,-,-,-,-
DWLD,-,-,-,-,-,-,2.18%,-,-,-,-
DWMC,-,-,-,-,-,-,0.08%,-,-,-,-
DWPP,-,-,-,-,-,-,0.98%,-,-,-,-
DWSH,-,-,-,-,-,-,0.17%,-,-,-,-
DWSN,0.50,-,-,-,0.00,-0.48,-,-10.90%,-14.90%,-491.00%,1.00%
DWUS,-,-,-,-,-,-,-,-,-,-,-
DXCM,21.29,137.91,99.08,5.13,0.00,2.42,-,19.80%,7.10%,46.60%,0.70%
DXGE,-,-,-,-,-,-,2.86%,-,-,-,-
DXJS,-,-,-,-,-,-,3.06%,-,-,-,-
DXLG,18.07,-,-,-,75.36,-1.12,-,-270.40%,-4.00%,5.10%,5.00%
DXPE,1.25,-,175.00,-,0.66,-1.41,-,-7.20%,9.50%,-374.80%,0.30%
DXYN,0.58,2.31,-,-,1.17,1.05,-,25.00%,13.60%,136.20%,11.66%
DYAI,5.52,-,-,-,0.00,-0.33,-,-27.50%,-25.90%,-45.60%,30.05%
DYN,2.44,-,-,-,0.03,-,-,-,-,-,20.50%
DYNT,0.99,-,-,-,0.59,-0.41,-,-43.80%,-16.00%,-411.60%,18.80%
DZSI,2.79,-,86.93,-,0.51,-0.90,-,-19.10%,-7.40%,97.20%,0.20%
EA,4.64,28.85,21.77,2.09,0.12,4.49,0.52%,17.20%,35.20%,-78.10%,0.20%
EAR,-,-,-,-,-,-,-,-,30.70%,100.00%,3.30%
EARS,3.24,-,-,-,0.00,-1.33,-,-,-,79.60%,8.04%
EAST,17.44,-,-,-,13.00,-1.51,-,-399.00%,-87.40%,53.40%,4.50%
EBAY,12.23,16.28,13.87,0.90,2.66,3.15,1.25%,304.80%,17.40%,249.60%,3.60%
EBAYL,,,,,,,,,,,
EBC,-,-,24.27,-,0.00,-,-,-,22.80%,-18.70%,0.70%
EBIX,1.79,11.10,7.97,1.11,1.23,3.08,0.88%,17.20%,12.00%,19.50%,13.10%
EBIZ,-,-,-,-,-,-,0.13%,-,-,-,-
EBMT,0.97,7.78,8.78,0.78,0.20,2.71,1.85%,13.50%,22.60%,46.60%,4.70%
EBON,-,-,-,-,-,-,-,-,-,-,11.69%
EBSB,0.95,11.25,11.57,0.94,0.00,1.26,2.25%,8.70%,21.20%,-13.30%,10.30%
EBTC,0.93,9.95,-,-,0.23,2.55,2.76%,9.80%,33.50%,13.90%,2.00%
ECHO,1.93,122.47,16.96,16.82,0.37,0.24,-,1.60%,5.10%,40.90%,2.00%
ECOL,1.54,-,34.11,-,1.24,-9.46,-,-39.50%,3.10%,-65.70%,0.20%
ECOLW,,,,,,,,,,,
ECOR,2.50,-,-,-,0.07,-0.79,-,-113.50%,-189.00%,72.00%,29.80%
ECOW,-,-,-,-,-,-,11.43%,-,-,-,-
ECPG,1.02,5.27,3.96,0.41,2.89,6.88,-,21.30%,9.10%,39.90%,1.30%
EDAP,3.90,-,39.80,-,0.11,-0.14,-,-13.30%,4.60%,-230.00%,6.00%
EDIT,4.45,-,-,-,0.00,-1.72,-,-26.70%,-53.70%,118.90%,0.10%
EDOC,-,-,-,-,-,-,-,-,-,-,-
EDRY,0.35,-,3.30,-,1.47,-2.52,-,-15.10%,3.10%,116.20%,49.50%
EDSA,7.73,-,-,-,0.00,-0.62,-,-97.50%,-,33.50%,5.90%
EDTK,-,3.86,-,-,0.00,0.80,-,-,35.50%,17.00%,41.25%
EDUC,3.82,14.18,-,-,0.32,1.13,2.50%,30.30%,10.20%,320.50%,0.30%
EDUT,-,-,-,-,-,-,-,-,-,-,-
EEFT,5.50,6542.86,24.52,436.19,1.54,0.02,-,2.40%,9.50%,-69.20%,2.90%
EEMA,-,-,-,-,-,-,1.65%,-,-,-,-
EFAS,-,-,-,-,-,-,6.15%,-,-,-,-
EFOI,7.45,-,-,-,1.43,-2.41,-,-214.20%,-94.10%,7.90%,1.00%
EFSC,1.04,12.40,12.16,1.38,0.23,2.82,2.06%,8.60%,20.70%,-36.70%,1.20%
EGAN,9.28,45.28,69.02,4.53,0.00,0.25,-,24.20%,19.20%,64.70%,3.10%
EGBN,1.03,9.88,10.62,3.80,0.22,3.94,2.26%,10.80%,18.30%,20.30%,0.10%
EGLE,0.43,-,14.40,-,1.11,-4.52,-,-10.00%,0.80%,-142.50%,1.50%
EGOV,5.58,25.97,23.27,2.60,0.00,0.90,1.55%,23.30%,19.50%,72.80%,0.20%
EGRX,3.65,131.81,17.31,48.82,0.20,0.35,-,2.80%,6.50%,392.80%,0.10%
EH,16.35,-,21.02,-,0.14,-0.21,-,-94.60%,-13.50%,53.90%,1.25%
EHTH,2.59,30.87,13.99,1.38,0.00,2.45,-,10.30%,12.30%,-16.70%,4.60%
EIDX,28.03,-,-,-,0.14,-2.65,-,-65.20%,-21.60%,-527.70%,1.00%
EIGI,6.01,73.75,2360.00,4.84,7.44,0.13,-,9.10%,7.00%,-15.10%,2.70%
EIGR,2.90,-,-,-,0.33,-2.44,-,-100.60%,-,31.10%,0.20%
EKSO,5.56,-,-,-,0.37,-2.55,-,-285.70%,-176.00%,609.90%,0.60%
ELOX,7.64,-,-,-,0.84,-1.00,-,-163.90%,-,48.90%,11.16%
ELSE,1.12,-,-,-,0.00,-0.01,-,-0.20%,-0.20%,-342.40%,34.32%
ELTK,2.58,9.60,-,-,0.19,0.51,-,30.80%,14.90%,52.90%,25.30%
ELYS,2.39,-,-,-,0.06,-0.62,-,-65.80%,-26.80%,-11.20%,38.10%
EMB,-,-,-,-,-,-,4.17%,-,-,-,-
EMCB,-,-,-,-,-,-,4.06%,-,-,-,-
EMCF,0.76,11.61,-,-,0.00,2.08,4.98%,6.80%,30.90%,-17.30%,4.20%
EMIF,-,-,-,-,-,-,2.67%,-,-,-,-
EMKR,1.76,-,36.25,-,0.09,-0.79,-,-30.40%,-44.00%,88.30%,1.20%
EML,1.25,14.90,-,-,0.93,1.43,2.07%,8.50%,7.00%,-28.70%,3.60%
EMXC,-,-,-,-,-,-,3.61%,-,-,-,-
EMXF,,,,,,,,,,,
ENDP,-,-,2.44,-,-,-0.47,-,19.90%,2.70%,-64.00%,1.30%
ENG,3.13,56.21,-,-,0.48,0.03,-,5.40%,-10.40%,-54.50%,4.00%
ENLV,3.91,-,-,-,0.00,-0.83,-,-,-,-,33.52%
ENOB,0.83,-,-,-,0.04,-0.21,-,-5.80%,-,41.80%,22.60%
ENPH,38.77,100.26,68.96,2.74,0.87,1.28,-,51.70%,46.00%,19.20%,1.00%
ENSG,4.89,29.37,20.05,1.96,0.15,2.39,0.29%,21.60%,10.70%,96.70%,1.30%
ENTA,1.85,-,-,-,0.00,-1.83,-,-7.60%,-9.40%,-432.10%,5.50%
ENTG,9.66,47.77,33.02,2.37,0.83,1.95,0.34%,21.80%,14.20%,94.90%,0.80%
ENTX,3.71,-,-,-,0.04,-0.68,-,-128.00%,-93.90%,64.40%,41.20%
ENTXW,,,,,,,,,,,
ENZL,-,-,-,-,-,-,2.56%,-,-,-,-
EOLS,3.59,-,-,-,3.79,-2.02,-,-121.10%,-49.10%,65.40%,0.50%
EOSE,1.77,-,-,-,0.00,-,-,-,-,-,2.16%
EOSEW,,,,,,,,,,,
EPAY,4.69,-,31.79,-,0.43,-0.18,-,-1.90%,-0.90%,127.70%,2.40%
EPIX,3.59,-,-,-,0.00,-0.98,-,-46.20%,-,54.20%,3.50%
EPSN,1.19,60.55,10.41,-,0.00,0.06,-,2.00%,5.80%,-123.00%,0.50%
EPZM,6.53,-,-,-,0.00,-2.24,-,-83.50%,-53.70%,-39.40%,0.60%
EQ,1.38,-,-,-,0.13,-1.56,-,-60.80%,-,10.80%,4.50%
EQBK,0.76,-,11.72,-,0.22,-5.18,-,-16.90%,20.00%,-,0.40%
EQIX,5.81,135.60,82.30,5.90,1.17,5.09,1.54%,4.60%,4.50%,-47.30%,0.30%
EQOS,1.22,-,-,-,0.03,-0.11,-,-1.50%,-,-75.00%,77.03%
EQOSW,,,,,,,,,,,
EQRR,-,-,-,-,-,-,2.80%,-,-,-,-
ERES,,,,,,,,,,,
ERESU,-,-,-,-,-,-,-,-,-,-,0.01%
ERESW,,,,,,,,,,,
ERIC,4.20,24.07,16.80,0.83,0.56,0.51,1.31%,17.80%,2.80%,185.50%,0.90%
ERIE,9.27,44.53,37.29,4.45,0.08,4.97,1.75%,24.70%,22.50%,-5.20%,0.80%
ERII,3.77,27.98,71.48,1.40,0.00,0.40,-,15.00%,6.60%,4.50%,1.90%
ERYP,0.91,-,-,-,-,-2.79,-,-,-,-,-
ESBK,0.83,10.87,-,-,1.14,1.09,5.07%,7.30%,19.20%,26.30%,0.80%
ESCA,2.03,12.30,15.34,0.82,0.00,1.65,2.77%,17.80%,6.00%,306.70%,10.80%
ESEA,0.78,13.10,8.30,2.62,2.33,0.34,-,15.60%,1.40%,106.00%,34.80%
ESGD,-,-,-,-,-,-,1.94%,-,-,-,-
ESGE,-,-,-,-,-,-,2.46%,-,-,-,-
ESGR,0.73,3.92,12.19,0.39,0.25,49.74,-,22.10%,15.40%,454.80%,0.20%
ESGRO,,,,,,,,,,,
ESGRP,,,,,,,,,,,
ESGU,-,-,-,-,-,-,1.49%,-,-,-,-
ESLT,2.41,24.44,18.94,2.24,0.39,5.00,1.44%,10.10%,10.00%,-76.50%,45.70%
ESPO,-,-,-,-,-,-,0.14%,-,-,-,-
ESPR,92.87,-,-,-,0.00,-3.86,-,-629.90%,-467.80%,-22.00%,0.40%
ESQ,1.13,11.34,8.30,-,0.00,1.64,-,10.80%,24.50%,-2.80%,0.80%
ESSA,0.82,11.32,103.40,-,0.00,1.37,2.84%,7.40%,22.40%,27.70%,5.00%
ESSC,,,,,,,,,,,
ESSCR,,,,,,,,,,,
ESSCU,,,,,,,,,,,
ESSCW,,,,,,,,,,,
ESTA,8.19,-,-,-,0.62,-1.69,-,-52.20%,-35.90%,71.00%,1.70%
ESXB,0.69,9.59,12.50,-,0.03,0.69,3.62%,8.70%,28.90%,58.20%,2.20%
ETAC,-,-,-,-,-,-,-,-,-,-,-
ETACU,-,-,-,-,-,-,-,-,-,-,-
ETACW,,,,,,,,,,,
ETNB,2.08,-,-,-,0.00,-3.88,-,-49.60%,-,44.30%,0.60%
ETON,115.14,-,-,-,5.00,-1.18,-,-310.60%,-123.20%,-11.20%,28.03%
ETSY,28.27,90.63,71.62,1.59,1.67,1.71,-,46.30%,8.00%,469.00%,0.60%
ETTX,0.86,-,-,-,0.00,-3.36,-,-118.70%,-112.80%,-40.00%,52.60%
EUCRU,,,,,,,,,,,
EUFN,-,-,-,-,-,-,2.60%,-,-,-,-
EVBG,18.14,-,1975.69,-,0.00,-2.39,-,-35.10%,-7.50%,-80.80%,0.60%
EVER,15.04,-,-,-,0.00,-0.31,-,-14.20%,-,-,16.10%
EVFM,4.38,-,-,-,1.20,-1.93,-,-365.00%,-,-23.40%,1.50%
EVGBC,,,,,,,,,,,
EVGN,2.37,-,-,-,-,-0.82,-,-,-,-,18.12%
EVK,0.26,-,-,-,0.40,-0.22,-,-2.80%,-0.70%,305.90%,0.30%
EVLMC,,,,,,,,,,,
EVLO,4.61,-,-,-,0.59,-2.51,-,-159.20%,-,32.80%,0.51%
EVOK,-,-,127.20,-,-,-0.49,-,-983.40%,-,-20.70%,2.60%
EVOL,2.32,-,-,-,0.08,-0.11,-,-15.10%,-83.30%,162.20%,28.65%
EVOP,-,-,31.06,-,-,-0.26,-,2.20%,8.10%,253.30%,0.40%
EVSTC,,,,,,,,,,,
EWBC,1.30,11.13,11.91,1.39,0.32,4.11,2.41%,13.20%,23.20%,-32.00%,0.10%
EWEB,,,,,,,,,,,
EWJE,-,-,-,-,-,-,2.73%,-,-,-,-
EWJV,-,-,-,-,-,-,4.19%,-,-,-,-
EWZS,-,-,-,-,-,-,1.81%,-,-,-,-
EXAS,8.00,-,-,-,0.68,-2.20,-,-13.80%,-1.90%,-368.20%,0.70%
EXC,1.23,17.09,14.03,-,1.19,2.43,3.68%,7.30%,5.10%,-35.30%,0.10%
EXEL,3.23,40.35,46.58,0.88,0.00,0.48,-,8.50%,17.30%,-133.60%,0.90%
EXFO,0.96,-,9.25,-,0.28,-0.17,-,-5.70%,-3.20%,-,61.80%
EXLS,4.08,37.20,22.48,3.78,0.32,2.27,-,11.60%,6.80%,39.40%,0.90%
EXPC,,,,,,,,,,,
EXPCU,,,,,,,,,,,
EXPCW,,,,,,,,,,,
EXPD,5.96,23.88,22.06,2.81,0.00,3.71,1.17%,28.60%,25.60%,21.30%,0.20%
EXPE,11.07,-,207.58,-,5.41,-15.62,-,-91.60%,7.90%,-157.60%,0.50%
EXPI,33.52,164.04,71.24,16.40,0.04,0.33,-,32.60%,-17.00%,777.00%,55.90%
EXPO,12.49,54.87,49.50,3.66,0.00,1.49,0.93%,23.70%,18.10%,-6.50%,1.00%
EXTR,73.50,-,11.24,-,39.09,-0.82,-,-474.00%,-25.30%,76.90%,1.60%
EYE,3.98,1015.36,48.35,83.91,0.75,0.04,-,0.60%,4.90%,2860.50%,0.40%
EYEG,2.89,-,-,-,0.00,-1.97,-,-112.80%,-109.20%,61.60%,3.00%
EYEN,4.23,-,-,-,0.03,-1.10,-,-163.10%,-,19.70%,26.20%
EYES,71.00,-,-,-,0.00,-1.29,-,-,-465.10%,85.80%,43.09%
EYESW,,,,,,,,,,,
EYPT,8.83,-,-,-,6.70,-0.34,-,-441.00%,-,79.70%,0.70%
EZPW,0.43,-,12.80,-,0.36,-0.82,-,-6.40%,2.50%,-263.90%,0.30%
FAAR,-,-,-,-,-,-,1.03%,-,-,-,-
FAB,-,-,-,-,-,-,2.01%,-,-,-,-
FAD,-,-,-,-,-,-,0.51%,-,-,-,-
FALN,-,-,-,-,-,-,5.43%,-,-,-,-
FAMI,0.53,-,-,-,0.15,-0.02,-,-0.90%,11.60%,-103.60%,54.17%
FANG,0.67,-,10.30,-,0.61,-28.07,3.70%,-36.80%,3.20%,-411.90%,0.10%
FANH,2.69,-,13.18,-,0.00,-0.01,7.03%,-0.20%,16.90%,-55.10%,0.20%
FARM,0.75,-,-,-,0.00,-2.80,-,-,-15.80%,-243.10%,2.00%
FARO,3.86,-,52.26,-,0.00,-4.36,-,-24.10%,-18.00%,52.40%,0.60%
FAST,9.46,32.52,30.96,4.39,0.14,1.46,2.10%,30.60%,26.70%,3.40%,0.32%
FAT,-,-,30.60,-,-,-0.68,-,-768.40%,8.80%,-148.90%,1.40%
FATBP,,,,,,,,,,,
FATBW,,,,,,,,,,,
FATE,12.40,-,-,-,0.00,-1.85,-,-43.60%,-41.10%,-69.90%,0.90%
FB,6.96,34.09,27.60,2.05,0.00,8.43,-,23.30%,17.40%,28.10%,0.63%
FBIO,2.19,-,-,-,0.59,-0.85,-,-102.70%,-79.70%,9.00%,0.20%
FBIOP,,,,,,,,,,,
FBIZ,0.81,10.05,8.79,1.26,0.17,1.93,3.40%,8.20%,29.10%,-15.00%,3.30%
FBMS,0.97,11.96,11.39,-,0.23,2.43,1.65%,8.30%,16.90%,-22.00%,0.60%
FBNC,1.06,12.08,13.37,4.47,0.07,2.69,2.22%,8.70%,16.40%,-4.80%,2.20%
FBRX,21.55,-,-,-,0.00,-17.25,-,-361.20%,-,96.10%,18.00%
FBSS,0.91,10.79,-,-,0.06,1.61,2.89%,8.70%,32.70%,-24.80%,21.12%
FBZ,-,-,-,-,-,-,16.06%,-,-,-,-
FCA,-,-,-,-,-,-,4.78%,-,-,-,-
FCAC,,,,,,,,,,,
FCACU,-,-,-,-,-,-,-,-,-,-,-
FCACW,,,,,,,,,,,
FCAL,-,-,-,-,-,-,2.18%,-,-,-,-
FCAP,1.96,21.91,-,-,0.00,2.89,1.52%,9.30%,27.00%,-5.90%,0.80%
FCBC,0.93,11.12,11.89,2.22,0.00,1.98,4.55%,8.10%,17.50%,-20.20%,1.30%
FCBP,0.71,8.11,7.03,-,0.00,2.06,6.00%,9.00%,23.40%,-2.00%,7.30%
FCCO,0.96,13.74,14.53,-,0.11,1.25,2.79%,7.40%,25.00%,-8.70%,1.10%
FCCY,0.92,10.84,11.72,1.35,0.10,1.51,2.20%,8.70%,21.60%,15.10%,3.50%
FCEF,-,-,-,-,-,-,5.96%,-,-,-,-
FCEL,16.45,-,-,-,2.11,-1.43,-,-152.20%,-32.70%,59.90%,4.15%
FCFS,2.24,22.19,19.97,-,0.43,3.04,1.60%,10.20%,10.00%,-55.00%,2.76%
FCNCA,1.48,12.81,-,-,0.16,43.76,0.34%,12.00%,29.40%,24.40%,14.80%
FCNCP,-,-,-,-,-,-,5.09%,-,-,14.30%,-
FCRD,-,-,9.85,-,-,-,12.94%,-,-,4803.20%,7.07%
FCVT,-,-,-,-,-,-,1.33%,-,-,-,-
FDBC,,,,,,,,,,,
FDIV,-,-,-,-,-,-,4.20%,-,-,-,-
FDNI,-,-,-,-,-,-,0.76%,-,-,-,-
FDT,-,-,-,-,-,-,2.26%,-,-,-,-
FDTS,-,-,-,-,-,-,2.63%,-,-,-,-
FDUS,0.89,15.92,9.75,5.31,-,0.89,8.49%,-,-,49.00%,1.42%
FDUSG,,,,,,,,,,,
FDUSL,,,,,,,,,,,
FDUSZ,,,,,,,,,,,
FEIM,1.69,-,-,-,0.06,-1.07,-,-17.30%,-15.50%,56.30%,0.60%
FELE,3.89,34.32,28.18,2.56,0.12,1.99,0.91%,11.80%,11.70%,13.20%,0.70%
FEM,-,-,-,-,-,-,3.66%,-,-,-,-
FEMB,-,-,-,-,-,-,5.89%,-,-,-,-
FEMS,-,-,-,-,-,-,4.77%,-,-,-,-
FENC,6.34,-,5.65,-,0.00,-0.82,-,-84.30%,-,-166.40%,1.40%
FEP,-,-,-,-,-,-,2.02%,-,-,-,-
FEUZ,-,-,-,-,-,-,1.60%,-,-,-,-
FEX,-,-,-,-,-,-,1.40%,-,-,-,-
FEYE,5.16,-,43.74,-,1.43,-1.00,-,-32.50%,-12.60%,43.60%,2.30%
FFBC,0.72,10.55,11.97,1.06,0.54,1.59,5.50%,7.00%,16.90%,-17.60%,0.70%
FFBW,0.69,39.48,-,-,0.00,0.25,-,1.90%,12.50%,36.90%,1.00%
FFHL,0.49,2.38,-,0.34,0.28,2.37,-,22.30%,6.60%,291.60%,65.50%
FFIC,0.73,9.69,7.82,1.11,0.19,1.53,5.67%,7.70%,21.10%,33.00%,1.00%
FFIN,3.03,26.42,24.63,2.64,0.00,1.31,1.50%,12.40%,20.60%,17.40%,1.10%
FFIV,4.50,32.75,14.44,8.21,0.17,5.02,-,14.80%,11.60%,-19.80%,0.30%
FFNW,0.69,12.76,16.03,1.82,0.00,0.86,3.64%,5.50%,23.40%,-14.20%,1.80%
FFWM,1.22,10.77,10.33,1.54,0.01,1.72,1.51%,12.10%,23.10%,78.50%,0.30%
FGBI,0.90,9.10,13.75,-,0.32,1.87,3.75%,10.40%,23.20%,34.00%,21.40%
FGEN,8.42,-,-,-,0.13,-2.62,-,-50.20%,-15.30%,162.00%,1.80%
FGM,-,-,-,-,-,-,1.07%,-,-,-,-
FHB,1.09,15.56,15.68,19.45,0.00,1.47,4.54%,7.10%,17.50%,-10.40%,0.10%
FHTX,-,-,-,-,-,-5.34,-,-,-,-,12.50%
FIBK,1.28,15.35,15.26,1.92,0.10,2.59,3.82%,8.40%,20.20%,0.20%,0.50%
FID,-,-,-,-,-,-,4.92%,-,-,-,-
FIII,1.41,-,-,-,0.00,-,-,-,-,-,-
FIIIU,-,-,-,-,-,-,-,-,-,-,2.39%
FIIIW,,,,,,,,,,,
FINX,-,-,-,-,-,-,-,-,-,-,-
FISI,0.76,9.28,8.37,1.16,0.09,2.25,4.98%,8.40%,24.20%,-4.50%,1.10%
FISV,2.44,87.91,21.41,5.18,0.67,1.31,-,2.80%,2.50%,17.00%,0.50%
FITB,0.91,13.27,11.91,-,0.73,2.00,4.06%,7.10%,10.60%,9.00%,0.10%
FITBI,,,,,,,,,,,
FITBO,,,,,,,,,,,
FITBP,,,,,,,,,,,
FIVE,12.02,88.08,40.81,5.97,0.00,1.77,-,14.10%,22.50%,3.20%,1.80%
FIVN,38.65,-,185.63,-,2.47,-0.54,-,-14.80%,0.80%,-561.70%,0.80%
FIXD,-,-,-,-,-,-,1.98%,-,-,-,-
FIXX,2.60,-,-,-,0.00,-2.74,-,-57.90%,-42.50%,7.50%,16.45%
FIZZ,8.71,30.75,27.10,1.20,0.00,3.12,-,32.50%,27.60%,48.50%,0.10%
FJP,-,-,-,-,-,-,2.51%,-,-,-,-
FKU,-,-,-,-,-,-,3.22%,-,-,-,-
FLDM,2.89,-,-,-,0.36,-0.68,-,-32.90%,-29.90%,55.40%,0.60%
FLEX,2.70,26.22,12.04,2.10,1.22,0.64,-,11.00%,3.00%,198.30%,0.90%
FLGT,5.56,23.30,8.78,-,0.00,2.02,-,43.60%,-0.60%,3090.00%,6.10%
FLIC,1.05,10.57,10.84,1.51,0.69,1.66,4.33%,10.30%,23.60%,3.00%,0.80%
FLIR,2.90,38.01,17.15,5.94,0.44,1.05,1.70%,7.80%,8.00%,1.20%,0.60%
FLL,1.85,-,9.40,-,2.11,-0.28,-,-14.50%,3.70%,722.80%,6.40%
FLMN,0.86,23.88,8.86,121.82,0.31,0.10,11.11%,3.60%,19.40%,-80.20%,3.20%
FLMNW,,,,,,,,,,,
FLN,-,-,-,-,-,-,2.45%,-,-,-,-
FLNT,1.40,101.32,20.26,2.53,0.19,0.04,-,1.40%,2.00%,126.30%,19.00%
FLUX,20.40,-,-,-,1.33,-2.47,-,239.30%,-545.60%,44.10%,1.00%
FLWS,3.75,23.73,16.33,1.19,0.54,0.96,-,16.30%,12.50%,35.90%,27.00%
FLXN,-,-,-,-,-,-3.09,-,865.00%,-78.50%,50.20%,1.90%
FLXS,1.34,-,-,-,0.00,-4.08,0.67%,-17.20%,-15.70%,-57.90%,5.30%
FMAO,1.00,13.70,12.51,-,0.00,1.61,3.09%,7.50%,20.90%,3.00%,4.80%
FMB,-,-,-,-,-,-,2.27%,-,-,-,-
FMBH,0.92,11.88,12.37,1.32,0.03,2.61,2.65%,8.10%,19.10%,-1.20%,1.10%
FMBI,0.69,14.67,14.74,2.10,0.10,1.01,3.78%,4.60%,18.40%,-58.30%,0.60%
FMBIO,,,,,,,,,,,
FMBIP,,,,,,,,,,,
FMHI,-,-,-,-,-,-,3.25%,-,-,-,-
FMK,-,-,-,-,-,-,1.56%,-,-,-,-
FMNB,1.09,9.24,10.21,0.51,0.23,1.43,3.33%,12.60%,24.10%,16.80%,0.90%
FMTX,4.06,-,-,-,0.00,-1.07,-,-,-215.70%,-60.90%,6.50%
FNCB,0.87,9.59,-,-,0.07,0.68,3.39%,9.70%,23.00%,70.40%,14.80%
FNHC,0.37,-,7.96,-,0.49,-3.44,6.62%,-20.60%,3.40%,-518.90%,9.40%
FNK,-,-,-,-,-,-,2.14%,-,-,-,-
FNKO,1.47,-,18.41,-,0.91,-0.27,-,-4.10%,9.00%,9.00%,0.90%
FNLC,1.22,10.02,-,-,0.00,2.46,5.03%,12.40%,21.90%,12.40%,1.00%
FNWB,0.75,15.83,-,-,0.00,0.93,1.64%,5.00%,19.90%,56.50%,3.80%
FNX,-,-,-,-,-,-,1.37%,-,-,-,-
FNY,-,-,-,-,-,-,0.38%,-,-,-,-
FOCS,3.60,165.21,11.97,9.35,2.33,0.24,-,2.40%,2.80%,24.40%,0.02%
FOLD,18.73,-,-,-,1.21,-1.15,-,-75.70%,-55.10%,-1.80%,1.10%
FONR,1.02,19.20,-,-,0.02,1.01,-,5.50%,8.70%,-24.10%,3.16%
FORD,2.88,-,26.71,-,0.65,-0.37,-,-50.30%,-28.90%,-106.70%,2.50%
FORM,4.43,41.53,27.15,2.08,0.05,0.99,-,11.50%,5.40%,171.20%,0.50%
FORR,4.60,64.14,22.90,6.41,0.63,0.66,-,7.50%,-0.40%,-36.90%,1.10%
FORTY,2.74,27.11,-,-,1.48,2.93,1.29%,10.40%,10.90%,29.40%,68.90%
FOSL,1.32,-,-,-,0.57,-1.96,-,-22.80%,-7.10%,160.10%,8.70%
FOX,1.66,11.44,12.79,1.24,-,2.63,1.53%,-,-,121.60%,39.70%
FOXA,1.84,11.59,12.68,21.58,0.79,2.64,1.50%,13.00%,7.90%,-72.50%,0.10%
FOXF,5.47,44.83,26.22,2.99,0.57,2.01,-,15.00%,20.10%,19.70%,0.50%
FPA,-,-,-,-,-,-,2.61%,-,-,-,-
FPAY,-,-,3.93,-,-,-0.21,-,33.30%,23.30%,-138.20%,0.10%
FPRX,6.49,-,-,-,0.00,-2.68,-,-75.80%,-94.30%,27.80%,0.70%
FPXE,-,-,-,-,-,-,1.24%,-,-,-,-
FPXI,-,-,-,-,-,-,0.32%,-,-,-,-
FRAF,,,,,,,,,,,
FRAN,0.55,-,-,-,0.85,-20.50,-,-131.00%,-43.60%,-,5.66%
FRBA,0.78,10.09,8.45,-,0.13,0.92,1.29%,-,21.90%,424.70%,5.60%
FRBK,0.57,-,146.00,-,0.04,-0.03,-,-0.60%,29.70%,47.00%,1.40%
FREE,0.29,-,12.38,-,0.00,-0.07,-,-,-,-,11.70%
FREEW,,,,,,,,,,,
FREQ,4.53,-,-,-,0.00,-0.69,-,-12.60%,-12.40%,-216.60%,2.90%
FRG,2.57,-,9.14,-,1.54,-0.70,3.78%,-,-16.20%,73.30%,2.50%
FRGAP,,,,,,,,,,,
FRGI,2.15,-,47.73,-,0.29,-1.25,-,-12.40%,-34.20%,121.20%,2.80%
FRHC,12.94,41.51,-,-,1.40,0.95,-,36.00%,12.80%,169.60%,0.10%
FRLN,-,-,-,-,-,-,-,-,-,-,-
FRME,1.01,12.56,14.30,1.79,0.06,2.75,3.02%,8.40%,16.90%,-5.90%,1.20%
FROG,-,-,1428.26,-,-,-0.05,-,-,25.60%,284.30%,21.10%
FRPH,1.11,30.55,-,-,0.24,1.41,-,3.70%,0.60%,180.50%,0.50%
FRPT,13.77,1107.44,235.50,-,0.00,0.12,-,1.50%,-0.20%,3.40%,1.20%
FRSX,2.49,-,-,-,-,-0.39,-,-,-,-,-
FRTA,7.13,37.78,14.24,0.59,6.60,0.49,-,21.00%,5.60%,21.70%,1.50%
FSBW,1.03,6.91,10.44,0.99,0.04,7.77,1.56%,15.90%,29.50%,87.10%,5.90%
FSDC,-,-,-,-,-,-,-,-,-,-,27.65%
FSEA,,,,,,,,,,,
