,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
CTSH,3.99,30.39,20.64,12.29,0.22,2.70,1.07%,13.50%,15.40%,-28.90%,0.24%
CTSO,4.13,-,-,-,0.19,-0.32,-,-34.40%,-96.70%,90.50%,1.20%
CTXR,1.57,-,0.46,-,0.01,-0.47,-,-66.70%,-,51.00%,22.20%
CTXRW,,,,,,,,,,,
CTXS,232.32,27.95,20.41,2.61,0.00,4.66,1.08%,403.70%,44.80%,-61.80%,1.00%
CUBA,1.07,-,-,-,-,-1.82,12.13%,-,-,-,22.70%
CUE,4.24,-,-,-,0.00,-1.57,-,-63.70%,-68.10%,-8.70%,3.10%
CURI,0.45,-,-,-,0.00,-0.17,-,-0.60%,-,-,1.80%
CURIW,,,,,,,,,,,
CUTR,8.17,-,277.13,-,0.15,-1.81,-,-61.20%,-25.80%,30.80%,1.70%
CVAC,15.56,-,-,-,0.04,-,-,-,-273.60%,-,58.63%
CVBF,1.33,15.01,15.76,1.50,0.01,1.30,3.69%,9.00%,17.20%,-2.70%,0.20%
CVCO,2.51,25.22,20.71,0.84,0.02,6.96,-,10.50%,10.80%,-28.20%,0.20%
CVCY,0.79,10.74,12.02,1.34,0.02,1.39,2.96%,7.80%,23.20%,-17.80%,3.00%
CVET,2.35,-,31.31,-,0.80,-0.94,-,-8.10%,-40.50%,96.30%,0.20%
CVGI,2.81,-,11.23,-,1.59,-1.39,-,-43.00%,12.60%,-43.20%,0.60%
CVGW,4.79,-,22.67,-,0.11,-0.78,1.66%,-5.00%,12.90%,19.70%,3.20%
CVLB,-,-,-,-,-,-10.85,-,833.20%,1383.60%,-,0.70%
CVLG,0.81,-,7.74,-,0.39,-1.20,-,-4.90%,2.00%,224.60%,21.20%
CVLT,6.14,-,27.60,-,0.00,-0.66,-,-7.30%,-2.60%,-465.70%,1.60%
CVLY,0.85,18.54,-,-,0.06,0.92,2.36%,4.30%,27.80%,-26.10%,2.30%
CVV,0.82,-,-,-,0.48,-0.51,-,-11.10%,-15.20%,-824.10%,0.20%
CWBC,0.89,9.32,-,-,0.00,0.97,2.20%,9.90%,37.90%,33.20%,2.00%
CWBR,3.53,-,-,-,0.19,-0.34,-,-150.60%,-,17.50%,2.70%
CWCO,1.13,19.50,21.71,2.44,0.00,0.62,2.82%,3.70%,5.70%,-20.50%,2.80%
CWST,20.25,80.87,64.33,8.70,3.65,0.77,-,28.70%,8.60%,21.40%,1.40%
CXDC,0.08,-,-,-,1.69,-2.95,-,-9.80%,3.00%,-387.00%,42.40%
CXDO,6.54,113.61,72.95,-,0.21,0.06,-,13.00%,25.10%,-64.50%,58.00%
CXSE,-,-,-,-,-,-,0.50%,-,-,-,-
CYAD,-,-,-,-,-,-,-,-,-,-,-
CYAN,1.13,31.34,-,-,0.60,0.10,-,3.70%,4.30%,-34.10%,5.80%
CYBE,2.58,38.07,28.83,1.52,0.00,0.60,-,7.30%,0.90%,582.40%,2.20%
CYBR,9.35,2308.43,115.34,-,0.74,0.07,-,0.40%,5.00%,-204.90%,1.30%
CYCC,1.56,-,-,-,0.00,-5.26,-,-44.60%,-,79.10%,2.81%
CYCCP,,,,,,,,,,,
CYCN,1.30,-,-,-,0.05,-2.97,-,-105.50%,-128.00%,41.10%,1.00%
CYRN,3.96,-,-,-,1.25,-0.30,-,-86.60%,-50.60%,-24.80%,2.80%
CYRX,14.29,-,2581.18,-,0.93,-0.57,-,-17.70%,-14.00%,16.50%,0.20%
CYTH,-,-,-,-,-,-0.07,-,-,-838.30%,29.60%,8.60%
CYTHW,,,,,,,,,,,
CYTK,9.49,-,-,-,0.00,-1.91,-,-,-83.50%,90.80%,1.00%
CZNC,1.06,15.59,15.03,-,0.06,1.27,5.44%,6.80%,19.80%,-53.70%,2.30%
CZR,3.35,-,-,-,8.25,-8.41,-,-78.20%,7.70%,-,0.10%
CZWI,0.78,9.91,10.27,-,0.37,1.10,1.93%,8.10%,19.10%,181.80%,0.90%
DADA,11.20,-,-,-,0.11,-1.58,-,193.00%,24.20%,74.80%,2.79%
DAIO,1.69,-,-,-,0.00,-0.34,-,-13.50%,-6.10%,18.00%,2.40%
DAKT,1.10,-,20.35,-,0.00,-0.06,-,-1.60%,0.20%,-52.70%,4.40%
DALI,-,-,-,-,-,-,1.52%,-,-,-,-
DARE,-,-,-,-,-,-0.90,-,-,-,-18.10%,8.30%
DAX,-,-,-,-,-,-,1.01%,-,-,-,-
DBDR,-,-,-,-,-,-,-,-,-,-,-
DBDRU,,,,,,,,,,,
DBDRW,,,,,,,,,,,
DBVT,0.66,-,-,-,-,-3.27,-,-,-,-,-
DBX,10.77,112.64,22.30,6.70,0.30,0.20,-,10.20%,-7.90%,289.90%,0.80%
DCBO,-,-,-,-,-,-,-,-,-,-,66.41%
DCOM,0.89,12.99,7.66,10.39,0.20,1.21,3.55%,7.10%,16.80%,228.00%,0.90%
DCOMP,,,,,,,,,,,
DCPH,5.66,-,-,-,0.00,-5.00,-,-45.00%,-36.70%,11.90%,0.60%
DCRB,-,-,-,-,-,-,-,-,-,-,-
DCRBU,-,-,-,-,-,-,-,-,-,-,-
DCRBW,,,,,,,,,,,
DCT,9.12,-,-,-,0.00,-0.21,-,-,-4.10%,-21.20%,3.30%
DCTH,23.58,0.07,-,0.00,0.61,252.89,-,554.40%,-,99.60%,0.40%
DDIV,-,-,-,-,-,-,3.06%,-,-,-,-
DDMXU,,,,,,,,,,,
DDOG,31.86,-,510.05,-,0.61,-0.03,-,-0.90%,-2.70%,-255.90%,1.60%
DEMZ,-,-,-,-,-,-,-,-,-,-,-
DENN,-,96.58,30.39,10.73,-,0.15,-,-6.40%,112.50%,-87.40%,0.20%
DFFN,1.77,-,-,-,0.00,-0.50,-,-63.50%,-,88.40%,0.10%
DFHT,,,,,,,,,,,
DFHTU,,,,,,,,,,,
DFHTW,,,,,,,,,,,
DFNL,-,-,-,-,-,-,1.84%,-,-,-,-
DFPH,,,,,,,,,,,
DFPHU,,,,,,,,,,,
DFPHW,,,,,,,,,,,
DGICA,0.84,7.85,10.97,0.78,0.18,1.79,4.26%,6.10%,9.90%,365.20%,43.20%
DGICB,,,,,,,,,,,
DGII,1.48,66.55,29.08,3.91,0.16,0.28,-,2.30%,2.80%,88.10%,2.60%
DGLY,4.33,-,-,-,0.11,-0.42,-,-135.20%,-301.60%,107.70%,4.30%
DGNS,-,-,-,-,-,-,-,-,-,-,-
DGRE,-,-,-,-,-,-,2.22%,-,-,-,-
DGRS,-,-,-,-,-,-,2.10%,-,-,-,-
DGRW,-,-,-,-,-,-,1.85%,-,-,-,-
DHC,0.39,-,-,-,1.39,-0.74,0.97%,-6.60%,1.50%,-263.50%,0.10%
DHCNI,,,,,,,,,,,
DHCNL,,,,,,,,,,,
DHIL,2.32,12.93,-,-,0.00,11.54,-,19.10%,15.20%,-1.40%,0.10%
DINT,-,-,-,-,-,-,2.32%,-,-,-,-
DIOD,3.05,32.03,21.34,2.14,0.35,2.20,-,10.10%,12.80%,-29.80%,2.60%
DISCA,1.51,14.53,9.66,8.85,1.52,2.07,-,10.90%,11.30%,26.50%,0.50%
DISCB,,,,,,,,,,,
DISCK,1.77,14.51,8.37,-,-,1.81,-,-,-,14.50%,4.83%
DISH,1.34,13.11,12.24,-,1.11,2.47,-,11.80%,5.60%,31.60%,1.80%
DJCO,3.94,138.03,-,-,0.22,2.93,-,3.20%,-0.80%,354.60%,0.60%
DKNG,8.31,-,-,-,0.00,-1.79,-,-46.60%,-,-,8.40%
DLHC,2.16,17.20,12.10,1.26,1.26,0.54,-,14.10%,8.80%,-14.70%,12.00%
DLPN,1.11,-,-,-,0.44,-0.38,-,-8.90%,-14.20%,79.70%,25.74%
DLTH,2.00,21.46,14.02,0.86,0.97,0.49,-,9.50%,8.00%,412.10%,0.70%
DLTR,3.67,26.71,17.42,2.56,0.51,4.05,-,14.50%,9.90%,28.80%,0.10%
DMAC,5.70,-,-,-,0.00,-0.76,-,-68.20%,-,6.20%,1.00%
DMLP,4.25,13.99,-,-,0.00,0.78,12.74%,27.10%,47.50%,-56.20%,0.20%
DMRC,8.36,-,-,-,0.07,-2.76,-,-67.30%,-68.30%,-4.80%,2.80%
DMTK,11.75,-,-,-,0.00,-2.04,-,-65.00%,-133.40%,38.20%,8.70%
DMXF,,,,,,,,,,,
DNLI,10.20,-,-,-,0.00,-2.21,-,-39.20%,-53.90%,-12.30%,0.10%
DOCU,97.07,-,199.19,-,1.14,-1.19,-,-43.70%,-19.60%,-20.10%,1.30%
DOGZ,1.08,-,9.17,-,0.10,-0.33,-,-14.60%,-15.80%,-569.20%,-
DOMO,-,-,-,-,-,-3.31,-,143.50%,-223.50%,28.50%,1.40%
DOOO,-,35.47,-,-,-,1.86,0.52%,-,-,46.60%,2.40%
DORM,3.37,31.81,23.12,2.12,0.00,2.73,-,11.00%,10.80%,61.90%,3.70%
DOX,2.57,19.10,13.91,2.94,0.21,3.71,2.03%,13.80%,11.70%,13.10%,4.80%
DOYU,3.13,31.87,16.81,0.88,0.00,0.35,-,11.60%,-1.80%,144.10%,1.75%
DRAD,0.89,-,4.79,-,1.21,-3.14,-,-42.00%,-7.90%,35.70%,6.10%
DRADP,,,,,,,,,,,
DRIO,2.99,-,-,-,0.00,-10.11,-,-150.90%,-93.70%,7.70%,13.90%
DRIOW,,,,,,,,,,,
DRIV,-,-,-,-,-,-,0.54%,-,-,-,-
DRNA,10.69,-,-,-,0.00,-1.61,-,-71.70%,-84.20%,34.90%,0.10%
DRRX,12.18,-,-,-,0.00,-0.05,-,-34.00%,-44.30%,-346.20%,1.59%
DRTT,-,-,-,-,-,-,-,-,-,-,13.05%
DSAC,-,-,-,-,-,-,-,-,-,-,-
DSACU,-,-,-,-,-,-,-,-,-,-,-
DSACW,,,,,,,,,,,
DSGX,5.67,107.70,81.22,5.18,0.00,0.54,-,5.50%,5.00%,36.80%,0.10%
DSKE,5.23,-,26.05,-,9.49,-0.43,-,-38.10%,-40.60%,104.00%,34.53%
DSKEW,,,,,,,,,,,
DSPG,2.53,-,63.81,-,0.00,-0.24,-,-3.60%,-1.90%,-496.90%,1.20%
DSWL,0.58,-,-,-,0.00,-0.07,6.16%,-1.30%,1.30%,-44.40%,16.30%
DTEA,-,-,-,-,-,-1.03,-,569.60%,-22.20%,230.10%,45.87%
DTIL,6.84,-,-,-,0.00,-2.95,-,-105.70%,-,-21.30%,11.85%
DTSS,13.33,-,-,-,0.00,-0.10,-,-,-49.00%,-45.20%,71.62%
DUNEU,-,-,-,-,-,-,-,-,-,-,-
DUO,2.57,-,538.57,-,0.29,-2.99,-,-95.70%,-26.80%,-75.90%,2.73%
DUOT,28.27,-,-,-,3.40,-1.69,-,-383.50%,-,-21.90%,0.70%
DUSA,-,-,-,-,-,-,1.12%,-,-,-,-
DVAX,7.06,-,-,-,2.59,-1.08,-,-261.40%,-72.10%,108.00%,0.10%
DVLU,-,-,-,-,-,-,1.50%,-,-,-,-
DVOL,-,-,-,-,-,-,1.38%,-,-,-,-
DVY,-,-,-,-,-,-,4.27%,-,-,-,-
DWAS,-,-,-,-,-,-,0.29%,-,-,-,-
DWAT,,,,,,,,,,,
DWAW,-,-,-,-,-,-,-,-,-,-,-
DWCR,,,,,,,,,,,
DWEQ,-,-,-,-,-,-,-,-,-,-,-
DWFI,-,-,-,-,-,-,2.67%,-,-,-,-
DWLD,-,-,-,-,-,-,2.12%,-,-,-,-
DWMC,,,,,,,,,,,
DWPP,-,-,-,-,-,-,0.89%,-,-,-,-
DWSH,-,-,-,-,-,-,0.18%,-,-,-,-
DWSN,0.51,-,-,-,0.00,-0.48,-,-10.90%,-14.90%,-491.00%,1.00%
DWUS,-,-,-,-,-,-,-,-,-,-,-
DXCM,23.62,153.03,113.69,5.69,0.00,2.42,-,19.80%,7.10%,46.60%,0.70%
DXGE,,,,,,,,,,,
DXJS,-,-,-,-,-,-,2.88%,-,-,-,-
DXPE,1.23,-,171.00,-,0.66,-1.41,-,-7.20%,9.50%,-374.80%,0.30%
DXYN,0.61,2.43,-,-,1.17,1.05,-,25.00%,13.60%,136.20%,11.66%
DYAI,4.94,-,-,-,0.00,-0.33,-,-27.50%,-25.90%,-45.60%,30.05%
DYN,2.49,-,-,-,0.03,-,-,-,-,-,20.50%
DYNT,1.05,-,-,-,0.59,-0.41,-,-43.80%,-16.00%,-411.60%,18.80%
DZSI,3.31,-,103.13,-,0.51,-0.90,-,-19.10%,-7.40%,97.20%,0.20%
EA,5.14,31.98,24.09,2.32,0.12,4.49,0.47%,17.20%,35.20%,-78.10%,0.20%
EAR,-,-,-,-,-,-0.37,-,-,30.70%,100.00%,3.30%
EARS,2.38,-,-,-,0.00,-1.35,-,-,-,79.60%,6.05%
EAST,14.22,-,-,-,13.00,-1.51,-,-399.00%,-87.40%,53.40%,4.50%
EBAY,11.96,15.93,13.57,0.88,2.66,3.15,1.27%,304.80%,17.40%,249.60%,3.50%
EBAYL,,,,,,,,,,,
EBC,-,-,25.89,-,0.00,-,-,-,22.80%,-18.70%,0.70%
EBIX,1.99,12.34,8.86,1.23,1.23,3.08,0.79%,17.20%,12.00%,19.50%,13.80%
EBIZ,-,-,-,-,-,-,0.13%,-,-,-,-
EBMT,0.98,7.82,8.83,0.78,0.20,2.71,1.84%,13.50%,22.60%,46.60%,4.70%
EBON,-,-,-,-,-,-,-,-,-,-,11.69%
EBSB,1.00,11.81,12.15,0.98,0.00,1.26,2.15%,8.70%,21.20%,-13.30%,10.30%
EBTC,0.93,10.02,-,-,0.23,2.55,2.74%,9.80%,33.50%,13.90%,2.00%
ECHO,1.80,114.13,15.80,15.67,0.37,0.24,-,1.60%,5.10%,40.90%,2.00%
ECOL,1.65,-,42.89,-,1.24,-9.46,-,-39.50%,3.10%,-65.70%,0.90%
ECOLW,,,,,,,,,,,
ECOR,2.44,-,-,-,0.07,-0.79,-,-113.50%,-189.00%,72.00%,29.80%
ECOW,,,,,,,,,,,
ECPG,1.09,5.66,4.25,0.44,2.89,6.88,-,21.30%,9.10%,39.90%,0.70%
EDAP,4.92,-,49.71,-,0.11,-0.15,-,-13.30%,4.60%,-230.00%,6.00%
EDIT,9.87,-,-,-,0.00,-1.72,-,-26.70%,-53.70%,118.90%,0.10%
EDOC,-,-,-,-,-,-,-,-,-,-,-
EDRY,0.35,-,-,-,1.47,-2.52,-,-15.10%,3.10%,116.20%,49.50%
EDSA,5.99,-,-,-,0.00,-0.73,-,-110.00%,-97.00%,-99.10%,5.40%
EDTK,-,3.83,-,-,0.00,0.80,-,-,35.50%,17.00%,41.25%
EDTXU,10320.00,-,-,-,-,-,-,-,-,-,-
EDUC,3.67,13.59,-,-,0.32,1.13,2.60%,30.30%,10.20%,320.50%,0.30%
EDUT,-,-,-,-,-,-,-,-,-,-,-
EEFT,5.80,6900.95,25.80,460.06,1.54,0.02,-,2.40%,9.50%,-69.20%,2.90%
EEMA,-,-,-,-,-,-,1.58%,-,-,-,-
EFAS,-,-,-,-,-,-,4.84%,-,-,-,-
EFOI,6.20,-,-,-,1.43,-2.41,-,-214.20%,-94.10%,7.90%,1.00%
EFSC,1.04,12.41,12.22,1.38,0.23,2.82,2.06%,8.60%,20.70%,-36.70%,0.90%
EGAN,9.68,47.24,72.01,4.72,0.00,0.25,-,24.20%,19.20%,64.70%,3.10%
EGBN,1.09,10.48,11.14,4.03,0.22,3.94,2.13%,10.80%,18.30%,20.30%,0.10%
EGLE,0.44,-,-,-,1.11,-4.52,-,-10.00%,0.80%,-142.50%,1.50%
EGOV,6.19,28.83,25.83,2.88,0.00,0.90,1.39%,23.30%,19.50%,72.80%,0.20%
EGRX,3.65,131.55,17.28,48.72,0.20,0.35,-,2.80%,6.50%,392.80%,0.10%
EH,25.74,-,11.45,-,0.05,-0.15,-,-18.00%,-13.50%,98.80%,1.25%
EHTH,2.41,28.77,13.06,1.28,0.00,2.45,-,10.30%,12.30%,-16.70%,4.20%
EIDX,41.12,-,-,-,0.14,-2.65,-,-65.20%,-21.60%,-527.70%,1.00%
EIGI,6.02,73.83,2362.50,4.85,7.44,0.13,-,9.10%,7.00%,-15.10%,2.70%
EIGR,3.95,-,-,-,0.33,-2.44,-,-100.60%,-,31.10%,0.20%
EKSO,6.01,-,-,-,0.37,-2.55,-,-285.70%,-176.00%,609.90%,0.60%
ELOX,10.47,-,-,-,0.84,-1.00,-,-163.90%,-,48.90%,11.16%
ELSE,1.28,-,-,-,0.00,-0.01,-,-0.20%,-0.20%,-342.40%,34.32%
ELTK,2.68,9.96,-,-,0.19,0.51,-,30.80%,14.90%,52.90%,25.30%
ELYS,4.96,-,-,-,0.06,-0.62,-,-65.80%,-26.80%,-11.20%,39.30%
EMB,-,-,-,-,-,-,3.99%,-,-,-,-
EMCB,-,-,-,-,-,-,4.08%,-,-,-,-
EMCF,0.97,14.74,-,-,0.00,2.08,3.92%,6.80%,30.90%,-17.30%,18.60%
EMIF,-,-,-,-,-,-,2.32%,-,-,-,-
EMKR,2.16,-,12.67,-,0.09,-0.24,-,-9.50%,-8.80%,104.60%,1.20%
EML,1.42,16.90,-,-,0.93,1.43,1.83%,8.50%,7.00%,-28.70%,3.60%
EMXC,-,-,-,-,-,-,3.59%,-,-,-,-
EMXF,,,,,,,,,,,
ENDP,-,-,3.13,-,-,-0.47,-,19.90%,2.70%,-64.00%,1.00%
ENG,6.15,110.34,-,-,0.48,0.03,-,5.40%,-10.40%,-54.50%,11.10%
ENLV,3.98,-,-,-,0.00,-0.83,-,-,-,-,33.52%
ENOB,0.84,-,-,-,0.04,-0.21,-,-5.80%,-,41.80%,0.10%
ENPH,53.17,137.52,94.75,3.76,0.87,1.28,-,51.70%,46.00%,19.20%,1.80%
ENSG,5.09,30.54,20.85,2.04,0.15,2.39,0.29%,21.60%,10.70%,96.70%,1.30%
ENTA,1.85,-,-,-,0.00,-1.83,-,-7.60%,-9.40%,-432.10%,5.60%
ENTG,9.96,49.26,33.89,2.45,0.83,1.95,0.33%,21.80%,14.20%,94.90%,0.70%
ENTX,3.48,-,-,-,0.04,-0.68,-,-128.00%,-93.90%,64.40%,41.20%
ENTXW,,,,,,,,,,,
ENVB,,,,,,,,,,,
ENZL,-,-,-,-,-,-,2.57%,-,-,-,-
EOLS,3.23,-,-,-,3.79,-2.02,-,-121.10%,-49.10%,65.40%,0.50%
EOSE,2.68,-,-,-,0.00,-,-,-,-,-,2.00%
EOSEW,,,,,,,,,,,
EPAY,5.30,-,35.95,-,0.43,-0.18,-,-1.90%,-0.90%,127.70%,2.30%
EPIX,6.74,-,-,-,0.00,-0.98,-,-46.20%,-,54.20%,3.10%
EPSN,1.32,67.45,-,-,0.00,0.06,-,2.00%,5.80%,-123.00%,0.50%
EPZM,5.30,-,-,-,0.00,-2.24,-,-83.50%,-53.70%,-39.40%,0.60%
EQ,1.46,-,-,-,0.13,-1.56,-,-60.80%,-,10.80%,4.50%
EQBK,0.81,-,11.82,-,0.22,-5.18,-,-16.90%,20.00%,-,0.40%
EQIX,6.01,140.23,84.21,6.10,1.17,5.09,1.49%,4.60%,4.50%,-47.30%,0.30%
EQOS,2.19,-,-,-,0.03,-0.11,-,-1.50%,-,-75.00%,77.03%
EQOSW,,,,,,,,,,,
EQRR,,,,,,,,,,,
ERES,,,,,,,,,,,
ERESU,-,-,-,-,-,-,-,-,-,-,0.01%
ERESW,,,,,,,,,,,
ERIC,3.97,22.81,16.26,0.79,0.56,0.52,1.34%,17.80%,2.80%,185.50%,0.90%
ERIE,10.30,49.46,41.42,4.95,0.08,4.97,1.69%,24.70%,22.50%,-5.20%,0.80%
ERII,4.64,34.44,88.00,1.72,0.00,0.40,-,15.00%,6.60%,4.50%,0.40%
ERYP,0.87,-,-,-,-,-2.79,-,-,-,-,-
ESBK,0.81,10.57,-,-,1.14,1.09,5.22%,7.30%,19.20%,26.30%,3.00%
ESCA,2.12,12.86,16.04,0.86,0.00,1.65,2.65%,17.80%,6.00%,306.70%,10.30%
ESEA,0.96,16.16,2.84,3.23,2.33,0.34,-,15.60%,1.40%,106.00%,34.80%
ESGD,-,-,-,-,-,-,1.67%,-,-,-,-
ESGE,-,-,-,-,-,-,2.17%,-,-,-,-
ESGR,0.77,4.12,12.81,0.41,0.25,49.74,-,22.10%,15.40%,454.80%,0.20%
ESGRO,,,,,,,,,,,
ESGRP,,,,,,,,,,,
ESGU,-,-,-,-,-,-,1.33%,-,-,-,-
ESLT,2.58,26.16,19.08,2.40,0.39,5.00,1.35%,10.10%,10.00%,-76.50%,45.70%
ESPO,-,-,-,-,-,-,0.13%,-,-,-,-
ESPR,81.25,-,-,-,0.00,-3.86,-,-629.90%,-467.80%,-22.00%,0.81%
ESQ,1.17,11.70,8.61,-,0.00,1.64,-,10.80%,24.50%,-2.80%,11.00%
ESSA,0.71,10.40,100.00,-,0.00,1.44,2.93%,7.50%,21.80%,20.70%,5.10%
ESSC,,,,,,,,,,,
ESSCR,,,,,,,,,,,
ESSCU,,,,,,,,,,,
ESSCW,,,,,,,,,,,
ESTA,11.10,-,-,-,0.62,-1.69,-,-52.20%,-35.90%,71.00%,2.20%
ESXB,0.91,10.78,12.50,-,0.02,0.63,3.56%,8.90%,28.90%,-1.90%,2.80%
ETAC,-,-,-,-,-,-,-,-,-,-,-
ETACU,-,-,-,-,-,-,-,-,-,-,-
ETACW,,,,,,,,,,,
ETNB,1.92,-,-,-,0.00,-3.88,-,-49.60%,-,44.30%,0.60%
ETON,116.14,-,-,-,5.00,-1.18,-,-310.60%,-123.20%,-11.20%,28.03%
ETSY,32.52,104.28,81.87,1.83,1.67,1.71,-,46.30%,8.00%,469.00%,0.60%
ETTX,1.19,-,-,-,0.00,-3.36,-,-118.70%,-112.80%,-40.00%,52.60%
EUCR,,,,,,,,,,,
EUCRU,-,-,-,-,-,-,-,-,-,-,-
EUCRW,,,,,,,,,,,
EUFN,-,-,-,-,-,-,2.05%,-,-,-,-
EVBG,21.06,-,2293.38,-,0.00,-2.39,-,-35.10%,-7.50%,-80.80%,0.50%
EVER,15.31,-,-,-,0.00,-0.31,-,-14.20%,-,-,14.00%
EVFM,4.82,-,-,-,1.20,-1.93,-,-365.00%,-,-23.40%,1.30%
EVGBC,,,,,,,,,,,
EVGN,3.31,-,-,-,-,-0.82,-,-,-,-,18.12%
EVK,0.37,-,-,-,0.40,-0.22,-,-2.80%,-0.70%,305.90%,0.30%
EVLMC,,,,,,,,,,,
EVLO,11.09,-,-,-,0.59,-2.51,-,-159.20%,-,32.80%,0.52%
EVOK,-,-,103.20,-,-,-0.49,-,-983.40%,-,-20.70%,2.60%
EVOL,2.70,-,-,-,0.08,-0.11,-,-15.10%,-83.30%,162.20%,28.65%
EVOP,-,-,32.98,-,-,-0.26,-,2.20%,8.10%,253.30%,0.30%
EVSTC,,,,,,,,,,,
EWBC,1.44,12.35,13.20,1.54,0.32,4.11,2.17%,13.20%,23.20%,-32.00%,0.10%
EWEB,,,,,,,,,,,
EWJE,-,-,-,-,-,-,2.38%,-,-,-,-
EWJV,-,-,-,-,-,-,3.70%,-,-,-,-
EWZS,-,-,-,-,-,-,1.87%,-,-,-,-
EXAS,8.51,-,-,-,0.68,-2.20,-,-13.80%,-1.90%,-368.20%,0.70%
EXC,1.25,17.35,14.20,-,1.19,2.43,3.62%,7.30%,5.10%,-35.30%,0.10%
EXEL,3.35,41.90,49.68,0.91,0.00,0.48,-,8.50%,17.30%,-133.60%,1.10%
EXFO,1.10,-,10.83,-,0.28,-0.17,-,-5.70%,-3.20%,-,61.80%
EXLS,4.12,37.50,22.68,3.81,0.32,2.27,-,11.60%,6.80%,39.40%,0.80%
EXPC,,,,,,,,,,,
EXPCU,,,,,,,,,,,
EXPCW,,,,,,,,,,,
EXPD,6.40,25.62,23.62,3.02,0.00,3.71,1.09%,28.60%,25.60%,21.30%,0.20%
EXPE,11.46,-,194.13,-,5.41,-15.62,-,-91.60%,7.90%,-157.60%,0.30%
EXPI,39.45,193.03,83.82,19.30,0.04,0.33,-,32.60%,-17.00%,777.00%,56.00%
EXPO,13.72,60.30,54.40,4.02,0.00,1.49,0.84%,23.70%,18.10%,-6.50%,0.80%
EXTR,86.12,-,13.17,-,39.09,-0.82,-,-474.00%,-25.30%,76.90%,1.60%
EYE,4.22,1078.33,51.35,89.12,0.75,0.04,-,0.60%,4.90%,2860.50%,0.30%
EYEG,3.76,-,-,-,0.00,-1.97,-,-112.80%,-109.20%,61.60%,3.00%
EYEN,7.21,-,-,-,0.03,-1.10,-,-163.10%,-,19.70%,26.20%
EYES,93.50,-,-,-,0.00,-1.29,-,-,-465.10%,85.80%,43.09%
EYESW,,,,,,,,,,,
EYPT,11.15,-,-,-,6.70,-3.43,-,-441.00%,-,79.70%,0.60%
EZPW,0.41,-,9.39,-,0.39,-1.24,-,-9.90%,-5.20%,-,1.50%
FAAR,-,-,-,-,-,-,0.99%,-,-,-,-
FAB,-,-,-,-,-,-,1.70%,-,-,-,-
FAD,-,-,-,-,-,-,0.46%,-,-,-,-
FALN,-,-,-,-,-,-,5.17%,-,-,-,-
FAMI,0.69,-,-,-,0.15,-0.02,-,-0.90%,11.60%,-103.60%,54.17%
FANG,0.80,-,10.98,-,0.61,-28.07,3.10%,-36.80%,3.20%,-411.90%,0.94%
FANH,2.26,-,11.15,-,0.00,-0.01,8.31%,-0.20%,16.90%,-55.10%,0.20%
FARM,0.78,-,-,-,0.00,-2.80,-,-,-15.80%,-243.10%,3.20%
FARO,4.01,-,54.33,-,0.00,-4.36,-,-24.10%,-18.00%,52.40%,1.41%
FAST,9.71,33.38,31.65,4.11,0.14,1.46,2.05%,30.60%,26.70%,3.40%,0.32%
FAT,-,-,29.75,-,-,-0.68,-,-768.40%,8.80%,-148.90%,1.40%
FATBP,,,,,,,,,,,
FATBW,,,,,,,,,,,
FATE,18.63,-,-,-,0.00,-1.85,-,-43.60%,-41.10%,-69.90%,0.90%
FB,6.61,32.39,26.05,1.95,0.00,8.43,-,23.30%,17.40%,28.10%,0.63%
FBIO,2.48,-,-,-,0.59,-0.85,-,-102.70%,-79.70%,9.00%,0.20%
FBIOP,,,,,,,,,,,
FBIZ,0.77,9.54,8.38,1.19,0.17,1.93,3.59%,8.20%,29.10%,-15.00%,3.30%
FBMS,1.04,12.71,12.08,-,0.23,2.43,1.55%,8.30%,16.90%,-22.00%,0.80%
FBNC,1.11,12.59,13.55,4.66,0.07,2.69,2.13%,8.70%,16.40%,-4.80%,1.20%
FBRX,20.12,-,-,-,0.00,-17.25,-,-361.20%,-,96.10%,18.00%
FBSS,0.91,10.83,-,-,0.06,1.61,2.88%,8.70%,32.70%,-24.80%,0.80%
FBZ,-,-,-,-,-,-,13.58%,-,-,-,-
FCA,-,-,-,-,-,-,4.27%,-,-,-,-
FCAC,,,,,,,,,,,
FCACU,-,-,-,-,-,-,-,-,-,-,-
FCACW,,,,,,,,,,,
FCAL,-,-,-,-,-,-,2.13%,-,-,-,-
FCAP,1.87,20.95,-,-,0.00,2.89,1.59%,9.30%,27.00%,-5.90%,0.80%
FCBC,0.91,10.92,11.07,2.18,0.00,1.98,4.63%,8.10%,17.50%,-20.20%,1.30%
FCBP,0.79,8.99,7.80,-,0.00,2.06,5.41%,9.00%,23.40%,-2.00%,7.30%
FCCO,0.95,13.56,14.42,-,0.11,1.25,2.83%,7.40%,25.00%,-8.70%,1.10%
FCCY,0.89,10.52,11.50,1.32,0.10,1.51,2.27%,8.70%,21.60%,15.10%,0.90%
FCEF,-,-,-,-,-,-,5.24%,-,-,-,-
FCEL,25.39,-,-,-,2.11,-1.43,-,-152.20%,-32.70%,59.90%,3.82%
FCFS,2.33,23.07,20.76,-,0.43,3.04,1.54%,10.20%,10.00%,-55.00%,2.75%
